数据年月,商品编码,商品名称,贸易伙伴编码,贸易伙伴名称,人民币
202307,1,第1章   活动物,110,中国香港,231849829.0
202307,1,第1章   活动物,111,印度,218257.0
202307,1,第1章   活动物,112,印度尼西亚,142585.0
202307,1,第1章   活动物,116,日本,1343045.0
202307,1,第1章   活动物,122,马来西亚,83031.0
202307,1,第1章   活动物,132,新加坡,455392.0
202307,1,第1章   活动物,133,韩国,2271733.0
202307,1,第1章   活动物,136,泰国,69499.0
202307,1,第1章   活动物,141,越南,2904343.0
202307,1,第1章   活动物,143,中国台湾,349385.0
202307,1,第1章   活动物,150,格鲁吉亚,32308.0
202307,1,第1章   活动物,303,英国,1002.0
202307,1,第1章   活动物,304,德国,636719.0
202307,1,第1章   活动物,344,俄罗斯,461177.0
202307,1,第1章   活动物,502,美国,6434685.0
202307,2,第2章   肉及食用杂碎,102,巴林,14015276.0
202307,2,第2章   肉及食用杂碎,110,中国香港,372841497.0
202307,2,第2章   肉及食用杂碎,116,日本,3214833.0
202307,2,第2章   肉及食用杂碎,119,老挝,2723728.0
202307,2,第2章   肉及食用杂碎,122,马来西亚,30901695.0
202307,2,第2章   肉及食用杂碎,136,泰国,135994.0
202307,2,第2章   肉及食用杂碎,141,越南,1055078.0
202307,2,第2章   肉及食用杂碎,150,格鲁吉亚,6677625.0
202307,2,第2章   肉及食用杂碎,202,安哥拉,250501.0
202307,2,第2章   肉及食用杂碎,242,塞拉利昂,646934.0
202307,2,第2章   肉及食用杂碎,304,德国,3249962.0
202307,2,第2章   肉及食用杂碎,344,俄罗斯,20955308.0
202307,2,第2章   肉及食用杂碎,502,美国,870536.0
202307,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,110,中国香港,592201072.0
202307,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,112,印度尼西亚,82970036.0
202307,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,116,日本,1166255676.0
202307,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,119,老挝,1194163.0
202307,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,120,黎巴嫩,661555.0
202307,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,122,马来西亚,99763520.0
202307,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,126,阿曼,1083720.0
202307,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,132,新加坡,40910621.0
202307,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,133,韩国,584449367.0
202307,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,136,泰国,156152969.0
