数据年月,商品编码,商品名称,贸易伙伴编码,贸易伙伴名称,人民币
202405,1,第1章   活动物,110,中国香港,230623380.0
202405,1,第1章   活动物,116,日本,1523237.0
202405,1,第1章   活动物,119,老挝,13353.0
202405,1,第1章   活动物,122,马来西亚,137224.0
202405,1,第1章   活动物,125,尼泊尔,108779.0
202405,1,第1章   活动物,132,新加坡,625130.0
202405,1,第1章   活动物,133,韩国,2048797.0
202405,1,第1章   活动物,136,泰国,151207.0
202405,1,第1章   活动物,141,越南,1281128.0
202405,1,第1章   活动物,145,哈萨克斯坦,3481.0
202405,1,第1章   活动物,150,格鲁吉亚,19177.0
202405,1,第1章   活动物,303,英国,25633.0
202405,1,第1章   活动物,304,德国,456613.0
202405,1,第1章   活动物,344,俄罗斯,535452.0
202405,1,第1章   活动物,351,克罗地亚,3196.0
202405,1,第1章   活动物,502,美国,7716183.0
202405,2,第2章   肉及食用杂碎,102,巴林,20413541.0
202405,2,第2章   肉及食用杂碎,110,中国香港,361313967.0
202405,2,第2章   肉及食用杂碎,111,印度,1984.0
202405,2,第2章   肉及食用杂碎,112,印度尼西亚,165488.0
202405,2,第2章   肉及食用杂碎,116,日本,2446347.0
202405,2,第2章   肉及食用杂碎,119,老挝,1640203.0
202405,2,第2章   肉及食用杂碎,122,马来西亚,29843688.0
202405,2,第2章   肉及食用杂碎,132,新加坡,2129528.0
202405,2,第2章   肉及食用杂碎,136,泰国,4755.0
202405,2,第2章   肉及食用杂碎,141,越南,1440016.0
202405,2,第2章   肉及食用杂碎,143,中国台湾,259598.0
202405,2,第2章   肉及食用杂碎,145,哈萨克斯坦,1946439.0
202405,2,第2章   肉及食用杂碎,149,乌兹别克斯坦,1465853.0
202405,2,第2章   肉及食用杂碎,150,格鲁吉亚,14823753.0
202405,2,第2章   肉及食用杂碎,151,亚美尼亚,2464980.0
202405,2,第2章   肉及食用杂碎,202,安哥拉,2798439.0
202405,2,第2章   肉及食用杂碎,218,加蓬,265598.0
202405,2,第2章   肉及食用杂碎,225,利比里亚,288930.0
202405,2,第2章   肉及食用杂碎,243,索马里,319995.0
202405,2,第2章   肉及食用杂碎,304,德国,2351792.0
202405,2,第2章   肉及食用杂碎,344,俄罗斯,84848127.0
202405,2,第2章   肉及食用杂碎,502,美国,3333607.0
202405,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,110,中国香港,453524673.0
202405,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,111,印度,4203411.0
202405,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,112,印度尼西亚,55671576.0
202405,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,113,伊朗,2862523.0
202405,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,116,日本,1031516052.0
202405,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,119,老挝,1051667.0
202405,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,120,黎巴嫩,94620.0
202405,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,122,马来西亚,105594411.0
202405,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,125,尼泊尔,34234.0
202405,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,126,阿曼,1112141.0
202405,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,132,新加坡,35149328.0
202405,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,133,韩国,667930150.0
202405,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,136,泰国,160195796.0
202405,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,141,越南,161783747.0
202405,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,143,中国台湾,205357318.0
202405,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,145,哈萨克斯坦,2599397.0
202405,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,150,格鲁吉亚,1021820.0
202405,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,152,阿塞拜疆,1920374.0
202405,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,202,安哥拉,1360528.0
202405,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,205,布隆迪,878402.0
202405,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,206,喀麦隆,1763413.0
202405,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,212,科摩罗,303178.0
202405,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,218,加蓬,1659372.0
202405,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,221,几内亚,13847698.0
202405,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,223,科特迪瓦,83796260.0
202405,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,225,利比里亚,1762846.0
202405,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,231,毛里求斯,6729926.0
202405,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,240,塞内加尔,17593112.0
202405,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,243,索马里,613656.0
202405,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,249,突尼斯,451628.0
202405,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,259,马约特,568970.0
202405,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,303,英国,215647346.0
202405,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,304,德国,222367048.0
202405,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,344,俄罗斯,132875588.0
202405,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,351,克罗地亚,3045845.0
202405,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,401,安提瓜和巴布达,488510.0
202405,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,403,阿鲁巴,256904.0
202405,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,417,库拉索 ,616322.0
202405,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,441,苏里南,203132.0
202405,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,502,美国,677355402.0
202405,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,601,澳大利亚,67434604.0
202405,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,110,中国香港,175789932.0
202405,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,112,印度尼西亚,512932.0
202405,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,116,日本,49897012.0
202405,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,122,马来西亚,3033894.0
202405,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,126,阿曼,1472491.0
202405,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,132,新加坡,9565098.0
202405,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,133,韩国,11775340.0
202405,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,136,泰国,478681.0
202405,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,139,也门,651936.0
202405,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,141,越南,561392.0
202405,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,149,乌兹别克斯坦,6383.0
202405,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,249,突尼斯,46938.0
202405,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,303,英国,33544371.0
202405,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,304,德国,1269527.0
202405,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,351,克罗地亚,676249.0
202405,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,358,塞尔维亚,24859.0
202405,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,502,美国,10230761.0
202405,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,601,澳大利亚,6383882.0
202405,5,第5章   其他动物产品,110,中国香港,26593516.0
202405,5,第5章   其他动物产品,111,印度,1087876.0
202405,5,第5章   其他动物产品,112,印度尼西亚,48189126.0
202405,5,第5章   其他动物产品,116,日本,107721759.0
202405,5,第5章   其他动物产品,122,马来西亚,6445018.0
202405,5,第5章   其他动物产品,125,尼泊尔,340920.0
202405,5,第5章   其他动物产品,126,阿曼,21308.0
