数据年月,商品编码,商品名称,贸易伙伴编码,贸易伙伴名称,人民币
201512,1,第1章   活动物,501,加拿大,268.0
201512,2,第2章   肉及食用杂碎,109,朝鲜,4701997.0
201512,2,第2章   肉及食用杂碎,118,科威特,1689827.0
201512,2,第2章   肉及食用杂碎,124,蒙古,8436871.0
201512,2,第2章   肉及食用杂碎,138,阿联酋,2185038.0
201512,2,第2章   肉及食用杂碎,147,塔吉克斯坦,3365184.0
201512,2,第2章   肉及食用杂碎,301,比利时,2237844.0
201512,2,第2章   肉及食用杂碎,305,法国,1595943.0
201512,2,第2章   肉及食用杂碎,339,阿塞拜疆,861246.0
201512,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,108,塞浦路斯,2351161.0
201512,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,109,朝鲜,50090220.0
201512,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,118,科威特,2520960.0
201512,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,129,菲律宾,287956801.0
201512,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,137,土耳其,6182804.0
201512,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,138,阿联酋,37245887.0
201512,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,203,贝宁,3236251.0
201512,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,208,佛得角,405815.0
201512,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,209,中非,1083331.0
201512,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,213,刚果共和国,7683930.0
201512,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,220,加纳,10965323.0
201512,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,224,肯尼亚,8628810.0
201512,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,227,马达加斯加,1429030.0
201512,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,233,莫桑比克,3471399.0
201512,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,235,尼日尔,558374.0
201512,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,244,南非,15631310.0
201512,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,252,刚果民主共和国,16033283.0
