数据年月,商品编码,商品名称,贸易伙伴编码,贸易伙伴名称,人民币
201501,1,第1章   活动物,138,阿联酋,9868.0
201501,1,第1章   活动物,312,西班牙,856.0
201501,2,第2章   肉及食用杂碎,109,朝鲜,2153019.0
201501,2,第2章   肉及食用杂碎,124,蒙古,3609928.0
201501,2,第2章   肉及食用杂碎,138,阿联酋,1345014.0
201501,2,第2章   肉及食用杂碎,147,塔吉克斯坦,7976049.0
201501,2,第2章   肉及食用杂碎,301,比利时,6388577.0
201501,2,第2章   肉及食用杂碎,305,法国,187045.0
201501,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,108,塞浦路斯,719949.0
201501,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,109,朝鲜,44828237.0
201501,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,123,马尔代夫,136578.0
201501,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,129,菲律宾,298231502.0
201501,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,137,土耳其,6018145.0
201501,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,138,阿联酋,15594259.0
201501,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,203,贝宁,3414360.0
201501,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,208,佛得角,2095504.0
201501,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,209,中非,840648.0
201501,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,213,刚果共和国,4486735.0
201501,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,220,加纳,11988818.0
201501,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,224,肯尼亚,4451495.0
201501,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,233,莫桑比克,1074994.0
201501,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,235,尼日尔,365599.0
201501,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,241,塞舌尔,964728.0
201501,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,244,南非,9506287.0
201501,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,252,刚果民主共和国,9537163.0
201501,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,301,比利时,37279774.0
201501,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,305,法国,117130999.0
201501,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,306,爱尔兰,578081.0
201501,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,307,意大利,47879983.0
201501,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,309,荷兰,64035009.0
201501,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,310,希腊,31213607.0
201501,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,312,西班牙,190932270.0
201501,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,313,阿尔巴尼亚,2118167.0
201501,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,316,保加利亚,249421.0
201501,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,318,芬兰,2642078.0
201501,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,321,匈牙利,987063.0
201501,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,326,挪威,9759376.0
201501,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,327,波兰,74835957.0
201501,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,336,立陶宛,4818780.0
201501,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,339,阿塞拜疆,1905543.0
201501,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,340,白俄罗斯,2213935.0
201501,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,350,斯洛文尼亚,1843664.0
201501,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,405,巴巴多斯,591817.0
201501,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,410,巴西,275401463.0
201501,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,415,哥斯达黎加,7875154.0
201501,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,427,牙买加,2844102.0
201501,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,429,墨西哥,95997468.0
201501,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,435,波多黎各,26573712.0
201501,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,442,特立尼达和多巴哥,5603923.0
201501,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,444,乌拉圭,799184.0
201501,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,501,加拿大,159833879.0
201501,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,617,萨摩亚,3681213.0
201501,4,第4章   乳品;蛋品;天然蜂蜜;其他食用动物产品,108,塞浦路斯,225718.0
201501,4,第4章   乳品;蛋品;天然蜂蜜;其他食用动物产品,109,朝鲜,3843641.0
201501,4,第4章   乳品;蛋品;天然蜂蜜;其他食用动物产品,118,科威特,180615.0
201501,4,第4章   乳品;蛋品;天然蜂蜜;其他食用动物产品,123,马尔代夫,53959.0
201501,4,第4章   乳品;蛋品;天然蜂蜜;其他食用动物产品,129,菲律宾,305783.0
201501,4,第4章   乳品;蛋品;天然蜂蜜;其他食用动物产品,137,土耳其,1930309.0
201501,4,第4章   乳品;蛋品;天然蜂蜜;其他食用动物产品,138,阿联酋,654950.0
201501,4,第4章   乳品;蛋品;天然蜂蜜;其他食用动物产品,244,南非,2451598.0
201501,4,第4章   乳品;蛋品;天然蜂蜜;其他食用动物产品,301,比利时,29365844.0
201501,4,第4章   乳品;蛋品;天然蜂蜜;其他食用动物产品,305,法国,2399462.0
201501,4,第4章   乳品;蛋品;天然蜂蜜;其他食用动物产品,306,爱尔兰,742788.0
201501,4,第4章   乳品;蛋品;天然蜂蜜;其他食用动物产品,307,意大利,6465057.0
201501,4,第4章   乳品;蛋品;天然蜂蜜;其他食用动物产品,309,荷兰,6079235.0
201501,4,第4章   乳品;蛋品;天然蜂蜜;其他食用动物产品,312,西班牙,9275928.0
201501,4,第4章   乳品;蛋品;天然蜂蜜;其他食用动物产品,316,保加利亚,1316961.0
201501,4,第4章   乳品;蛋品;天然蜂蜜;其他食用动物产品,326,挪威,188700.0
201501,4,第4章   乳品;蛋品;天然蜂蜜;其他食用动物产品,327,波兰,2575146.0
201501,4,第4章   乳品;蛋品;天然蜂蜜;其他食用动物产品,336,立陶宛,230461.0
201501,4,第4章   乳品;蛋品;天然蜂蜜;其他食用动物产品,501,加拿大,2529623.0
201501,5,第5章   其他动物产品,109,朝鲜,844394.0
201501,5,第5章   其他动物产品,129,菲律宾,17187431.0
201501,5,第5章   其他动物产品,137,土耳其,3405796.0
201501,5,第5章   其他动物产品,138,阿联酋,7116.0
201501,5,第5章   其他动物产品,244,南非,26990134.0
201501,5,第5章   其他动物产品,301,比利时,9289974.0
201501,5,第5章   其他动物产品,305,法国,11653423.0
201501,5,第5章   其他动物产品,307,意大利,33231425.0
201501,5,第5章   其他动物产品,309,荷兰,70494315.0
201501,5,第5章   其他动物产品,310,希腊,366539.0
201501,5,第5章   其他动物产品,312,西班牙,26684992.0
201501,5,第5章   其他动物产品,315,奥地利,3270515.0
201501,5,第5章   其他动物产品,316,保加利亚,9079.0
201501,5,第5章   其他动物产品,321,匈牙利,464251.0
201501,5,第5章   其他动物产品,327,波兰,23894325.0
