数据年月,商品编码,商品名称,贸易伙伴编码,贸易伙伴名称,人民币
201509,1,第1章   活动物,109,朝鲜,588460.0
201509,1,第1章   活动物,124,蒙古,30000.0
201509,1,第1章   活动物,127,巴基斯坦,640.0
201509,1,第1章   活动物,307,意大利,312618.0
201509,1,第1章   活动物,309,荷兰,77.0
201509,1,第1章   活动物,312,西班牙,959.0
201509,2,第2章   肉及食用杂碎,109,朝鲜,4152532.0
201509,2,第2章   肉及食用杂碎,124,蒙古,5129279.0
201509,2,第2章   肉及食用杂碎,147,塔吉克斯坦,4547598.0
201509,2,第2章   肉及食用杂碎,301,比利时,7690432.0
201509,2,第2章   肉及食用杂碎,305,法国,561031.0
201509,2,第2章   肉及食用杂碎,339,阿塞拜疆,802914.0
201509,2,第2章   肉及食用杂碎,404,巴哈马,287718.0
201509,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,108,塞浦路斯,589886.0
201509,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,109,朝鲜,53217847.0
201509,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,118,科威特,1391964.0
201509,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,129,菲律宾,318654411.0
201509,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,137,土耳其,730732.0
201509,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,138,阿联酋,37162643.0
201509,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,203,贝宁,18681450.0
201509,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,208,佛得角,843754.0
201509,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,213,刚果共和国,5050008.0
201509,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,220,加纳,8602699.0
201509,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,224,肯尼亚,7690572.0
201509,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,227,马达加斯加,354611.0
201509,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,233,莫桑比克,4980023.0
201509,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,235,尼日尔,1848857.0
201509,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,244,南非,12106836.0
201509,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,252,刚果民主共和国,10226133.0
201509,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,301,比利时,30721995.0
201509,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,305,法国,121234125.0
