数据年月,商品编码,商品名称,贸易伙伴编码,贸易伙伴名称,人民币
201705,1,第1章   活动物,124,蒙古,39863.0
201705,1,第1章   活动物,129,菲律宾,3433.0
201705,1,第1章   活动物,138,阿联酋,2756.0
201705,1,第1章   活动物,307,意大利,341247.0
201705,1,第1章   活动物,501,加拿大,2156388.0
201705,2,第2章   肉及食用杂碎,109,朝鲜,2614382.0
201705,2,第2章   肉及食用杂碎,124,蒙古,9158323.0
201705,2,第2章   肉及食用杂碎,138,阿联酋,2815271.0
201705,2,第2章   肉及食用杂碎,147,塔吉克斯坦,13797365.0
201705,2,第2章   肉及食用杂碎,252,刚果民主共和国,273708.0
201705,2,第2章   肉及食用杂碎,301,比利时,7078059.0
201705,2,第2章   肉及食用杂碎,339,阿塞拜疆,263964.0
201705,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,108,塞浦路斯,1892457.0
201705,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,109,朝鲜,75140489.0
201705,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,123,马尔代夫,690459.0
201705,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,129,菲律宾,355339161.0
201705,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,137,土耳其,10943151.0
201705,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,138,阿联酋,22579356.0
201705,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,203,贝宁,5565919.0
201705,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,208,佛得角,3793575.0
201705,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,209,中非,559945.0
201705,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,213,刚果共和国,3317388.0
201705,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,220,加纳,12830134.0
201705,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,224,肯尼亚,30341404.0
201705,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,227,马达加斯加,1616047.0
201705,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,233,莫桑比克,287359.0
201705,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,235,尼日尔,1843380.0
201705,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,244,南非,28805591.0
201705,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,252,刚果民主共和国,10216171.0
201705,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,301,比利时,29373955.0
201705,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,305,法国,122718268.0
201705,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,307,意大利,82996756.0
201705,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,309,荷兰,80353352.0
201705,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,310,希腊,15140125.0
201705,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,312,西班牙,190291768.0
201705,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,316,保加利亚,3977148.0
201705,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,318,芬兰,1755911.0
201705,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,321,匈牙利,1163610.0
201705,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,326,挪威,9569825.0
201705,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,327,波兰,37693921.0
201705,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,336,立陶宛,3588750.0
201705,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,340,白俄罗斯,3337826.0
201705,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,350,斯洛文尼亚,1797805.0
201705,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,410,巴西,80646242.0
201705,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,415,哥斯达黎加,2456673.0
201705,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,427,牙买加,6792637.0
201705,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,429,墨西哥,74517692.0
201705,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,435,波多黎各,3634726.0
201705,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,442,特立尼达和多巴哥,557037.0
201705,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,444,乌拉圭,1467786.0
201705,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,501,加拿大,197249883.0
201705,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,614,汤加,269163.0
201705,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,617,萨摩亚,9107872.0
