数据年月,商品编码,商品名称,贸易伙伴编码,贸易伙伴名称,人民币
202009,1,第1章   活动物,118,科威特,174781.0
202009,1,第1章   活动物,127,巴基斯坦,692.0
202009,1,第1章   活动物,129,菲律宾,204734.0
202009,1,第1章   活动物,305,法国,7319.0
202009,1,第1章   活动物,307,意大利,324454.0
202009,1,第1章   活动物,501,加拿大,1504.0
202009,2,第2章   肉及食用杂碎,118,科威特,876359.0
202009,2,第2章   肉及食用杂碎,124,蒙古,14580739.0
202009,2,第2章   肉及食用杂碎,127,巴基斯坦,255922.0
202009,2,第2章   肉及食用杂碎,138,阿联酋,341691.0
202009,2,第2章   肉及食用杂碎,301,比利时,6851028.0
202009,2,第2章   肉及食用杂碎,305,法国,1615905.0
202009,2,第2章   肉及食用杂碎,339,阿塞拜疆,190489.0
202009,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,108,塞浦路斯,1632207.0
202009,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,118,科威特,869932.0
202009,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,129,菲律宾,310259604.0
202009,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,137,土耳其,3907029.0
202009,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,138,阿联酋,3832674.0
202009,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,203,贝宁,3177532.0
202009,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,209,中非,1725736.0
202009,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,220,加纳,3907790.0
202009,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,224,肯尼亚,12903514.0
202009,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,233,莫桑比克,3829909.0
202009,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,244,南非,23174960.0
202009,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,252,刚果民主共和国,6195005.0
202009,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,301,比利时,48185031.0
202009,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,305,法国,132772587.0
202009,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,306,爱尔兰,7691441.0
202009,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,307,意大利,54143011.0
202009,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,309,荷兰,80593980.0
202009,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,310,希腊,5090177.0
202009,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,312,西班牙,131875097.0
202009,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,313,阿尔巴尼亚,716604.0
202009,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,315,奥地利,581938.0
202009,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,316,保加利亚,2103223.0
202009,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,318,芬兰,426695.0
202009,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,321,匈牙利,1323816.0
202009,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,326,挪威,9448750.0
202009,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,327,波兰,52513757.0
202009,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,336,立陶宛,2242168.0
202009,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,405,巴巴多斯,461800.0
202009,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,410,巴西,16734267.0
202009,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,415,哥斯达黎加,1681894.0
202009,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,427,牙买加,365217.0
202009,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,429,墨西哥,15191723.0
202009,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,435,波多黎各,7068181.0
