数据年月,商品编码,商品名称,贸易伙伴编码,贸易伙伴名称,人民币
202110,1,第1章   活动物,129,菲律宾,42609.0
202110,1,第1章   活动物,138,阿联酋,36700.0
202110,1,第1章   活动物,305,法国,176707.0
202110,1,第1章   活动物,307,意大利,89119.0
202110,1,第1章   活动物,312,西班牙,38695.0
202110,1,第1章   活动物,501,加拿大,200878.0
202110,2,第2章   肉及食用杂碎,118,科威特,1470649.0
202110,2,第2章   肉及食用杂碎,124,蒙古,2454697.0
202110,2,第2章   肉及食用杂碎,127,巴基斯坦,1655568.0
202110,2,第2章   肉及食用杂碎,138,阿联酋,1313699.0
202110,2,第2章   肉及食用杂碎,301,比利时,2704776.0
202110,2,第2章   肉及食用杂碎,305,法国,683207.0
202110,2,第2章   肉及食用杂碎,339,阿塞拜疆,661042.0
202110,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,108,塞浦路斯,429867.0
202110,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,123,马尔代夫,1459363.0
202110,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,129,菲律宾,455628476.0
202110,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,137,土耳其,734241.0
202110,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,138,阿联酋,11510214.0
202110,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,203,贝宁,1717825.0
202110,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,209,中非,1452539.0
202110,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,213,刚果共和国,1687790.0
202110,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,220,加纳,1646133.0
202110,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,224,肯尼亚,6872269.0
202110,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,233,莫桑比克,5774262.0
202110,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,235,尼日尔,245327.0
202110,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,244,南非,13741732.0
202110,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,252,刚果民主共和国,8754633.0
202110,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,301,比利时,26597554.0
202110,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,305,法国,100330318.0
202110,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,306,爱尔兰,9644722.0
202110,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,307,意大利,54345249.0
202110,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,309,荷兰,65525432.0
202110,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,310,希腊,13986927.0
202110,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,312,西班牙,193412535.0
202110,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,313,阿尔巴尼亚,1279513.0
202110,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,316,保加利亚,455648.0
202110,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,318,芬兰,559935.0
202110,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,321,匈牙利,2119822.0
202110,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,326,挪威,5366820.0
202110,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,327,波兰,37057071.0
202110,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,336,立陶宛,1227919.0
202110,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,340,白俄罗斯,595627.0
202110,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,350,斯洛文尼亚,551600.0
202110,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,410,巴西,45230140.0
202110,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,415,哥斯达黎加,3283598.0
202110,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,427,牙买加,656469.0
202110,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,429,墨西哥,25473401.0
202110,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,435,波多黎各,10562657.0
202110,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,442,特立尼达和多巴哥,5864807.0
202110,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,444,乌拉圭,5023796.0
202110,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,501,加拿大,181699345.0
202110,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,617,萨摩亚,1140218.0
202110,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,109,朝鲜,1892.0
202110,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,124,蒙古,201600.0
202110,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,127,巴基斯坦,422611.0
202110,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,129,菲律宾,1386770.0
202110,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,138,阿联酋,156019.0
202110,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,244,南非,4576509.0
202110,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,301,比利时,22344367.0
202110,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,305,法国,3544793.0
202110,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,306,爱尔兰,711107.0
202110,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,307,意大利,408280.0
202110,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,309,荷兰,4446960.0
202110,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,310,希腊,981514.0
202110,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,312,西班牙,4610204.0
202110,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,316,保加利亚,128.0
202110,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,327,波兰,23601561.0
202110,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,336,立陶宛,429677.0
202110,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,350,斯洛文尼亚,335581.0
202110,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,410,巴西,51932.0
202110,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,429,墨西哥,817578.0
202110,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,444,乌拉圭,347295.0
202110,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,501,加拿大,3668607.0
202110,5,第5章   其他动物产品,137,土耳其,1258414.0
202110,5,第5章   其他动物产品,138,阿联酋,159652.0
202110,5,第5章   其他动物产品,244,南非,59868472.0
202110,5,第5章   其他动物产品,252,刚果民主共和国,90401.0
202110,5,第5章   其他动物产品,254,津巴布韦,711217.0
202110,5,第5章   其他动物产品,301,比利时,2989188.0
202110,5,第5章   其他动物产品,305,法国,5283672.0
202110,5,第5章   其他动物产品,306,爱尔兰,41293.0
202110,5,第5章   其他动物产品,307,意大利,28435656.0
202110,5,第5章   其他动物产品,309,荷兰,56678438.0
202110,5,第5章   其他动物产品,310,希腊,253083.0
202110,5,第5章   其他动物产品,312,西班牙,28221883.0
202110,5,第5章   其他动物产品,315,奥地利,5803636.0
202110,5,第5章   其他动物产品,316,保加利亚,3161016.0
202110,5,第5章   其他动物产品,321,匈牙利,6493223.0
202110,5,第5章   其他动物产品,327,波兰,20494421.0
202110,5,第5章   其他动物产品,350,斯洛文尼亚,3906545.0
202110,5,第5章   其他动物产品,410,巴西,35983857.0
202110,5,第5章   其他动物产品,429,墨西哥,786628.0
