数据年月,商品编码,商品名称,贸易伙伴编码,贸易伙伴名称,人民币
202106,1,第1章   活动物,129,菲律宾,54611.0
202106,1,第1章   活动物,137,土耳其,1156.0
202106,1,第1章   活动物,301,比利时,235599.0
202106,1,第1章   活动物,305,法国,673345.0
202106,1,第1章   活动物,307,意大利,544535.0
202106,1,第1章   活动物,501,加拿大,1443422.0
202106,2,第2章   肉及食用杂碎,124,蒙古,22259075.0
202106,2,第2章   肉及食用杂碎,127,巴基斯坦,237486.0
202106,2,第2章   肉及食用杂碎,301,比利时,2948106.0
202106,2,第2章   肉及食用杂碎,309,荷兰,695872.0
202106,2,第2章   肉及食用杂碎,339,阿塞拜疆,234209.0
202106,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,108,塞浦路斯,1324371.0
202106,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,118,科威特,343178.0
202106,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,123,马尔代夫,170275.0
202106,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,129,菲律宾,323777722.0
202106,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,137,土耳其,432312.0
202106,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,138,阿联酋,7113115.0
202106,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,203,贝宁,2239927.0
202106,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,209,中非,667609.0
202106,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,213,刚果共和国,2817243.0
202106,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,220,加纳,17202533.0
202106,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,224,肯尼亚,8843067.0
202106,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,233,莫桑比克,5104805.0
202106,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,244,南非,8954704.0
202106,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,252,刚果民主共和国,10455982.0
202106,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,301,比利时,27389909.0
202106,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,305,法国,75097896.0
202106,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,306,爱尔兰,7227033.0
202106,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,307,意大利,55258441.0
202106,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,309,荷兰,60623584.0
202106,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,310,希腊,11766152.0
