数据年月,商品编码,商品名称,贸易伙伴编码,贸易伙伴名称,人民币
202206,1,第1章   活动物,129,菲律宾,340666.0
202206,1,第1章   活动物,138,阿联酋,674.0
202206,1,第1章   活动物,305,法国,496603.0
202206,1,第1章   活动物,307,意大利,666594.0
202206,1,第1章   活动物,312,西班牙,17005.0
202206,1,第1章   活动物,410,巴西,16477.0
202206,1,第1章   活动物,501,加拿大,2322563.0
202206,2,第2章   肉及食用杂碎,123,马尔代夫,302855.0
202206,2,第2章   肉及食用杂碎,124,蒙古,5521016.0
202206,2,第2章   肉及食用杂碎,127,巴基斯坦,996596.0
202206,2,第2章   肉及食用杂碎,129,菲律宾,5022370.0
202206,2,第2章   肉及食用杂碎,138,阿联酋,1609987.0
202206,2,第2章   肉及食用杂碎,220,加纳,1008948.0
202206,2,第2章   肉及食用杂碎,224,肯尼亚,136972.0
202206,2,第2章   肉及食用杂碎,301,比利时,5448506.0
202206,2,第2章   肉及食用杂碎,305,法国,638182.0
202206,2,第2章   肉及食用杂碎,309,荷兰,619581.0
202206,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,108,塞浦路斯,756464.0
202206,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,118,科威特,50431.0
202206,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,123,马尔代夫,1644164.0
202206,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,129,菲律宾,479293983.0
202206,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,137,土耳其,1135325.0
202206,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,138,阿联酋,4118628.0
202206,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,203,贝宁,1993965.0
202206,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,208,佛得角,813771.0
202206,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,209,中非,205095.0
202206,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,213,刚果共和国,3505892.0
202206,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,220,加纳,35358940.0
202206,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,224,肯尼亚,2903707.0
202206,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,233,莫桑比克,1525507.0
202206,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,235,尼日尔,560943.0
202206,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,244,南非,12452279.0
202206,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,252,刚果民主共和国,8686746.0
202206,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,301,比利时,33365497.0
202206,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,305,法国,124093901.0
202206,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,306,爱尔兰,8247977.0
