数据年月,商品编码,商品名称,贸易伙伴编码,贸易伙伴名称,人民币
202310,1,第1章   活动物,118,科威特,33800.0
202310,1,第1章   活动物,129,菲律宾,172446.0
202310,1,第1章   活动物,138,阿联酋,4304.0
202310,1,第1章   活动物,305,法国,401118.0
202310,1,第1章   活动物,307,意大利,149722.0
202310,1,第1章   活动物,309,荷兰,1296.0
202310,1,第1章   活动物,318,芬兰,204436.0
202310,1,第1章   活动物,410,巴西,1435.0
202310,1,第1章   活动物,429,墨西哥,18652.0
202310,1,第1章   活动物,501,加拿大,114055.0
202310,2,第2章   肉及食用杂碎,109,朝鲜,7484469.0
202310,2,第2章   肉及食用杂碎,118,科威特,731414.0
202310,2,第2章   肉及食用杂碎,123,马尔代夫,90575.0
202310,2,第2章   肉及食用杂碎,124,蒙古,24424106.0
202310,2,第2章   肉及食用杂碎,129,菲律宾,1147312.0
202310,2,第2章   肉及食用杂碎,138,阿联酋,2049057.0
202310,2,第2章   肉及食用杂碎,220,加纳,608402.0
202310,2,第2章   肉及食用杂碎,252,刚果民主共和国,301333.0
202310,2,第2章   肉及食用杂碎,301,比利时,4946080.0
202310,2,第2章   肉及食用杂碎,305,法国,886990.0
202310,2,第2章   肉及食用杂碎,309,荷兰,1782426.0
202310,2,第2章   肉及食用杂碎,340,白俄罗斯,6528576.0
202310,2,第2章   肉及食用杂碎,359,黑山,1309642.0
202310,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,108,塞浦路斯,918636.0
202310,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,109,朝鲜,6096793.0
202310,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,123,马尔代夫,973618.0
202310,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,129,菲律宾,387712832.0
202310,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,137,土耳其,926706.0
202310,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,138,阿联酋,14128077.0
202310,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,203,贝宁,1306634.0
202310,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,209,中非,1003244.0
202310,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,213,刚果共和国,9838805.0
202310,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,220,加纳,10609070.0
202310,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,224,肯尼亚,786193.0
202310,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,233,莫桑比克,3023582.0
202310,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,244,南非,19808115.0
