数据年月,商品编码,商品名称,贸易伙伴编码,贸易伙伴名称,人民币
202408,1,第1章   活动物,118,科威特,35637.0
202408,1,第1章   活动物,129,菲律宾,42859.0
202408,1,第1章   活动物,138,阿联酋,41356.0
202408,1,第1章   活动物,301,比利时,107876.0
202408,1,第1章   活动物,305,法国,2372575.0
202408,1,第1章   活动物,307,意大利,322776.0
202408,1,第1章   活动物,312,西班牙,2011.0
202408,1,第1章   活动物,326,挪威,12195.0
202408,1,第1章   活动物,501,加拿大,173710.0
202408,2,第2章   肉及食用杂碎,109,朝鲜,17366704.0
202408,2,第2章   肉及食用杂碎,118,科威特,127838.0
202408,2,第2章   肉及食用杂碎,123,马尔代夫,2245709.0
202408,2,第2章   肉及食用杂碎,124,蒙古,30529549.0
202408,2,第2章   肉及食用杂碎,127,巴基斯坦,2143254.0
202408,2,第2章   肉及食用杂碎,138,阿联酋,7500781.0
202408,2,第2章   肉及食用杂碎,203,贝宁,288838.0
202408,2,第2章   肉及食用杂碎,209,中非,288838.0
202408,2,第2章   肉及食用杂碎,213,刚果共和国,306239.0
202408,2,第2章   肉及食用杂碎,219,冈比亚,1506406.0
202408,2,第2章   肉及食用杂碎,220,加纳,3560671.0
202408,2,第2章   肉及食用杂碎,233,莫桑比克,283763.0
202408,2,第2章   肉及食用杂碎,235,尼日尔,273932.0
202408,2,第2章   肉及食用杂碎,252,刚果民主共和国,1245956.0
202408,2,第2章   肉及食用杂碎,301,比利时,3137724.0
202408,2,第2章   肉及食用杂碎,305,法国,3139511.0
202408,2,第2章   肉及食用杂碎,309,荷兰,4116680.0
202408,2,第2章   肉及食用杂碎,340,白俄罗斯,847259.0
202408,2,第2章   肉及食用杂碎,359,黑山,559069.0
202408,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,108,塞浦路斯,1265675.0
202408,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,109,朝鲜,8421425.0
202408,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,118,科威特,436466.0
202408,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,123,马尔代夫,453155.0
202408,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,129,菲律宾,184631525.0
202408,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,138,阿联酋,10261612.0
202408,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,203,贝宁,8977688.0
202408,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,213,刚果共和国,3917983.0
202408,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,220,加纳,29093891.0
202408,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,227,马达加斯加,379412.0
