数据年月,商品编码,商品名称,贸易伙伴编码,贸易伙伴名称,人民币
201601,1,第1章   活动物,121,中国澳门,9521199.0
201601,1,第1章   活动物,215,埃及,1293.0
201601,1,第1章   活动物,330,瑞典,259.0
201601,2,第2章   肉及食用杂碎,101,阿富汗,2663901.0
201601,2,第2章   肉及食用杂碎,107,柬埔寨,174525.0
201601,2,第2章   肉及食用杂碎,114,伊拉克,4308871.0
201601,2,第2章   肉及食用杂碎,115,以色列,955927.0
201601,2,第2章   肉及食用杂碎,121,中国澳门,24964539.0
201601,2,第2章   肉及食用杂碎,146,吉尔吉斯斯坦,13201689.0
201601,2,第2章   肉及食用杂碎,352,捷克,1035937.0
201601,2,第2章   肉及食用杂碎,449,博纳尔，圣俄斯塔休斯和萨巴 ,213111.0
201601,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,105,文莱,781819.0
201601,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,114,伊拉克,969.0
201601,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,115,以色列,49206467.0
201601,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,117,约旦,353698.0
201601,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,121,中国澳门,1307321.0
201601,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,130,卡塔尔,92092.0
201601,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,131,沙特阿拉伯,2795332.0
201601,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,134,斯里兰卡,50178533.0
201601,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,144,东帝汶,142177.0
201601,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,146,吉尔吉斯斯坦,7000.0
201601,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,201,阿尔及利亚,5337535.0
201601,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,215,埃及,73997993.0
201601,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,216,赤道几内亚,1340182.0
201601,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,226,利比亚,242439.0
201601,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,229,马里,1606480.0
201601,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,232,摩洛哥,11329769.0
201601,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,236,尼日利亚,1038540.0
201601,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,238,卢旺达,218113.0
201601,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,246,苏丹,946595.0
201601,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,247,坦桑尼亚,16192620.0
201601,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,251,布基纳法索,7331059.0
201601,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,253,赞比亚,10420291.0
201601,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,302,丹麦,6468963.0
201601,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,311,葡萄牙,49521202.0
201601,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,328,罗马尼亚,1417758.0
201601,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,330,瑞典,37678788.0
201601,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,331,瑞士,2839440.0
201601,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,335,拉脱维亚,1919953.0
201601,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,347,乌克兰,9083705.0
201601,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,352,捷克,1477251.0
201601,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,353,斯洛伐克,1451538.0
201601,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,355,波斯尼亚和黑塞哥维那,1233659.0
201601,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,412,智利,22370268.0
201601,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,413,哥伦比亚,10065100.0
