数据年月,商品编码,商品名称,贸易伙伴编码,贸易伙伴名称,人民币
201609,1,第1章   活动物,107,柬埔寨,1321.0
201609,1,第1章   活动物,121,中国澳门,30518809.0
201609,1,第1章   活动物,215,埃及,1339.0
201609,1,第1章   活动物,308,卢森堡,54604.0
201609,1,第1章   活动物,347,乌克兰,5284.0
201609,1,第1章   活动物,352,捷克,925.0
201609,2,第2章   肉及食用杂碎,101,阿富汗,7784722.0
201609,2,第2章   肉及食用杂碎,114,伊拉克,6058131.0
201609,2,第2章   肉及食用杂碎,115,以色列,217414.0
201609,2,第2章   肉及食用杂碎,121,中国澳门,24320344.0
201609,2,第2章   肉及食用杂碎,146,吉尔吉斯斯坦,54921460.0
201609,2,第2章   肉及食用杂碎,352,捷克,2310471.0
201609,2,第2章   肉及食用杂碎,432,巴拿马,43200.0
201609,2,第2章   肉及食用杂碎,449,博纳尔，圣俄斯塔休斯和萨巴 ,283512.0
201609,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,105,文莱,94320.0
201609,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,115,以色列,35451348.0
201609,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,117,约旦,1171389.0
201609,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,121,中国澳门,29342757.0
201609,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,130,卡塔尔,483530.0
201609,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,131,沙特阿拉伯,5011382.0
201609,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,134,斯里兰卡,60504734.0
201609,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,144,东帝汶,1185798.0
201609,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,201,阿尔及利亚,1539534.0
201609,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,215,埃及,21754009.0
201609,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,216,赤道几内亚,1016263.0
201609,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,226,利比亚,394737.0
201609,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,229,马里,1204080.0
201609,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,232,摩洛哥,14562561.0
201609,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,236,尼日利亚,2417318.0
201609,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,238,卢旺达,2598255.0
201609,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,246,苏丹,249097.0
201609,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,247,坦桑尼亚,17445651.0
201609,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,248,多哥,246125.0
201609,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,251,布基纳法索,11861439.0
201609,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,253,赞比亚,9036360.0
201609,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,302,丹麦,5837573.0
201609,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,311,葡萄牙,74392419.0
201609,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,328,罗马尼亚,1235486.0
201609,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,330,瑞典,39694081.0
201609,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,331,瑞士,312058.0
201609,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,335,拉脱维亚,821273.0
201609,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,347,乌克兰,4877695.0
201609,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,352,捷克,542579.0
201609,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,353,斯洛伐克,650199.0
201609,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,355,波斯尼亚和黑塞哥维那,1033283.0
201609,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,412,智利,43712846.0
201609,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,413,哥伦比亚,9724367.0
201609,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,416,古巴,671066.0
201609,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,418,多米尼加 ,4738420.0
201609,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,419,厄瓜多尔,2068874.0
201609,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,426,洪都拉斯,1338339.0
201609,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,432,巴拿马,551163.0
201609,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,434,秘鲁,2134737.0
201609,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,449,博纳尔，圣俄斯塔休斯和萨巴 ,324656.0
201609,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,603,斐济,15559617.0
201609,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,609,新西兰,21857252.0
201609,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,611,巴布亚新几内亚,4089627.0
201609,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,613,所罗门群岛,1494861.0
201609,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,620,密克罗尼西亚联邦,703496.0
