数据年月,商品编码,商品名称,贸易伙伴编码,贸易伙伴名称,人民币
201905,1,第1章   活动物,106,缅甸,1342.0
201905,1,第1章   活动物,107,柬埔寨,2013.0
201905,1,第1章   活动物,121,中国澳门,21132535.0
201905,2,第2章   肉及食用杂碎,101,阿富汗,2231733.0
201905,2,第2章   肉及食用杂碎,107,柬埔寨,2252290.0
201905,2,第2章   肉及食用杂碎,121,中国澳门,37945658.0
201905,2,第2章   肉及食用杂碎,146,吉尔吉斯斯坦,3366189.0
201905,2,第2章   肉及食用杂碎,352,捷克,2351647.0
201905,2,第2章   肉及食用杂碎,449,博纳尔，圣俄斯塔休斯和萨巴 ,473407.0
201905,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,101,阿富汗,52748.0
201905,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,103,孟加拉国,27595606.0
201905,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,105,文莱,323244.0
201905,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,107,柬埔寨,11524161.0
201905,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,114,伊拉克,768081.0
201905,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,115,以色列,30290929.0
201905,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,117,约旦,3066109.0
201905,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,121,中国澳门,36570450.0
201905,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,131,沙特阿拉伯,6136749.0
201905,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,134,斯里兰卡,16927210.0
201905,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,144,东帝汶,3179806.0
201905,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,201,阿尔及利亚,4084297.0
201905,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,215,埃及,135089411.0
201905,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,226,利比亚,1571484.0
201905,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,229,马里,2623739.0
201905,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,232,摩洛哥,15800577.0
201905,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,236,尼日利亚,6295986.0
201905,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,238,卢旺达,7514402.0
201905,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,247,坦桑尼亚,1229455.0
201905,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,251,布基纳法索,20965999.0
201905,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,253,赞比亚,4863113.0
201905,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,302,丹麦,12323379.0
201905,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,311,葡萄牙,101476004.0
201905,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,322,冰岛,461046.0
201905,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,328,罗马尼亚,1496409.0
201905,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,330,瑞典,36370833.0
201905,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,331,瑞士,622292.0
201905,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,334,爱沙尼亚,192102.0
201905,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,335,拉脱维亚,2402469.0
201905,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,347,乌克兰,11311888.0
201905,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,352,捷克,1372099.0
201905,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,355,波斯尼亚和黑塞哥维那,370884.0
201905,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,412,智利,9062136.0
201905,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,413,哥伦比亚,4224967.0
201905,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,416,古巴,102898.0
201905,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,418,多米尼加 ,13570987.0
201905,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,419,厄瓜多尔,4047136.0
