数据年月,商品编码,商品名称,贸易伙伴编码,贸易伙伴名称,人民币
202203,1,第1章   活动物,121,中国澳门,22744038.0
202203,1,第1章   活动物,331,瑞士,55319.0
202203,2,第2章   肉及食用杂碎,101,阿富汗,6593522.0
202203,2,第2章   肉及食用杂碎,106,缅甸,605438.0
202203,2,第2章   肉及食用杂碎,107,柬埔寨,15413294.0
202203,2,第2章   肉及食用杂碎,121,中国澳门,33669596.0
202203,2,第2章   肉及食用杂碎,352,捷克,602492.0
202203,2,第2章   肉及食用杂碎,609,新西兰,153580.0
202203,2,第2章   肉及食用杂碎,611,巴布亚新几内亚,1038052.0
202203,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,103,孟加拉国,60665704.0
202203,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,105,文莱,3246711.0
202203,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,107,柬埔寨,3873653.0
202203,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,115,以色列,6440491.0
202203,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,117,约旦,1758805.0
202203,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,121,中国澳门,16762210.0
202203,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,130,卡塔尔,1540627.0
202203,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,134,斯里兰卡,22365789.0
202203,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,144,东帝汶,1715739.0
202203,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,201,阿尔及利亚,296417.0
202203,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,215,埃及,9157584.0
202203,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,216,赤道几内亚,529352.0
202203,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,226,利比亚,5376544.0
202203,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,229,马里,10221232.0
202203,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,232,摩洛哥,5396888.0
202203,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,236,尼日利亚,1294305.0
202203,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,238,卢旺达,50936901.0
202203,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,246,苏丹,279647.0
202203,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,247,坦桑尼亚,3826030.0
202203,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,251,布基纳法索,13037015.0
202203,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,302,丹麦,3178668.0
202203,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,311,葡萄牙,39731135.0
202203,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,328,罗马尼亚,976455.0
202203,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,330,瑞典,30061812.0
202203,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,334,爱沙尼亚,1247030.0
202203,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,335,拉脱维亚,2638791.0
202203,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,352,捷克,974169.0
202203,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,353,斯洛伐克,1453029.0
202203,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,412,智利,26593267.0
202203,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,413,哥伦比亚,5551342.0
202203,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,418,多米尼加 ,11317240.0
202203,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,419,厄瓜多尔,846581.0
202203,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,432,巴拿马,4112527.0
202203,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,434,秘鲁,1234345.0
202203,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,603,斐济,2793668.0
202203,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,608,瓦努阿图,394105.0
202203,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,609,新西兰,7198778.0
202203,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,611,巴布亚新几内亚,2159553.0
202203,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,613,所罗门群岛,2674331.0
202203,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,103,孟加拉国,222501.0
202203,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,105,文莱,559143.0
202203,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,106,缅甸,151761.0
202203,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,107,柬埔寨,303831.0
202203,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,115,以色列,37408.0
202203,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,117,约旦,127062.0
202203,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,121,中国澳门,11050193.0
202203,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,130,卡塔尔,197433.0
202203,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,131,沙特阿拉伯,8965308.0
202203,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,134,斯里兰卡,69111.0
202203,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,201,阿尔及利亚,63837.0
202203,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,215,埃及,193756.0
202203,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,232,摩洛哥,679313.0
202203,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,236,尼日利亚,298048.0
202203,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,311,葡萄牙,6583536.0
202203,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,328,罗马尼亚,728929.0
202203,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,331,瑞士,111.0
202203,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,352,捷克,22187.0
202203,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,413,哥伦比亚,17343.0
202203,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,434,秘鲁,189750.0
202203,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,609,新西兰,582434.0
202203,5,第5章   其他动物产品,103,孟加拉国,77158699.0
202203,5,第5章   其他动物产品,106,缅甸,30404578.0
202203,5,第5章   其他动物产品,107,柬埔寨,20572145.0
202203,5,第5章   其他动物产品,115,以色列,433777.0
202203,5,第5章   其他动物产品,117,约旦,588940.0
202203,5,第5章   其他动物产品,134,斯里兰卡,271765.0
202203,5,第5章   其他动物产品,253,赞比亚,3453085.0
202203,5,第5章   其他动物产品,302,丹麦,2539688.0
202203,5,第5章   其他动物产品,311,葡萄牙,4019535.0
202203,5,第5章   其他动物产品,328,罗马尼亚,4156272.0
202203,5,第5章   其他动物产品,330,瑞典,322405.0
202203,5,第5章   其他动物产品,331,瑞士,133103.0
