数据年月,商品编码,商品名称,贸易伙伴编码,贸易伙伴名称,人民币
202412,1,第1章   活动物,107,柬埔寨,14959.0
202412,1,第1章   活动物,121,中国澳门,45805405.0
202412,1,第1章   活动物,247,坦桑尼亚,148033.0
202412,1,第1章   活动物,302,丹麦,12948.0
202412,1,第1章   活动物,330,瑞典,14027.0
202412,1,第1章   活动物,331,瑞士,264333.0
202412,2,第2章   肉及食用杂碎,101,阿富汗,15711224.0
202412,2,第2章   肉及食用杂碎,106,缅甸,828684.0
202412,2,第2章   肉及食用杂碎,107,柬埔寨,24097620.0
202412,2,第2章   肉及食用杂碎,114,伊拉克,9305218.0
202412,2,第2章   肉及食用杂碎,117,约旦,523687.0
202412,2,第2章   肉及食用杂碎,121,中国澳门,49683411.0
202412,2,第2章   肉及食用杂碎,130,卡塔尔,1496555.0
202412,2,第2章   肉及食用杂碎,146,吉尔吉斯斯坦,57383431.0
202412,2,第2章   肉及食用杂碎,214,吉布提,1047102.0
202412,2,第2章   肉及食用杂碎,216,赤道几内亚,281626.0
202412,2,第2章   肉及食用杂碎,226,利比亚,5704791.0
202412,2,第2章   肉及食用杂碎,247,坦桑尼亚,493194.0
202412,2,第2章   肉及食用杂碎,248,多哥,271437.0
202412,2,第2章   肉及食用杂碎,347,乌克兰,221191.0
202412,2,第2章   肉及食用杂碎,352,捷克,2224314.0
202412,2,第2章   肉及食用杂碎,611,巴布亚新几内亚,1163875.0
202412,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,103,孟加拉国,6848026.0
202412,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,105,文莱,24131.0
202412,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,106,缅甸,2400.0
202412,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,107,柬埔寨,3020925.0
202412,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,114,伊拉克,3406796.0
202412,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,115,以色列,20440799.0
