数据年月,商品编码,商品名称,贸易伙伴编码,贸易伙伴名称,人民币
202605,1,第1章   活动物,121,中国澳门,23469071.0
202605,1,第1章   活动物,302,丹麦,202532.0
202605,1,第1章   活动物,311,葡萄牙,113254.0
202605,1,第1章   活动物,330,瑞典,122983.0
202605,1,第1章   活动物,331,瑞士,313917.0
202605,2,第2章   肉及食用杂碎,101,阿富汗,10537825.0
202605,2,第2章   肉及食用杂碎,106,缅甸,8069830.0
202605,2,第2章   肉及食用杂碎,107,柬埔寨,119325894.0
202605,2,第2章   肉及食用杂碎,114,伊拉克,21946368.0
202605,2,第2章   肉及食用杂碎,117,约旦,21400100.0
202605,2,第2章   肉及食用杂碎,121,中国澳门,40435512.0
202605,2,第2章   肉及食用杂碎,130,卡塔尔,20209800.0
202605,2,第2章   肉及食用杂碎,131,沙特阿拉伯,6378257.0
202605,2,第2章   肉及食用杂碎,146,吉尔吉斯斯坦,71851444.0
202605,2,第2章   肉及食用杂碎,214,吉布提,264658.0
202605,2,第2章   肉及食用杂碎,226,利比亚,61982385.0
202605,2,第2章   肉及食用杂碎,236,尼日利亚,2024512.0
202605,2,第2章   肉及食用杂碎,238,卢旺达,209861.0
202605,2,第2章   肉及食用杂碎,247,坦桑尼亚,1107090.0
202605,2,第2章   肉及食用杂碎,253,赞比亚,130313.0
202605,2,第2章   肉及食用杂碎,352,捷克,3852576.0
202605,2,第2章   肉及食用杂碎,606,瑙鲁,212355.0
202605,2,第2章   肉及食用杂碎,619,图瓦卢,101206.0
202605,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,103,孟加拉国,4670475.0
202605,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,105,文莱,183691.0
202605,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,106,缅甸,99800.0
202605,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,107,柬埔寨,1258506.0
202605,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,115,以色列,13703151.0
202605,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,117,约旦,2962692.0
202605,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,121,中国澳门,15148794.0
202605,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,130,卡塔尔,207468.0
202605,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,134,斯里兰卡,17544796.0
202605,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,144,东帝汶,9292711.0
202605,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,146,吉尔吉斯斯坦,174620.0
202605,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,201,阿尔及利亚,4140501.0
202605,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,215,埃及,4696177.0
202605,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,216,赤道几内亚,408385.0
202605,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,226,利比亚,6427562.0
202605,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,229,马里,40701823.0
202605,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,232,摩洛哥,18564898.0
202605,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,236,尼日利亚,64806916.0
202605,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,238,卢旺达,56007463.0
202605,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,247,坦桑尼亚,11588719.0
202605,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,248,多哥,619776.0
202605,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,251,布基纳法索,63204944.0
202605,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,253,赞比亚,801058.0
202605,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,302,丹麦,18774744.0
202605,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,311,葡萄牙,86500893.0
202605,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,322,冰岛,14.0
202605,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,328,罗马尼亚,1084528.0
202605,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,330,瑞典,57712556.0
202605,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,343,摩尔多瓦,122419.0
202605,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,347,乌克兰,7703439.0
202605,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,352,捷克,2504093.0
202605,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,353,斯洛伐克,2254286.0
202605,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,412,智利,18410441.0
202605,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,413,哥伦比亚,7746000.0
202605,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,418,多米尼加 ,23250820.0
202605,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,419,厄瓜多尔,625811.0
202605,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,432,巴拿马,824385.0
202605,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,434,秘鲁,20991926.0
202605,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,504,百慕大,764872.0
202605,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,603,斐济,3199370.0
202605,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,608,瓦努阿图,34683.0
202605,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,609,新西兰,16149603.0
202605,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,611,巴布亚新几内亚,260368.0
202605,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,613,所罗门群岛,958330.0
202605,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,103,孟加拉国,6526100.0
202605,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,105,文莱,677940.0
202605,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,106,缅甸,5353084.0
202605,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,107,柬埔寨,2555283.0
202605,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,115,以色列,3601.0
202605,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,121,中国澳门,17676800.0
202605,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,131,沙特阿拉伯,7496823.0
202605,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,134,斯里兰卡,137553.0
202605,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,214,吉布提,285467.0
202605,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,215,埃及,751384.0
202605,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,229,马里,144022.0
202605,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,232,摩洛哥,2146877.0
202605,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,236,尼日利亚,16655451.0
202605,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,247,坦桑尼亚,622203.0
202605,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,302,丹麦,2331545.0
202605,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,311,葡萄牙,3427028.0
202605,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,328,罗马尼亚,7.0
202605,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,330,瑞典,1152166.0
202605,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,353,斯洛伐克,1074563.0
202605,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,402,阿根廷,69.0
202605,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,423,危地马拉,588077.0
202605,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,434,秘鲁,41.0
202605,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,606,瑙鲁,416325.0
202605,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,609,新西兰,547997.0
202605,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,619,图瓦卢,129341.0
202605,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,620,密克罗尼西亚联邦,13216.0
202605,5,第5章   其他动物产品,103,孟加拉国,42819488.0
202605,5,第5章   其他动物产品,106,缅甸,52696180.0
202605,5,第5章   其他动物产品,107,柬埔寨,16920647.0
202605,5,第5章   其他动物产品,115,以色列,5964.0
202605,5,第5章   其他动物产品,117,约旦,93772.0
202605,5,第5章   其他动物产品,121,中国澳门,130839.0
202605,5,第5章   其他动物产品,134,斯里兰卡,25124.0
202605,5,第5章   其他动物产品,146,吉尔吉斯斯坦,19000.0
202605,5,第5章   其他动物产品,215,埃及,629953.0
202605,5,第5章   其他动物产品,232,摩洛哥,5511565.0
202605,5,第5章   其他动物产品,247,坦桑尼亚,147451.0
202605,5,第5章   其他动物产品,248,多哥,81846.0
202605,5,第5章   其他动物产品,253,赞比亚,5231570.0
202605,5,第5章   其他动物产品,302,丹麦,3517878.0
202605,5,第5章   其他动物产品,311,葡萄牙,2035629.0
202605,5,第5章   其他动物产品,328,罗马尼亚,14890403.0
202605,5,第5章   其他动物产品,330,瑞典,1440.0
202605,5,第5章   其他动物产品,331,瑞士,597069.0
202605,5,第5章   其他动物产品,334,爱沙尼亚,180974.0
202605,5,第5章   其他动物产品,347,乌克兰,2221830.0
202605,5,第5章   其他动物产品,352,捷克,2784137.0
202605,5,第5章   其他动物产品,412,智利,1539867.0
202605,5,第5章   其他动物产品,434,秘鲁,267772.0
202605,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,103,孟加拉国,204317.0
202605,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,105,文莱,155659.0
202605,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,106,缅甸,627741.0
202605,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,107,柬埔寨,612027.0
202605,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,115,以色列,203398.0
202605,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,117,约旦,797299.0
202605,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,121,中国澳门,1332463.0
202605,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,130,卡塔尔,390841.0
202605,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,131,沙特阿拉伯,1241943.0
202605,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,134,斯里兰卡,141045.0
202605,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,146,吉尔吉斯斯坦,5944241.0
202605,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,215,埃及,575682.0
202605,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,226,利比亚,296716.0
202605,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,236,尼日利亚,178067.0
202605,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,302,丹麦,1072770.0
202605,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,311,葡萄牙,158960.0
202605,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,328,罗马尼亚,506309.0
202605,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,330,瑞典,64972.0
202605,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,331,瑞士,710.0
202605,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,347,乌克兰,10301.0
202605,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,352,捷克,32863.0
202605,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,412,智利,125752.0
202605,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,413,哥伦比亚,121178.0
202605,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,418,多米尼加 ,313893.0
202605,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,423,危地马拉,37788.0
202605,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,432,巴拿马,247179.0
202605,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,609,新西兰,770597.0
202605,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,623,法属波利尼西亚,15762.0
202605,7,第7章   食用蔬菜、根及块茎,101,阿富汗,479045.0
202605,7,第7章   食用蔬菜、根及块茎,103,孟加拉国,45806081.0
202605,7,第7章   食用蔬菜、根及块茎,105,文莱,4587311.0
202605,7,第7章   食用蔬菜、根及块茎,106,缅甸,7751927.0
202605,7,第7章   食用蔬菜、根及块茎,107,柬埔寨,7487188.0
202605,7,第7章   食用蔬菜、根及块茎,114,伊拉克,1971641.0
202605,7,第7章   食用蔬菜、根及块茎,115,以色列,12916299.0
202605,7,第7章   食用蔬菜、根及块茎,117,约旦,1945124.0
202605,7,第7章   食用蔬菜、根及块茎,121,中国澳门,12526145.0
202605,7,第7章   食用蔬菜、根及块茎,130,卡塔尔,1535372.0
202605,7,第7章   食用蔬菜、根及块茎,131,沙特阿拉伯,60689016.0
202605,7,第7章   食用蔬菜、根及块茎,134,斯里兰卡,7161775.0
202605,7,第7章   食用蔬菜、根及块茎,144,东帝汶,1451099.0
202605,7,第7章   食用蔬菜、根及块茎,146,吉尔吉斯斯坦,202265216.0
202605,7,第7章   食用蔬菜、根及块茎,201,阿尔及利亚,2992504.0
202605,7,第7章   食用蔬菜、根及块茎,215,埃及,834533.0
202605,7,第7章   食用蔬菜、根及块茎,226,利比亚,137754.0
202605,7,第7章   食用蔬菜、根及块茎,229,马里,1959053.0
202605,7,第7章   食用蔬菜、根及块茎,232,摩洛哥,468954.0
202605,7,第7章   食用蔬菜、根及块茎,236,尼日利亚,1598554.0
202605,7,第7章   食用蔬菜、根及块茎,246,苏丹,6824181.0
202605,7,第7章   食用蔬菜、根及块茎,247,坦桑尼亚,494369.0
202605,7,第7章   食用蔬菜、根及块茎,248,多哥,1631088.0
202605,7,第7章   食用蔬菜、根及块茎,251,布基纳法索,2893753.0
202605,7,第7章   食用蔬菜、根及块茎,302,丹麦,6427100.0
202605,7,第7章   食用蔬菜、根及块茎,311,葡萄牙,1300567.0
202605,7,第7章   食用蔬菜、根及块茎,328,罗马尼亚,435100.0
202605,7,第7章   食用蔬菜、根及块茎,330,瑞典,3341966.0
202605,7,第7章   食用蔬菜、根及块茎,331,瑞士,4955443.0
202605,7,第7章   食用蔬菜、根及块茎,334,爱沙尼亚,733151.0
202605,7,第7章   食用蔬菜、根及块茎,335,拉脱维亚,1376070.0
202605,7,第7章   食用蔬菜、根及块茎,343,摩尔多瓦,20575.0
202605,7,第7章   食用蔬菜、根及块茎,347,乌克兰,2471850.0
202605,7,第7章   食用蔬菜、根及块茎,352,捷克,1217272.0
202605,7,第7章   食用蔬菜、根及块茎,353,斯洛伐克,1250527.0
202605,7,第7章   食用蔬菜、根及块茎,355,波斯尼亚和黑塞哥维那,233349.0
202605,7,第7章   食用蔬菜、根及块茎,402,阿根廷,6137674.0
202605,7,第7章   食用蔬菜、根及块茎,412,智利,15825472.0
202605,7,第7章   食用蔬菜、根及块茎,413,哥伦比亚,25864228.0
202605,7,第7章   食用蔬菜、根及块茎,416,古巴,311744.0
202605,7,第7章   食用蔬菜、根及块茎,418,多米尼加 ,7263532.0
