数据年月,商品编码,商品名称,贸易伙伴编码,贸易伙伴名称,人民币
201504,1,第1章   活动物,112,印度尼西亚,229743.0
201504,1,第1章   活动物,116,日本,394087.0
201504,1,第1章   活动物,136,泰国,168393.0
201504,1,第1章   活动物,143,中国台湾,698322.0
201504,1,第1章   活动物,145,哈萨克斯坦,1889769.0
201504,1,第1章   活动物,303,英国,25311.0
201504,1,第1章   活动物,304,德国,692779.0
201504,1,第1章   活动物,344,俄罗斯,1772813.0
201504,1,第1章   活动物,424,圭亚那,200056.0
201504,1,第1章   活动物,502,美国,5250510.0
201504,1,第1章   活动物,601,澳大利亚,85775818.0
201504,2,第2章   肉及食用杂碎,303,英国,32124681.0
201504,2,第2章   肉及食用杂碎,304,德国,233755610.0
201504,2,第2章   肉及食用杂碎,502,美国,226998118.0
201504,2,第2章   肉及食用杂碎,601,澳大利亚,557155183.0
201504,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,110,中国香港,1007854.0
201504,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,111,印度,56118209.0
201504,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,112,印度尼西亚,144720228.0
201504,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,113,伊朗,5569599.0
201504,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,116,日本,362723166.0
201504,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,122,马来西亚,27444111.0
201504,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,126,阿曼,2998759.0
201504,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,132,新加坡,2732097.0
201504,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,133,韩国,57359328.0
201504,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,136,泰国,111475967.0
201504,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,139,也门,1995737.0
201504,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,141,越南,25851887.0
201504,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,142,中国,43070768.0
201504,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,143,中国台湾,31330856.0
201504,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,145,哈萨克斯坦,875019.0
201504,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,230,毛里塔尼亚,4233138.0
201504,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,231,毛里求斯,1967624.0
201504,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,234,纳米比亚,3150423.0
201504,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,240,塞内加尔,7936037.0
201504,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,303,英国,40589599.0
201504,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,304,德国,12614707.0
201504,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,344,俄罗斯,1146890297.0
201504,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,502,美国,694776716.0
201504,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,601,澳大利亚,23076879.0
201504,4,第4章   乳品;蛋品;天然蜂蜜;其他食用动物产品,112,印度尼西亚,6128283.0
201504,4,第4章   乳品;蛋品;天然蜂蜜;其他食用动物产品,116,日本,49562.0
201504,4,第4章   乳品;蛋品;天然蜂蜜;其他食用动物产品,122,马来西亚,5855162.0
201504,4,第4章   乳品;蛋品;天然蜂蜜;其他食用动物产品,132,新加坡,3812351.0
201504,4,第4章   乳品;蛋品;天然蜂蜜;其他食用动物产品,133,韩国,11883658.0
201504,4,第4章   乳品;蛋品;天然蜂蜜;其他食用动物产品,136,泰国,817420.0
201504,4,第4章   乳品;蛋品;天然蜂蜜;其他食用动物产品,142,中国,20262.0
201504,4,第4章   乳品;蛋品;天然蜂蜜;其他食用动物产品,143,中国台湾,4173856.0
201504,4,第4章   乳品;蛋品;天然蜂蜜;其他食用动物产品,303,英国,4495418.0
201504,4,第4章   乳品;蛋品;天然蜂蜜;其他食用动物产品,304,德国,90837181.0
201504,4,第4章   乳品;蛋品;天然蜂蜜;其他食用动物产品,344,俄罗斯,721613.0
201504,4,第4章   乳品;蛋品;天然蜂蜜;其他食用动物产品,502,美国,190215605.0
201504,4,第4章   乳品;蛋品;天然蜂蜜;其他食用动物产品,601,澳大利亚,147804969.0
201504,5,第5章   其他动物产品,111,印度,523866.0
201504,5,第5章   其他动物产品,112,印度尼西亚,3450948.0
201504,5,第5章   其他动物产品,116,日本,2181748.0
201504,5,第5章   其他动物产品,122,马来西亚,307615.0
201504,5,第5章   其他动物产品,133,韩国,2035985.0
201504,5,第5章   其他动物产品,136,泰国,3765613.0
201504,5,第5章   其他动物产品,142,中国,5593144.0
201504,5,第5章   其他动物产品,143,中国台湾,15292545.0
201504,5,第5章   其他动物产品,145,哈萨克斯坦,841502.0
201504,5,第5章   其他动物产品,149,乌兹别克斯坦,129248.0
201504,5,第5章   其他动物产品,303,英国,608902.0
201504,5,第5章   其他动物产品,304,德国,8206373.0
201504,5,第5章   其他动物产品,344,俄罗斯,9119519.0
201504,5,第5章   其他动物产品,502,美国,68831502.0
201504,5,第5章   其他动物产品,601,澳大利亚,21347249.0
201504,6,第6章   活树及其他活植物;鳞茎、根及类似品;插花及装饰用簇叶,111,印度,200323.0
201504,6,第6章   活树及其他活植物;鳞茎、根及类似品;插花及装饰用簇叶,112,印度尼西亚,282129.0
201504,6,第6章   活树及其他活植物;鳞茎、根及类似品;插花及装饰用簇叶,116,日本,43000357.0
201504,6,第6章   活树及其他活植物;鳞茎、根及类似品;插花及装饰用簇叶,122,马来西亚,44549.0
201504,6,第6章   活树及其他活植物;鳞茎、根及类似品;插花及装饰用簇叶,125,尼泊尔,717603.0
201504,6,第6章   活树及其他活植物;鳞茎、根及类似品;插花及装饰用簇叶,133,韩国,1444318.0
201504,6,第6章   活树及其他活植物;鳞茎、根及类似品;插花及装饰用簇叶,136,泰国,6763463.0
201504,6,第6章   活树及其他活植物;鳞茎、根及类似品;插花及装饰用簇叶,141,越南,1268086.0
201504,6,第6章   活树及其他活植物;鳞茎、根及类似品;插花及装饰用簇叶,142,中国,510465.0
201504,6,第6章   活树及其他活植物;鳞茎、根及类似品;插花及装饰用簇叶,143,中国台湾,3530472.0
201504,6,第6章   活树及其他活植物;鳞茎、根及类似品;插花及装饰用簇叶,217,埃塞俄比亚,113834.0
201504,6,第6章   活树及其他活植物;鳞茎、根及类似品;插花及装饰用簇叶,223,科特迪瓦,679.0
201504,6,第6章   活树及其他活植物;鳞茎、根及类似品;插花及装饰用簇叶,249,突尼斯,34.0
201504,6,第6章   活树及其他活植物;鳞茎、根及类似品;插花及装饰用簇叶,304,德国,678479.0
201504,6,第6章   活树及其他活植物;鳞茎、根及类似品;插花及装饰用簇叶,502,美国,21670031.0
201504,6,第6章   活树及其他活植物;鳞茎、根及类似品;插花及装饰用簇叶,601,澳大利亚,1532134.0
201504,7,第7章   食用蔬菜、根及块茎,111,印度,27326746.0
201504,7,第7章   食用蔬菜、根及块茎,112,印度尼西亚,3590219.0
201504,7,第7章   食用蔬菜、根及块茎,116,日本,92686.0
201504,7,第7章   食用蔬菜、根及块茎,122,马来西亚,195565.0
201504,7,第7章   食用蔬菜、根及块茎,136,泰国,1130324388.0
201504,7,第7章   食用蔬菜、根及块茎,141,越南,455858144.0
201504,7,第7章   食用蔬菜、根及块茎,142,中国,295699.0
201504,7,第7章   食用蔬菜、根及块茎,143,中国台湾,2595284.0
201504,7,第7章   食用蔬菜、根及块茎,303,英国,2932247.0
201504,7,第7章   食用蔬菜、根及块茎,344,俄罗斯,58993.0
201504,7,第7章   食用蔬菜、根及块茎,502,美国,72368014.0
201504,7,第7章   食用蔬菜、根及块茎,601,澳大利亚,2568302.0
201504,8,第8章   食用水果及坚果;甜瓜或柑橘属水果的果皮,111,印度,1483389.0
201504,8,第8章   食用水果及坚果;甜瓜或柑橘属水果的果皮,112,印度尼西亚,36566205.0
201504,8,第8章   食用水果及坚果;甜瓜或柑橘属水果的果皮,113,伊朗,6018238.0
201504,8,第8章   食用水果及坚果;甜瓜或柑橘属水果的果皮,116,日本,194406.0
201504,8,第8章   食用水果及坚果;甜瓜或柑橘属水果的果皮,122,马来西亚,54022164.0
201504,8,第8章   食用水果及坚果;甜瓜或柑橘属水果的果皮,133,韩国,80742.0
201504,8,第8章   食用水果及坚果;甜瓜或柑橘属水果的果皮,136,泰国,647265645.0
201504,8,第8章   食用水果及坚果;甜瓜或柑橘属水果的果皮,141,越南,515183152.0
201504,8,第8章   食用水果及坚果;甜瓜或柑橘属水果的果皮,142,中国,5734.0
201504,8,第8章   食用水果及坚果;甜瓜或柑橘属水果的果皮,143,中国台湾,104133576.0
201504,8,第8章   食用水果及坚果;甜瓜或柑橘属水果的果皮,145,哈萨克斯坦,12317724.0
201504,8,第8章   食用水果及坚果;甜瓜或柑橘属水果的果皮,149,乌兹别克斯坦,3884498.0
201504,8,第8章   食用水果及坚果;甜瓜或柑橘属水果的果皮,304,德国,623405.0
201504,8,第8章   食用水果及坚果;甜瓜或柑橘属水果的果皮,344,俄罗斯,58815980.0
201504,8,第8章   食用水果及坚果;甜瓜或柑橘属水果的果皮,358,塞尔维亚,356771.0
201504,8,第8章   食用水果及坚果;甜瓜或柑橘属水果的果皮,502,美国,316087517.0
201504,8,第8章   食用水果及坚果;甜瓜或柑橘属水果的果皮,601,澳大利亚,85335185.0
201504,9,第9章   咖啡、茶、马黛茶及调味香料,110,中国香港,492602.0
201504,9,第9章   咖啡、茶、马黛茶及调味香料,111,印度,12303000.0
201504,9,第9章   咖啡、茶、马黛茶及调味香料,112,印度尼西亚,36628000.0
201504,9,第9章   咖啡、茶、马黛茶及调味香料,113,伊朗,175441.0
201504,9,第9章   咖啡、茶、马黛茶及调味香料,116,日本,689644.0
201504,9,第9章   咖啡、茶、马黛茶及调味香料,122,马来西亚,15173955.0
201504,9,第9章   咖啡、茶、马黛茶及调味香料,132,新加坡,1173000.0
201504,9,第9章   咖啡、茶、马黛茶及调味香料,133,韩国,738857.0
201504,9,第9章   咖啡、茶、马黛茶及调味香料,136,泰国,295805.0
201504,9,第9章   咖啡、茶、马黛茶及调味香料,141,越南,21227718.0
201504,9,第9章   咖啡、茶、马黛茶及调味香料,142,中国,330993.0
201504,9,第9章   咖啡、茶、马黛茶及调味香料,143,中国台湾,9655026.0
201504,9,第9章   咖啡、茶、马黛茶及调味香料,205,布隆迪,817770.0
201504,9,第9章   咖啡、茶、马黛茶及调味香料,217,埃塞俄比亚,692390.0
201504,9,第9章   咖啡、茶、马黛茶及调味香料,231,毛里求斯,36010.0
201504,9,第9章   咖啡、茶、马黛茶及调味香料,303,英国,5300222.0
201504,9,第9章   咖啡、茶、马黛茶及调味香料,304,德国,1060353.0
201504,9,第9章   咖啡、茶、马黛茶及调味香料,344,俄罗斯,64993.0
201504,9,第9章   咖啡、茶、马黛茶及调味香料,351,克罗地亚,4403.0
201504,9,第9章   咖啡、茶、马黛茶及调味香料,502,美国,5980611.0
201504,9,第9章   咖啡、茶、马黛茶及调味香料,601,澳大利亚,700425.0
201504,10,第10章  谷物,119,老挝,8519760.0
201504,10,第10章  谷物,136,泰国,229254086.0
201504,10,第10章  谷物,141,越南,503897593.0
201504,10,第10章  谷物,143,中国台湾,255456.0
201504,10,第10章  谷物,145,哈萨克斯坦,11353559.0
201504,10,第10章  谷物,304,德国,10868686.0
201504,10,第10章  谷物,344,俄罗斯,43057875.0
201504,10,第10章  谷物,502,美国,1750618745.0
201504,10,第10章  谷物,601,澳大利亚,1280513667.0
201504,11,第11章  制粉工业产品;麦芽;淀粉;菊粉;面筋,111,印度,3990.0
201504,11,第11章  制粉工业产品;麦芽;淀粉;菊粉;面筋,112,印度尼西亚,1652.0
201504,11,第11章  制粉工业产品;麦芽;淀粉;菊粉;面筋,116,日本,818176.0
201504,11,第11章  制粉工业产品;麦芽;淀粉;菊粉;面筋,119,老挝,3902615.0
201504,11,第11章  制粉工业产品;麦芽;淀粉;菊粉;面筋,133,韩国,222750.0
201504,11,第11章  制粉工业产品;麦芽;淀粉;菊粉;面筋,136,泰国,441630546.0
201504,11,第11章  制粉工业产品;麦芽;淀粉;菊粉;面筋,141,越南,217779552.0
201504,11,第11章  制粉工业产品;麦芽;淀粉;菊粉;面筋,142,中国,320183.0
201504,11,第11章  制粉工业产品;麦芽;淀粉;菊粉;面筋,143,中国台湾,1476580.0
201504,11,第11章  制粉工业产品;麦芽;淀粉;菊粉;面筋,303,英国,305268.0
201504,11,第11章  制粉工业产品;麦芽;淀粉;菊粉;面筋,304,德国,15678866.0
201504,11,第11章  制粉工业产品;麦芽;淀粉;菊粉;面筋,344,俄罗斯,3408125.0
201504,11,第11章  制粉工业产品;麦芽;淀粉;菊粉;面筋,502,美国,15069480.0
201504,11,第11章  制粉工业产品;麦芽;淀粉;菊粉;面筋,601,澳大利亚,1488829.0
201504,12,第12章  含油子仁及果实;杂项子仁及果仁;工业用或药用植物;稻草、秸秆及饲料,111,印度,36565123.0
201504,12,第12章  含油子仁及果实;杂项子仁及果仁;工业用或药用植物;稻草、秸秆及饲料,112,印度尼西亚,107312754.0
201504,12,第12章  含油子仁及果实;杂项子仁及果仁;工业用或药用植物;稻草、秸秆及饲料,116,日本,24920346.0
201504,12,第12章  含油子仁及果实;杂项子仁及果仁;工业用或药用植物;稻草、秸秆及饲料,119,老挝,18693430.0
201504,12,第12章  含油子仁及果实;杂项子仁及果仁;工业用或药用植物;稻草、秸秆及饲料,122,马来西亚,243437.0
201504,12,第12章  含油子仁及果实;杂项子仁及果仁;工业用或药用植物;稻草、秸秆及饲料,133,韩国,11490367.0
201504,12,第12章  含油子仁及果实;杂项子仁及果仁;工业用或药用植物;稻草、秸秆及饲料,136,泰国,15156922.0
201504,12,第12章  含油子仁及果实;杂项子仁及果仁;工业用或药用植物;稻草、秸秆及饲料,141,越南,1371911.0
201504,12,第12章  含油子仁及果实;杂项子仁及果仁;工业用或药用植物;稻草、秸秆及饲料,142,中国,2339309.0
201504,12,第12章  含油子仁及果实;杂项子仁及果仁;工业用或药用植物;稻草、秸秆及饲料,143,中国台湾,1499610.0
201504,12,第12章  含油子仁及果实;杂项子仁及果仁;工业用或药用植物;稻草、秸秆及饲料,145,哈萨克斯坦,26213347.0
