数据年月,商品编码,商品名称,贸易伙伴编码,贸易伙伴名称,人民币
201508,1,第1章   活动物,112,印度尼西亚,309970.0
201508,1,第1章   活动物,116,日本,45152.0
201508,1,第1章   活动物,136,泰国,151363.0
201508,1,第1章   活动物,141,越南,453136.0
201508,1,第1章   活动物,143,中国台湾,1284205.0
201508,1,第1章   活动物,303,英国,6115.0
201508,1,第1章   活动物,304,德国,4650337.0
201508,1,第1章   活动物,344,俄罗斯,229030.0
201508,1,第1章   活动物,424,圭亚那,845460.0
201508,1,第1章   活动物,441,苏里南,192102.0
201508,1,第1章   活动物,502,美国,8149231.0
201508,1,第1章   活动物,601,澳大利亚,144140284.0
201508,2,第2章   肉及食用杂碎,303,英国,34855026.0
201508,2,第2章   肉及食用杂碎,304,德国,327093866.0
201508,2,第2章   肉及食用杂碎,502,美国,232409988.0
201508,2,第2章   肉及食用杂碎,601,澳大利亚,489071719.0
201508,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,111,印度,61935862.0
201508,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,112,印度尼西亚,128468521.0
201508,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,113,伊朗,1270920.0
201508,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,116,日本,82302663.0
201508,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,122,马来西亚,23371751.0
201508,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,126,阿曼,248409.0
201508,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,132,新加坡,646346.0
201508,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,133,韩国,39300653.0
201508,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,136,泰国,44801123.0
201508,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,141,越南,41924348.0
201508,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,142,中国,2343479.0
201508,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,143,中国台湾,53653738.0
201508,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,145,哈萨克斯坦,529805.0
201508,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,230,毛里塔尼亚,1981449.0
201508,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,231,毛里求斯,3281712.0
201508,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,234,纳米比亚,1049502.0
201508,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,240,塞内加尔,11048886.0
201508,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,303,英国,53207540.0
201508,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,304,德国,15023986.0
201508,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,344,俄罗斯,421120885.0
201508,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,424,圭亚那,639063.0
201508,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,441,苏里南,290505.0
201508,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,502,美国,591471105.0
201508,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,601,澳大利亚,34855409.0
201508,4,第4章   乳品;蛋品;天然蜂蜜;其他食用动物产品,112,印度尼西亚,9345844.0
201508,4,第4章   乳品;蛋品;天然蜂蜜;其他食用动物产品,113,伊朗,243729.0
201508,4,第4章   乳品;蛋品;天然蜂蜜;其他食用动物产品,116,日本,30670.0
201508,4,第4章   乳品;蛋品;天然蜂蜜;其他食用动物产品,120,黎巴嫩,12230.0
201508,4,第4章   乳品;蛋品;天然蜂蜜;其他食用动物产品,122,马来西亚,13222100.0
201508,4,第4章   乳品;蛋品;天然蜂蜜;其他食用动物产品,132,新加坡,1188977.0
201508,4,第4章   乳品;蛋品;天然蜂蜜;其他食用动物产品,133,韩国,8681564.0
201508,4,第4章   乳品;蛋品;天然蜂蜜;其他食用动物产品,136,泰国,4449968.0
201508,4,第4章   乳品;蛋品;天然蜂蜜;其他食用动物产品,143,中国台湾,5278542.0
201508,4,第4章   乳品;蛋品;天然蜂蜜;其他食用动物产品,217,埃塞俄比亚,19219.0
201508,4,第4章   乳品;蛋品;天然蜂蜜;其他食用动物产品,303,英国,8182775.0
201508,4,第4章   乳品;蛋品;天然蜂蜜;其他食用动物产品,304,德国,156798743.0
201508,4,第4章   乳品;蛋品;天然蜂蜜;其他食用动物产品,344,俄罗斯,273612.0
201508,4,第4章   乳品;蛋品;天然蜂蜜;其他食用动物产品,502,美国,132697569.0
201508,4,第4章   乳品;蛋品;天然蜂蜜;其他食用动物产品,601,澳大利亚,119452444.0
201508,5,第5章   其他动物产品,110,中国香港,13389.0
201508,5,第5章   其他动物产品,111,印度,211892.0
201508,5,第5章   其他动物产品,112,印度尼西亚,1256345.0
201508,5,第5章   其他动物产品,116,日本,2520856.0
201508,5,第5章   其他动物产品,122,马来西亚,211306.0
