数据年月,商品编码,商品名称,贸易伙伴编码,贸易伙伴名称,人民币
201711,1,第1章   活动物,110,中国香港,2271.0
201711,1,第1章   活动物,112,印度尼西亚,648150.0
201711,1,第1章   活动物,116,日本,6657035.0
201711,1,第1章   活动物,135,叙利亚,49642.0
201711,1,第1章   活动物,141,越南,725902.0
201711,1,第1章   活动物,142,中国,6599100.0
201711,1,第1章   活动物,143,中国台湾,547387.0
201711,1,第1章   活动物,149,乌兹别克斯坦,2309685.0
201711,1,第1章   活动物,202,安哥拉,9013674.0
201711,1,第1章   活动物,221,几内亚,39713.0
201711,1,第1章   活动物,303,英国,351582.0
201711,1,第1章   活动物,304,德国,847816.0
201711,1,第1章   活动物,344,俄罗斯,1497418.0
201711,1,第1章   活动物,358,塞尔维亚,491193.0
201711,1,第1章   活动物,424,圭亚那,1270760.0
201711,1,第1章   活动物,441,苏里南,1485292.0
201711,1,第1章   活动物,502,美国,2041568.0
201711,1,第1章   活动物,601,澳大利亚,160928679.0
201711,2,第2章   肉及食用杂碎,303,英国,41588352.0
201711,2,第2章   肉及食用杂碎,304,德国,506034550.0
201711,2,第2章   肉及食用杂碎,502,美国,1078194530.0
201711,2,第2章   肉及食用杂碎,601,澳大利亚,741702107.0
201711,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,110,中国香港,622421.0
201711,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,111,印度,73139796.0
201711,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,112,印度尼西亚,290448320.0
201711,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,113,伊朗,2398588.0
201711,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,116,日本,142390839.0
201711,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,122,马来西亚,30491842.0
201711,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,132,新加坡,3609099.0
201711,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,133,韩国,62997816.0
201711,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,136,泰国,95724564.0
201711,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,139,也门,1067696.0
