数据年月,商品编码,商品名称,贸易伙伴编码,贸易伙伴名称,人民币
201702,1,第1章   活动物,112,印度尼西亚,450301.0
201702,1,第1章   活动物,116,日本,1947264.0
201702,1,第1章   活动物,141,越南,753776.0
201702,1,第1章   活动物,142,中国,6852500.0
201702,1,第1章   活动物,143,中国台湾,449690.0
201702,1,第1章   活动物,303,英国,33423.0
201702,1,第1章   活动物,304,德国,1971351.0
201702,1,第1章   活动物,344,俄罗斯,4101222.0
201702,1,第1章   活动物,424,圭亚那,192482.0
201702,1,第1章   活动物,502,美国,1596073.0
201702,1,第1章   活动物,601,澳大利亚,140762142.0
201702,2,第2章   肉及食用杂碎,303,英国,45911627.0
201702,2,第2章   肉及食用杂碎,304,德国,498942552.0
201702,2,第2章   肉及食用杂碎,502,美国,466603860.0
201702,2,第2章   肉及食用杂碎,601,澳大利亚,405110247.0
201702,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,110,中国香港,3960473.0
201702,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,111,印度,61294057.0
201702,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,112,印度尼西亚,163817249.0
201702,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,116,日本,117398745.0
201702,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,122,马来西亚,23760230.0
201702,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,126,阿曼,1712989.0
201702,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,132,新加坡,2229315.0
201702,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,133,韩国,32864948.0
201702,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,136,泰国,83710620.0
201702,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,139,也门,263925.0
201702,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,141,越南,48049507.0
201702,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,142,中国,13858333.0
201702,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,143,中国台湾,30331394.0
201702,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,145,哈萨克斯坦,737300.0
201702,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,223,科特迪瓦,178941.0
201702,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,230,毛里塔尼亚,17410463.0
201702,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,231,毛里求斯,427504.0
201702,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,234,纳米比亚,4775621.0
201702,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,240,塞内加尔,1580923.0
201702,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,243,索马里,5071445.0
201702,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,303,英国,68995550.0
201702,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,304,德国,620485.0
201702,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,344,俄罗斯,920460639.0
201702,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,424,圭亚那,1859952.0
201702,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,441,苏里南,419751.0
201702,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,502,美国,336617225.0
201702,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,601,澳大利亚,58224561.0
201702,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,112,印度尼西亚,15021647.0
201702,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,116,日本,42610.0
201702,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,122,马来西亚,10091696.0
201702,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,132,新加坡,1811665.0
201702,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,133,韩国,8015904.0
201702,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,136,泰国,23300.0
201702,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,143,中国台湾,1639928.0
201702,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,303,英国,8950534.0
201702,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,304,德国,113224824.0
201702,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,344,俄罗斯,162962.0
201702,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,502,美国,189100784.0
201702,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,601,澳大利亚,186113210.0
201702,5,第5章   其他动物产品,111,印度,461005.0
201702,5,第5章   其他动物产品,112,印度尼西亚,2012552.0
201702,5,第5章   其他动物产品,116,日本,1949108.0
201702,5,第5章   其他动物产品,122,马来西亚,1139406.0
201702,5,第5章   其他动物产品,132,新加坡,2410.0
201702,5,第5章   其他动物产品,133,韩国,288750.0
201702,5,第5章   其他动物产品,136,泰国,3232893.0
201702,5,第5章   其他动物产品,141,越南,60029.0
201702,5,第5章   其他动物产品,142,中国,496319.0
201702,5,第5章   其他动物产品,143,中国台湾,6091889.0
201702,5,第5章   其他动物产品,145,哈萨克斯坦,1505221.0
201702,5,第5章   其他动物产品,206,喀麦隆,45104.0
201702,5,第5章   其他动物产品,303,英国,672811.0
201702,5,第5章   其他动物产品,304,德国,30488869.0
201702,5,第5章   其他动物产品,344,俄罗斯,9801908.0
201702,5,第5章   其他动物产品,502,美国,49523840.0
201702,5,第5章   其他动物产品,601,澳大利亚,15130336.0
201702,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,111,印度,339912.0
201702,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,113,伊朗,16514.0
201702,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,116,日本,35978661.0
201702,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,122,马来西亚,112251.0
201702,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,132,新加坡,3066.0
201702,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,133,韩国,111010.0
201702,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,136,泰国,10053503.0
201702,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,141,越南,2425979.0
201702,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,142,中国,9779.0
201702,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,143,中国台湾,1719040.0
201702,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,217,埃塞俄比亚,1478262.0
201702,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,223,科特迪瓦,7867.0
201702,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,303,英国,173119.0
201702,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,304,德国,1457.0
201702,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,440,萨尔瓦多,92015.0
201702,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,502,美国,1036242.0
201702,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,601,澳大利亚,140629.0
201702,7,第7章   食用蔬菜、根及块茎,111,印度,24224196.0
201702,7,第7章   食用蔬菜、根及块茎,112,印度尼西亚,1178667.0
201702,7,第7章   食用蔬菜、根及块茎,116,日本,61992.0
201702,7,第7章   食用蔬菜、根及块茎,122,马来西亚,163441.0
201702,7,第7章   食用蔬菜、根及块茎,133,韩国,57281.0
201702,7,第7章   食用蔬菜、根及块茎,136,泰国,745498874.0
201702,7,第7章   食用蔬菜、根及块茎,141,越南,137365887.0
201702,7,第7章   食用蔬菜、根及块茎,142,中国,376184.0
201702,7,第7章   食用蔬菜、根及块茎,143,中国台湾,1509042.0
201702,7,第7章   食用蔬菜、根及块茎,303,英国,606035.0
201702,7,第7章   食用蔬菜、根及块茎,304,德国,27269.0
201702,7,第7章   食用蔬菜、根及块茎,344,俄罗斯,331649.0
201702,7,第7章   食用蔬菜、根及块茎,358,塞尔维亚,29829.0
201702,7,第7章   食用蔬菜、根及块茎,502,美国,21364381.0
201702,8,第8章   食用水果及坚果；甜瓜或柑橘属水果的果皮,111,印度,16091566.0
201702,8,第8章   食用水果及坚果；甜瓜或柑橘属水果的果皮,112,印度尼西亚,25388721.0
201702,8,第8章   食用水果及坚果；甜瓜或柑橘属水果的果皮,113,伊朗,3742150.0
201702,8,第8章   食用水果及坚果；甜瓜或柑橘属水果的果皮,116,日本,1636864.0
201702,8,第8章   食用水果及坚果；甜瓜或柑橘属水果的果皮,122,马来西亚,4764056.0
201702,8,第8章   食用水果及坚果；甜瓜或柑橘属水果的果皮,133,韩国,157411.0
201702,8,第8章   食用水果及坚果；甜瓜或柑橘属水果的果皮,136,泰国,433834292.0
201702,8,第8章   食用水果及坚果；甜瓜或柑橘属水果的果皮,141,越南,353308457.0
201702,8,第8章   食用水果及坚果；甜瓜或柑橘属水果的果皮,142,中国,118914.0
201702,8,第8章   食用水果及坚果；甜瓜或柑橘属水果的果皮,143,中国台湾,54205467.0
201702,8,第8章   食用水果及坚果；甜瓜或柑橘属水果的果皮,149,乌兹别克斯坦,7337493.0
201702,8,第8章   食用水果及坚果；甜瓜或柑橘属水果的果皮,304,德国,128571.0
201702,8,第8章   食用水果及坚果；甜瓜或柑橘属水果的果皮,344,俄罗斯,45286400.0
201702,8,第8章   食用水果及坚果；甜瓜或柑橘属水果的果皮,358,塞尔维亚,14654.0
201702,8,第8章   食用水果及坚果；甜瓜或柑橘属水果的果皮,502,美国,142244859.0
201702,8,第8章   食用水果及坚果；甜瓜或柑橘属水果的果皮,601,澳大利亚,47324139.0
201702,9,第9章   咖啡、茶、马黛茶及调味香料,110,中国香港,26466.0
201702,9,第9章   咖啡、茶、马黛茶及调味香料,111,印度,18247072.0
201702,9,第9章   咖啡、茶、马黛茶及调味香料,112,印度尼西亚,18143487.0
201702,9,第9章   咖啡、茶、马黛茶及调味香料,113,伊朗,16227859.0
201702,9,第9章   咖啡、茶、马黛茶及调味香料,116,日本,7813400.0
201702,9,第9章   咖啡、茶、马黛茶及调味香料,119,老挝,3300000.0
201702,9,第9章   咖啡、茶、马黛茶及调味香料,122,马来西亚,21891829.0
201702,9,第9章   咖啡、茶、马黛茶及调味香料,125,尼泊尔,15527.0
201702,9,第9章   咖啡、茶、马黛茶及调味香料,126,阿曼,484.0
201702,9,第9章   咖啡、茶、马黛茶及调味香料,132,新加坡,874612.0
201702,9,第9章   咖啡、茶、马黛茶及调味香料,133,韩国,1272416.0
201702,9,第9章   咖啡、茶、马黛茶及调味香料,136,泰国,230992.0
201702,9,第9章   咖啡、茶、马黛茶及调味香料,141,越南,9856333.0
201702,9,第9章   咖啡、茶、马黛茶及调味香料,142,中国,38760307.0
201702,9,第9章   咖啡、茶、马黛茶及调味香料,143,中国台湾,17420422.0
201702,9,第9章   咖啡、茶、马黛茶及调味香料,217,埃塞俄比亚,3393429.0
201702,9,第9章   咖啡、茶、马黛茶及调味香料,303,英国,2323727.0
