数据年月,商品编码,商品名称,贸易伙伴编码,贸易伙伴名称,人民币
202007,1,第1章   活动物,116,日本,1756149.0
202007,1,第1章   活动物,133,韩国,708730.0
202007,1,第1章   活动物,303,英国,8129784.0
202007,1,第1章   活动物,304,德国,8132.0
202007,1,第1章   活动物,502,美国,10237195.0
202007,1,第1章   活动物,601,澳大利亚,185125601.0
202007,2,第2章   肉及食用杂碎,136,泰国,298776430.0
202007,2,第2章   肉及食用杂碎,145,哈萨克斯坦,1365099.0
202007,2,第2章   肉及食用杂碎,234,纳米比亚,7551765.0
202007,2,第2章   肉及食用杂碎,303,英国,227727209.0
202007,2,第2章   肉及食用杂碎,304,德国,1231105564.0
202007,2,第2章   肉及食用杂碎,344,俄罗斯,276613044.0
202007,2,第2章   肉及食用杂碎,358,塞尔维亚,2863323.0
202007,2,第2章   肉及食用杂碎,502,美国,2271387066.0
202007,2,第2章   肉及食用杂碎,601,澳大利亚,1304545371.0
202007,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,110,中国香港,767725.0
202007,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,111,印度,477528138.0
202007,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,112,印度尼西亚,320928390.0
202007,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,113,伊朗,4787438.0
202007,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,116,日本,119917712.0
202007,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,122,马来西亚,161695606.0
202007,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,132,新加坡,11645399.0
202007,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,133,韩国,58920185.0
202007,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,136,泰国,244216537.0
202007,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,141,越南,636815669.0
202007,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,142,中国,17287370.0
202007,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,143,中国台湾,85850472.0
202007,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,230,毛里塔尼亚,13033231.0
202007,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,234,纳米比亚,100683.0
202007,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,240,塞内加尔,15060249.0
202007,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,303,英国,15591351.0
202007,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,304,德国,3570952.0
202007,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,344,俄罗斯,826931016.0
202007,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,424,圭亚那,4026935.0
202007,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,441,苏里南,1675852.0
202007,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,502,美国,367845187.0
202007,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,601,澳大利亚,289233982.0
202007,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,110,中国香港,45312.0
202007,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,111,印度,574071.0
202007,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,112,印度尼西亚,203513742.0
202007,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,113,伊朗,86749.0
