数据年月,商品编码,商品名称,贸易伙伴编码,贸易伙伴名称,人民币
202309,1,第1章   活动物,116,日本,4481607.0
202309,1,第1章   活动物,119,老挝,1971050.0
202309,1,第1章   活动物,143,中国台湾,137561.0
202309,1,第1章   活动物,304,德国,30591.0
202309,1,第1章   活动物,502,美国,18254310.0
202309,2,第2章   肉及食用杂碎,136,泰国,346107162.0
202309,2,第2章   肉及食用杂碎,234,纳米比亚,838344.0
202309,2,第2章   肉及食用杂碎,303,英国,120473945.0
202309,2,第2章   肉及食用杂碎,344,俄罗斯,354302221.0
202309,2,第2章   肉及食用杂碎,358,塞尔维亚,568814.0
202309,2,第2章   肉及食用杂碎,502,美国,1984413029.0
202309,2,第2章   肉及食用杂碎,601,澳大利亚,1498380331.0
202309,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,110,中国香港,14310428.0
202309,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,111,印度,968978699.0
202309,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,112,印度尼西亚,538826209.0
202309,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,113,伊朗,26074070.0
202309,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,122,马来西亚,155360803.0
202309,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,132,新加坡,17433194.0
202309,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,133,韩国,109591918.0
202309,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,136,泰国,240396196.0
202309,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,141,越南,550558944.0
202309,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,142,中国,1761943.0
202309,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,143,中国台湾,90355708.0
202309,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,145,哈萨克斯坦,1322640.0
202309,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,230,毛里塔尼亚,58365385.0
202309,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,234,纳米比亚,3334963.0
202309,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,240,塞内加尔,20869013.0
202309,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,243,索马里,3165123.0
202309,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,303,英国,22305420.0
202309,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,304,德国,7698183.0
202309,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,344,俄罗斯,2187680523.0
202309,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,401,安提瓜和巴布达,4792607.0
202309,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,424,圭亚那,4994718.0
202309,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,441,苏里南,6019278.0
202309,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,502,美国,903024946.0
202309,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,601,澳大利亚,212049802.0
202309,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,112,印度尼西亚,352857526.0
202309,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,116,日本,51802.0
202309,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,122,马来西亚,151238795.0
202309,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,132,新加坡,2281660.0
202309,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,133,韩国,5612713.0
202309,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,136,泰国,10132000.0
202309,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,141,越南,4435173.0
202309,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,145,哈萨克斯坦,260251.0
202309,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,303,英国,46652141.0
202309,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,304,德国,226471686.0
202309,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,344,俄罗斯,5487559.0
202309,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,502,美国,196218706.0
202309,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,601,澳大利亚,443976383.0
202309,5,第5章   其他动物产品,111,印度,2307500.0
202309,5,第5章   其他动物产品,112,印度尼西亚,4271494.0
202309,5,第5章   其他动物产品,116,日本,851687.0
202309,5,第5章   其他动物产品,120,黎巴嫩,351687.0
202309,5,第5章   其他动物产品,133,韩国,7158582.0
202309,5,第5章   其他动物产品,136,泰国,16735001.0
202309,5,第5章   其他动物产品,141,越南,14297581.0
202309,5,第5章   其他动物产品,143,中国台湾,39484659.0
202309,5,第5章   其他动物产品,145,哈萨克斯坦,1295748.0
202309,5,第5章   其他动物产品,149,乌兹别克斯坦,2575076.0
202309,5,第5章   其他动物产品,206,喀麦隆,67831.0
202309,5,第5章   其他动物产品,230,毛里塔尼亚,533758.0
202309,5,第5章   其他动物产品,240,塞内加尔,151554.0
202309,5,第5章   其他动物产品,249,突尼斯,198984.0
202309,5,第5章   其他动物产品,303,英国,4603194.0
202309,5,第5章   其他动物产品,304,德国,5526896.0
202309,5,第5章   其他动物产品,344,俄罗斯,19374618.0
202309,5,第5章   其他动物产品,502,美国,272695856.0
202309,5,第5章   其他动物产品,601,澳大利亚,23980467.0
202309,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,111,印度,61908.0
202309,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,112,印度尼西亚,671141.0
202309,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,113,伊朗,134376.0
202309,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,116,日本,4796407.0
202309,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,122,马来西亚,199724.0
202309,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,136,泰国,9328750.0
202309,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,141,越南,773916.0
202309,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,143,中国台湾,332529.0
202309,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,206,喀麦隆,16084.0
202309,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,217,埃塞俄比亚,580765.0
202309,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,304,德国,223086.0
202309,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,440,萨尔瓦多,166822.0
202309,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,502,美国,1409343.0
202309,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,601,澳大利亚,742567.0
202309,7,第7章   食用蔬菜、根及块茎,111,印度,33262369.0
202309,7,第7章   食用蔬菜、根及块茎,112,印度尼西亚,68727805.0
202309,7,第7章   食用蔬菜、根及块茎,116,日本,211.0
202309,7,第7章   食用蔬菜、根及块茎,119,老挝,1182975.0
202309,7,第7章   食用蔬菜、根及块茎,133,韩国,6720.0
202309,7,第7章   食用蔬菜、根及块茎,136,泰国,613556242.0
202309,7,第7章   食用蔬菜、根及块茎,141,越南,106486366.0
202309,7,第7章   食用蔬菜、根及块茎,142,中国,1729657.0
202309,7,第7章   食用蔬菜、根及块茎,143,中国台湾,2095282.0
202309,7,第7章   食用蔬菜、根及块茎,149,乌兹别克斯坦,18669502.0
202309,7,第7章   食用蔬菜、根及块茎,217,埃塞俄比亚,25285306.0
202309,7,第7章   食用蔬菜、根及块茎,344,俄罗斯,135712168.0
202309,7,第7章   食用蔬菜、根及块茎,358,塞尔维亚,325167.0
202309,7,第7章   食用蔬菜、根及块茎,502,美国,26091809.0
202309,7,第7章   食用蔬菜、根及块茎,601,澳大利亚,34447546.0
202309,8,第8章   食用水果及坚果；甜瓜或柑橘属水果的果皮,112,印度尼西亚,91424003.0
202309,8,第8章   食用水果及坚果；甜瓜或柑橘属水果的果皮,113,伊朗,23649687.0
202309,8,第8章   食用水果及坚果；甜瓜或柑橘属水果的果皮,116,日本,1150389.0
202309,8,第8章   食用水果及坚果；甜瓜或柑橘属水果的果皮,119,老挝,32448512.0
202309,8,第8章   食用水果及坚果；甜瓜或柑橘属水果的果皮,122,马来西亚,203585738.0
202309,8,第8章   食用水果及坚果；甜瓜或柑橘属水果的果皮,133,韩国,20267289.0
202309,8,第8章   食用水果及坚果；甜瓜或柑橘属水果的果皮,136,泰国,4552450500.0
202309,8,第8章   食用水果及坚果；甜瓜或柑橘属水果的果皮,141,越南,3079551036.0
202309,8,第8章   食用水果及坚果；甜瓜或柑橘属水果的果皮,142,中国,5337.0
202309,8,第8章   食用水果及坚果；甜瓜或柑橘属水果的果皮,143,中国台湾,609550.0
202309,8,第8章   食用水果及坚果；甜瓜或柑橘属水果的果皮,149,乌兹别克斯坦,30204448.0
202309,8,第8章   食用水果及坚果；甜瓜或柑橘属水果的果皮,223,科特迪瓦,20238786.0
202309,8,第8章   食用水果及坚果；甜瓜或柑橘属水果的果皮,304,德国,37413.0
202309,8,第8章   食用水果及坚果；甜瓜或柑橘属水果的果皮,344,俄罗斯,16826950.0
202309,8,第8章   食用水果及坚果；甜瓜或柑橘属水果的果皮,502,美国,232206457.0
202309,8,第8章   食用水果及坚果；甜瓜或柑橘属水果的果皮,601,澳大利亚,460480417.0
202309,9,第9章   咖啡、茶、马黛茶及调味香料,110,中国香港,1864156.0
202309,9,第9章   咖啡、茶、马黛茶及调味香料,111,印度,101292225.0
202309,9,第9章   咖啡、茶、马黛茶及调味香料,112,印度尼西亚,77288465.0
202309,9,第9章   咖啡、茶、马黛茶及调味香料,113,伊朗,4953934.0
202309,9,第9章   咖啡、茶、马黛茶及调味香料,116,日本,6367573.0
202309,9,第9章   咖啡、茶、马黛茶及调味香料,119,老挝,330539.0
202309,9,第9章   咖啡、茶、马黛茶及调味香料,122,马来西亚,62974385.0
202309,9,第9章   咖啡、茶、马黛茶及调味香料,125,尼泊尔,111881.0
202309,9,第9章   咖啡、茶、马黛茶及调味香料,132,新加坡,1869529.0
202309,9,第9章   咖啡、茶、马黛茶及调味香料,133,韩国,3629257.0
202309,9,第9章   咖啡、茶、马黛茶及调味香料,136,泰国,3987540.0
202309,9,第9章   咖啡、茶、马黛茶及调味香料,141,越南,38766148.0
202309,9,第9章   咖啡、茶、马黛茶及调味香料,142,中国,114118.0
202309,9,第9章   咖啡、茶、马黛茶及调味香料,143,中国台湾,8675978.0
202309,9,第9章   咖啡、茶、马黛茶及调味香料,145,哈萨克斯坦,13304.0
202309,9,第9章   咖啡、茶、马黛茶及调味香料,150,格鲁吉亚,6123514.0
202309,9,第9章   咖啡、茶、马黛茶及调味香料,205,布隆迪,5349984.0
202309,9,第9章   咖啡、茶、马黛茶及调味香料,217,埃塞俄比亚,103530860.0
202309,9,第9章   咖啡、茶、马黛茶及调味香料,303,英国,969010.0
202309,9,第9章   咖啡、茶、马黛茶及调味香料,304,德国,818265.0
202309,9,第9章   咖啡、茶、马黛茶及调味香料,344,俄罗斯,3960.0
202309,9,第9章   咖啡、茶、马黛茶及调味香料,358,塞尔维亚,40567.0
202309,9,第9章   咖啡、茶、马黛茶及调味香料,440,萨尔瓦多,801138.0
202309,9,第9章   咖啡、茶、马黛茶及调味香料,502,美国,14026297.0
202309,9,第9章   咖啡、茶、马黛茶及调味香料,601,澳大利亚,96899.0
202309,10,第10章  谷物,111,印度,15980428.0
202309,10,第10章  谷物,116,日本,736284.0
202309,10,第10章  谷物,119,老挝,1121215.0
202309,10,第10章  谷物,136,泰国,78140244.0
202309,10,第10章  谷物,141,越南,312336337.0
202309,10,第10章  谷物,145,哈萨克斯坦,347888962.0
202309,10,第10章  谷物,344,俄罗斯,213733736.0
202309,10,第10章  谷物,502,美国,1302002366.0
202309,10,第10章  谷物,601,澳大利亚,1191639352.0
202309,11,第11章  制粉工业产品；麦芽；淀粉；菊粉；面筋,111,印度,4323.0
202309,11,第11章  制粉工业产品；麦芽；淀粉；菊粉；面筋,112,印度尼西亚,63701120.0
202309,11,第11章  制粉工业产品；麦芽；淀粉；菊粉；面筋,116,日本,19119256.0
202309,11,第11章  制粉工业产品；麦芽；淀粉；菊粉；面筋,119,老挝,99395347.0
202309,11,第11章  制粉工业产品；麦芽；淀粉；菊粉；面筋,133,韩国,2472300.0
202309,11,第11章  制粉工业产品；麦芽；淀粉；菊粉；面筋,136,泰国,775422258.0
202309,11,第11章  制粉工业产品；麦芽；淀粉；菊粉；面筋,141,越南,414824280.0
202309,11,第11章  制粉工业产品；麦芽；淀粉；菊粉；面筋,303,英国,826982.0
202309,11,第11章  制粉工业产品；麦芽；淀粉；菊粉；面筋,304,德国,9122027.0
202309,11,第11章  制粉工业产品；麦芽；淀粉；菊粉；面筋,344,俄罗斯,48050250.0
202309,11,第11章  制粉工业产品；麦芽；淀粉；菊粉；面筋,502,美国,11377468.0
202309,11,第11章  制粉工业产品；麦芽；淀粉；菊粉；面筋,601,澳大利亚,4272284.0
202309,12,第12章  含油子仁及果实；杂项子仁及果仁；工业用或药用植物；稻草、秸秆及饲料,111,印度,36100416.0
202309,12,第12章  含油子仁及果实；杂项子仁及果仁；工业用或药用植物；稻草、秸秆及饲料,112,印度尼西亚,205876928.0
202309,12,第12章  含油子仁及果实；杂项子仁及果仁；工业用或药用植物；稻草、秸秆及饲料,113,伊朗,26995.0
202309,12,第12章  含油子仁及果实；杂项子仁及果仁；工业用或药用植物；稻草、秸秆及饲料,116,日本,8958613.0
202309,12,第12章  含油子仁及果实；杂项子仁及果仁；工业用或药用植物；稻草、秸秆及饲料,119,老挝,9074215.0
202309,12,第12章  含油子仁及果实；杂项子仁及果仁；工业用或药用植物；稻草、秸秆及饲料,122,马来西亚,9122.0
202309,12,第12章  含油子仁及果实；杂项子仁及果仁；工业用或药用植物；稻草、秸秆及饲料,125,尼泊尔,111488.0
202309,12,第12章  含油子仁及果实；杂项子仁及果仁；工业用或药用植物；稻草、秸秆及饲料,133,韩国,50796217.0
