数据年月,商品编码,商品名称,贸易伙伴编码,贸易伙伴名称,人民币
202407,1,第1章   活动物,116,日本,22518994.0
202407,1,第1章   活动物,119,老挝,286560.0
202407,1,第1章   活动物,133,韩国,506.0
202407,1,第1章   活动物,304,德国,18501.0
202407,1,第1章   活动物,502,美国,20406168.0
202407,2,第2章   肉及食用杂碎,136,泰国,248560574.0
202407,2,第2章   肉及食用杂碎,145,哈萨克斯坦,563579.0
202407,2,第2章   肉及食用杂碎,149,乌兹别克斯坦,44611883.0
202407,2,第2章   肉及食用杂碎,234,纳米比亚,1587651.0
202407,2,第2章   肉及食用杂碎,303,英国,123044678.0
202407,2,第2章   肉及食用杂碎,344,俄罗斯,498538931.0
202407,2,第2章   肉及食用杂碎,358,塞尔维亚,273854.0
202407,2,第2章   肉及食用杂碎,502,美国,1354783457.0
202407,2,第2章   肉及食用杂碎,601,澳大利亚,1220296055.0
202407,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,110,中国香港,1147671.0
202407,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,111,印度,682244216.0
202407,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,112,印度尼西亚,438911782.0
202407,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,113,伊朗,67087240.0
202407,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,122,马来西亚,132979570.0
202407,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,132,新加坡,19621066.0
202407,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,133,韩国,114560717.0
202407,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,136,泰国,145235671.0
202407,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,141,越南,667481021.0
202407,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,142,中国,871808.0
202407,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,143,中国台湾,273722364.0
202407,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,145,哈萨克斯坦,1015500.0
202407,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,230,毛里塔尼亚,23840078.0
202407,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,234,纳米比亚,977355.0
202407,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,240,塞内加尔,9002999.0
202407,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,303,英国,68476133.0
202407,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,304,德国,11941605.0
202407,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,344,俄罗斯,1154724863.0
202407,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,401,安提瓜和巴布达,939872.0
202407,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,424,圭亚那,1384800.0
202407,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,441,苏里南,11483630.0
202407,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,502,美国,353582875.0
202407,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,601,澳大利亚,89456476.0
202407,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,112,印度尼西亚,260199482.0
202407,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,113,伊朗,2760.0
202407,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,122,马来西亚,116592424.0
202407,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,132,新加坡,1900649.0
202407,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,133,韩国,3677972.0
202407,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,136,泰国,6792061.0
202407,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,141,越南,16948315.0
202407,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,142,中国,14494.0
202407,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,145,哈萨克斯坦,3719540.0
202407,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,303,英国,58553782.0
202407,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,304,德国,149846710.0
202407,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,344,俄罗斯,9621054.0
202407,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,502,美国,174721623.0
202407,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,601,澳大利亚,320520389.0
202407,5,第5章   其他动物产品,111,印度,751138.0
202407,5,第5章   其他动物产品,112,印度尼西亚,4413094.0
202407,5,第5章   其他动物产品,116,日本,3916734.0
202407,5,第5章   其他动物产品,120,黎巴嫩,270404.0
202407,5,第5章   其他动物产品,122,马来西亚,2136985.0
202407,5,第5章   其他动物产品,133,韩国,11916751.0
202407,5,第5章   其他动物产品,136,泰国,18317161.0
202407,5,第5章   其他动物产品,139,也门,207958.0
202407,5,第5章   其他动物产品,141,越南,44688146.0
202407,5,第5章   其他动物产品,142,中国,57287.0
202407,5,第5章   其他动物产品,143,中国台湾,105691121.0
202407,5,第5章   其他动物产品,145,哈萨克斯坦,1259444.0
202407,5,第5章   其他动物产品,149,乌兹别克斯坦,3095986.0
202407,5,第5章   其他动物产品,206,喀麦隆,162936.0
202407,5,第5章   其他动物产品,249,突尼斯,383775.0
202407,5,第5章   其他动物产品,303,英国,405322.0
202407,5,第5章   其他动物产品,304,德国,8765288.0
202407,5,第5章   其他动物产品,344,俄罗斯,15135764.0
202407,5,第5章   其他动物产品,502,美国,159296120.0
202407,5,第5章   其他动物产品,601,澳大利亚,31577366.0
202407,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,111,印度,318305.0
202407,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,112,印度尼西亚,645395.0
202407,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,113,伊朗,1131.0
