数据年月,商品编码,商品名称,贸易伙伴编码,贸易伙伴名称,人民币
201506,1,第1章   活动物,124,蒙古,429510.0
201506,1,第1章   活动物,129,菲律宾,77593.0
201506,1,第1章   活动物,244,南非,953550.0
201506,1,第1章   活动物,252,刚果民主共和国,239103.0
201506,1,第1章   活动物,301,比利时,3934794.0
201506,1,第1章   活动物,305,法国,25750431.0
201506,1,第1章   活动物,306,爱尔兰,356475.0
201506,1,第1章   活动物,309,荷兰,4834959.0
201506,1,第1章   活动物,315,奥地利,650.0
201506,1,第1章   活动物,318,芬兰,17503.0
201506,1,第1章   活动物,429,墨西哥,224764.0
201506,1,第1章   活动物,444,乌拉圭,110025.0
201506,1,第1章   活动物,501,加拿大,2397.0
201506,2,第2章   肉及食用杂碎,124,蒙古,200490.0
201506,2,第2章   肉及食用杂碎,301,比利时,5641040.0
201506,2,第2章   肉及食用杂碎,305,法国,95913410.0
201506,2,第2章   肉及食用杂碎,306,爱尔兰,43287663.0
201506,2,第2章   肉及食用杂碎,307,意大利,1416566.0
201506,2,第2章   肉及食用杂碎,309,荷兰,53670290.0
201506,2,第2章   肉及食用杂碎,312,西班牙,172042191.0
201506,2,第2章   肉及食用杂碎,321,匈牙利,12993307.0
201506,2,第2章   肉及食用杂碎,327,波兰,18425906.0
201506,2,第2章   肉及食用杂碎,410,巴西,407204745.0
201506,2,第2章   肉及食用杂碎,415,哥斯达黎加,3529013.0
201506,2,第2章   肉及食用杂碎,444,乌拉圭,331165393.0
201506,2,第2章   肉及食用杂碎,501,加拿大,104345478.0
201506,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,109,朝鲜,42034201.0
201506,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,123,马尔代夫,2598.0
201506,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,127,巴基斯坦,34168460.0
201506,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,129,菲律宾,18316223.0
201506,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,137,土耳其,49047.0
201506,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,220,加纳,1316506.0
201506,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,224,肯尼亚,1081553.0
201506,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,227,马达加斯加,9347547.0
201506,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,233,莫桑比克,8834177.0
