数据年月,商品编码,商品名称,贸易伙伴编码,贸易伙伴名称,人民币
201811,1,第1章   活动物,124,蒙古,524735.0
201811,1,第1章   活动物,129,菲律宾,297115.0
201811,1,第1章   活动物,244,南非,1777649.0
201811,1,第1章   活动物,301,比利时,1316056.0
201811,1,第1章   活动物,305,法国,10156.0
201811,1,第1章   活动物,307,意大利,5360.0
201811,1,第1章   活动物,309,荷兰,9145441.0
201811,1,第1章   活动物,315,奥地利,1011.0
201811,1,第1章   活动物,318,芬兰,13303026.0
201811,1,第1章   活动物,321,匈牙利,6295.0
201811,1,第1章   活动物,444,乌拉圭,704850.0
201811,2,第2章   肉及食用杂碎,124,蒙古,59644819.0
201811,2,第2章   肉及食用杂碎,244,南非,23428991.0
201811,2,第2章   肉及食用杂碎,301,比利时,241391.0
201811,2,第2章   肉及食用杂碎,305,法国,132317658.0
201811,2,第2章   肉及食用杂碎,306,爱尔兰,57699677.0
201811,2,第2章   肉及食用杂碎,307,意大利,267916.0
201811,2,第2章   肉及食用杂碎,309,荷兰,221868101.0
201811,2,第2章   肉及食用杂碎,312,西班牙,287765407.0
201811,2,第2章   肉及食用杂碎,315,奥地利,3582956.0
201811,2,第2章   肉及食用杂碎,318,芬兰,7340581.0
201811,2,第2章   肉及食用杂碎,327,波兰,928744.0
201811,2,第2章   肉及食用杂碎,340,白俄罗斯,4819310.0
201811,2,第2章   肉及食用杂碎,410,巴西,1807836285.0
201811,2,第2章   肉及食用杂碎,415,哥斯达黎加,13295734.0
201811,2,第2章   肉及食用杂碎,429,墨西哥,2863374.0
201811,2,第2章   肉及食用杂碎,444,乌拉圭,553527448.0
201811,2,第2章   肉及食用杂碎,501,加拿大,264037086.0
201811,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,123,马尔代夫,14212.0
201811,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,127,巴基斯坦,85913628.0
201811,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,129,菲律宾,36250192.0
201811,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,137,土耳其,10717499.0
201811,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,220,加纳,1680783.0
201811,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,224,肯尼亚,5921297.0
201811,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,227,马达加斯加,11355734.0
201811,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,233,莫桑比克,12325629.0
201811,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,244,南非,6636842.0
201811,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,250,乌干达,13287.0
201811,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,305,法国,37482171.0
201811,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,306,爱尔兰,43265919.0
201811,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,307,意大利,122908.0
201811,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,309,荷兰,13041216.0
201811,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,312,西班牙,41823419.0
201811,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,326,挪威,213985039.0
201811,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,327,波兰,1147322.0
201811,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,336,立陶宛,1874260.0
201811,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,357,法罗群岛,75669573.0
201811,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,410,巴西,12730294.0
201811,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,415,哥斯达黎加,43017.0
201811,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,427,牙买加,1139613.0
201811,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,429,墨西哥,226698056.0
201811,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,444,乌拉圭,22812720.0
201811,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,501,加拿大,541136888.0
201811,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,503,格陵兰,224848231.0
201811,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,621,马绍尔群岛,28990332.0
