数据年月,商品编码,商品名称,贸易伙伴编码,贸易伙伴名称,人民币
201903,1,第1章   活动物,124,蒙古,401356.0
201903,1,第1章   活动物,129,菲律宾,264557.0
201903,1,第1章   活动物,244,南非,1077632.0
201903,1,第1章   活动物,301,比利时,7047009.0
201903,1,第1章   活动物,305,法国,2035028.0
201903,1,第1章   活动物,306,爱尔兰,6756.0
201903,1,第1章   活动物,307,意大利,30831.0
201903,1,第1章   活动物,309,荷兰,9560178.0
201903,1,第1章   活动物,315,奥地利,2881.0
201903,1,第1章   活动物,327,波兰,11601916.0
201903,1,第1章   活动物,429,墨西哥,84701.0
201903,2,第2章   肉及食用杂碎,124,蒙古,19650800.0
201903,2,第2章   肉及食用杂碎,244,南非,725517.0
201903,2,第2章   肉及食用杂碎,305,法国,179521215.0
201903,2,第2章   肉及食用杂碎,306,爱尔兰,76073973.0
201903,2,第2章   肉及食用杂碎,307,意大利,2054151.0
201903,2,第2章   肉及食用杂碎,309,荷兰,211818732.0
201903,2,第2章   肉及食用杂碎,312,西班牙,464124845.0
201903,2,第2章   肉及食用杂碎,315,奥地利,4089882.0
201903,2,第2章   肉及食用杂碎,318,芬兰,6516600.0
201903,2,第2章   肉及食用杂碎,327,波兰,27865054.0
201903,2,第2章   肉及食用杂碎,340,白俄罗斯,10257528.0
201903,2,第2章   肉及食用杂碎,410,巴西,1602253475.0
201903,2,第2章   肉及食用杂碎,415,哥斯达黎加,24112442.0
201903,2,第2章   肉及食用杂碎,429,墨西哥,5328920.0
201903,2,第2章   肉及食用杂碎,444,乌拉圭,424760262.0
201903,2,第2章   肉及食用杂碎,501,加拿大,398341983.0
201903,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,123,马尔代夫,18206.0
201903,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,127,巴基斯坦,24993670.0
201903,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,129,菲律宾,43549510.0
201903,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,137,土耳其,3668530.0
201903,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,220,加纳,1215764.0
201903,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,224,肯尼亚,2805696.0
201903,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,227,马达加斯加,11046485.0
201903,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,233,莫桑比克,12687230.0
201903,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,244,南非,31078861.0
201903,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,250,乌干达,1011450.0
201903,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,305,法国,42368723.0
201903,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,306,爱尔兰,63597387.0
201903,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,307,意大利,4861393.0
201903,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,309,荷兰,17472956.0
201903,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,312,西班牙,25858759.0
201903,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,326,挪威,387305259.0
201903,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,327,波兰,2115140.0
201903,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,357,法罗群岛,81015495.0
201903,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,410,巴西,12410457.0
201903,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,427,牙买加,701611.0
201903,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,429,墨西哥,29265078.0
201903,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,444,乌拉圭,13065258.0
201903,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,501,加拿大,423739618.0
201903,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,503,格陵兰,122221510.0
201903,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,137,土耳其,56567.0
201903,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,301,比利时,23860368.0
201903,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,305,法国,221537498.0
201903,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,306,爱尔兰,25043535.0
201903,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,307,意大利,25963002.0
201903,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,309,荷兰,94792377.0
201903,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,310,希腊,615443.0
201903,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,312,西班牙,31996111.0
201903,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,315,奥地利,19385134.0
201903,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,316,保加利亚,958.0
201903,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,318,芬兰,36107940.0
201903,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,321,匈牙利,374408.0
201903,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,326,挪威,690.0
201903,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,327,波兰,39409023.0
201903,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,336,立陶宛,2004603.0
201903,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,340,白俄罗斯,25934909.0
201903,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,350,斯洛文尼亚,1809796.0
201903,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,410,巴西,5754890.0
201903,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,429,墨西哥,137.0
201903,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,444,乌拉圭,3929988.0
201903,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,501,加拿大,2487235.0
201903,5,第5章   其他动物产品,109,朝鲜,148200.0
201903,5,第5章   其他动物产品,124,蒙古,488965.0
201903,5,第5章   其他动物产品,127,巴基斯坦,2124619.0
201903,5,第5章   其他动物产品,129,菲律宾,313229.0
201903,5,第5章   其他动物产品,244,南非,1197946.0
201903,5,第5章   其他动物产品,250,乌干达,38895.0
201903,5,第5章   其他动物产品,305,法国,7416325.0
201903,5,第5章   其他动物产品,306,爱尔兰,2292608.0
201903,5,第5章   其他动物产品,307,意大利,5001751.0
201903,5,第5章   其他动物产品,309,荷兰,35965306.0
201903,5,第5章   其他动物产品,310,希腊,175361.0
201903,5,第5章   其他动物产品,312,西班牙,38068972.0
201903,5,第5章   其他动物产品,315,奥地利,2682.0
201903,5,第5章   其他动物产品,321,匈牙利,14367788.0
201903,5,第5章   其他动物产品,327,波兰,7883547.0
201903,5,第5章   其他动物产品,340,白俄罗斯,647951.0
201903,5,第5章   其他动物产品,501,加拿大,20416922.0
201903,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,109,朝鲜,215208.0
201903,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,129,菲律宾,4148.0
201903,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,224,肯尼亚,2720757.0
201903,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,244,南非,2603171.0
201903,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,250,乌干达,758834.0
201903,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,254,津巴布韦,90050.0
201903,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,301,比利时,12353.0
201903,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,305,法国,367594.0
201903,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,306,爱尔兰,222.0
201903,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,307,意大利,967607.0
201903,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,309,荷兰,40861586.0
201903,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,312,西班牙,2282103.0
201903,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,318,芬兰,1845.0
201903,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,327,波兰,49616.0
201903,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,410,巴西,462192.0
201903,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,415,哥斯达黎加,1107796.0
201903,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,501,加拿大,434.0
201903,7,第7章   食用蔬菜、根及块茎,127,巴基斯坦,7637973.0
201903,7,第7章   食用蔬菜、根及块茎,137,土耳其,955631.0
201903,7,第7章   食用蔬菜、根及块茎,301,比利时,582860.0
