数据年月,商品编码,商品名称,贸易伙伴编码,贸易伙伴名称,人民币
202312,1,第1章   活动物,124,蒙古,24778000.0
202312,1,第1章   活动物,305,法国,2424651.0
202312,1,第1章   活动物,306,爱尔兰,2226842.0
202312,1,第1章   活动物,307,意大利,26337.0
202312,1,第1章   活动物,309,荷兰,10988275.0
202312,1,第1章   活动物,315,奥地利,489.0
202312,1,第1章   活动物,501,加拿大,17220.0
202312,2,第2章   肉及食用杂碎,124,蒙古,45315900.0
202312,2,第2章   肉及食用杂碎,244,南非,7169126.0
202312,2,第2章   肉及食用杂碎,305,法国,169787329.0
202312,2,第2章   肉及食用杂碎,306,爱尔兰,71244318.0
202312,2,第2章   肉及食用杂碎,309,荷兰,255547575.0
202312,2,第2章   肉及食用杂碎,312,西班牙,706603041.0
202312,2,第2章   肉及食用杂碎,315,奥地利,9004735.0
202312,2,第2章   肉及食用杂碎,318,芬兰,16982627.0
202312,2,第2章   肉及食用杂碎,340,白俄罗斯,170575630.0
202312,2,第2章   肉及食用杂碎,408,玻利维亚 ,197075706.0
202312,2,第2章   肉及食用杂碎,410,巴西,5669999326.0
202312,2,第2章   肉及食用杂碎,415,哥斯达黎加,33632679.0
202312,2,第2章   肉及食用杂碎,429,墨西哥,6394073.0
202312,2,第2章   肉及食用杂碎,444,乌拉圭,653864420.0
202312,2,第2章   肉及食用杂碎,501,加拿大,210010933.0
202312,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,127,巴基斯坦,138460385.0
202312,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,129,菲律宾,62019668.0
202312,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,137,土耳其,4475509.0
202312,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,220,加纳,2183563.0
202312,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,224,肯尼亚,9797359.0
202312,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,227,马达加斯加,4287987.0
202312,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,233,莫桑比克,5302700.0
202312,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,244,南非,15243770.0
202312,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,250,乌干达,3588.0
