数据年月,商品编码,商品名称,贸易伙伴编码,贸易伙伴名称,人民币
202309,1,第1章   活动物,124,蒙古,11340000.0
202309,1,第1章   活动物,301,比利时,2389852.0
202309,1,第1章   活动物,305,法国,1710631.0
202309,1,第1章   活动物,309,荷兰,14596244.0
202309,1,第1章   活动物,315,奥地利,1559.0
202309,1,第1章   活动物,444,乌拉圭,35791439.0
202309,2,第2章   肉及食用杂碎,124,蒙古,67545660.0
202309,2,第2章   肉及食用杂碎,305,法国,188609289.0
202309,2,第2章   肉及食用杂碎,306,爱尔兰,65448893.0
202309,2,第2章   肉及食用杂碎,309,荷兰,263427250.0
202309,2,第2章   肉及食用杂碎,312,西班牙,696023986.0
202309,2,第2章   肉及食用杂碎,315,奥地利,25982777.0
202309,2,第2章   肉及食用杂碎,318,芬兰,11202536.0
202309,2,第2章   肉及食用杂碎,321,匈牙利,219521.0
202309,2,第2章   肉及食用杂碎,340,白俄罗斯,282626285.0
202309,2,第2章   肉及食用杂碎,408,玻利维亚 ,221789864.0
202309,2,第2章   肉及食用杂碎,410,巴西,5186260161.0
202309,2,第2章   肉及食用杂碎,415,哥斯达黎加,16451555.0
202309,2,第2章   肉及食用杂碎,429,墨西哥,4897684.0
202309,2,第2章   肉及食用杂碎,444,乌拉圭,553000527.0
202309,2,第2章   肉及食用杂碎,501,加拿大,263541924.0
202309,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,127,巴基斯坦,90313192.0
202309,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,129,菲律宾,69750140.0
202309,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,137,土耳其,11250593.0
202309,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,220,加纳,2649504.0
202309,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,224,肯尼亚,10498142.0
202309,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,227,马达加斯加,7213775.0
202309,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,233,莫桑比克,10703467.0
202309,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,244,南非,7887332.0
202309,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,305,法国,75759810.0
202309,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,306,爱尔兰,16114875.0
202309,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,309,荷兰,23360459.0
202309,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,312,西班牙,40470956.0
202309,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,326,挪威,541837858.0
202309,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,327,波兰,880229.0
202309,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,357,法罗群岛,55192092.0
