数据年月,商品编码,商品名称,贸易伙伴编码,贸易伙伴名称,人民币
202603,1,第1章   活动物,124,蒙古,5392000.0
202603,1,第1章   活动物,301,比利时,19020411.0
202603,1,第1章   活动物,305,法国,1301593.0
202603,1,第1章   活动物,306,爱尔兰,8376810.0
202603,1,第1章   活动物,307,意大利,130449.0
202603,1,第1章   活动物,315,奥地利,17289.0
202603,2,第2章   肉及食用杂碎,227,马达加斯加,1240926.0
202603,2,第2章   肉及食用杂碎,301,比利时,29658404.0
202603,2,第2章   肉及食用杂碎,305,法国,132828347.0
202603,2,第2章   肉及食用杂碎,306,爱尔兰,37424258.0
202603,2,第2章   肉及食用杂碎,309,荷兰,94159802.0
202603,2,第2章   肉及食用杂碎,312,西班牙,471382642.0
202603,2,第2章   肉及食用杂碎,315,奥地利,460957.0
202603,2,第2章   肉及食用杂碎,318,芬兰,8791836.0
202603,2,第2章   肉及食用杂碎,340,白俄罗斯,22885097.0
202603,2,第2章   肉及食用杂碎,408,玻利维亚 ,121981140.0
202603,2,第2章   肉及食用杂碎,410,巴西,6595588035.0
202603,2,第2章   肉及食用杂碎,415,哥斯达黎加,19508022.0
202603,2,第2章   肉及食用杂碎,431,尼加拉瓜,2809435.0
202603,2,第2章   肉及食用杂碎,444,乌拉圭,511863197.0
202603,2,第2章   肉及食用杂碎,501,加拿大,118669451.0
202603,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,127,巴基斯坦,123077509.0
202603,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,129,菲律宾,54927442.0
202603,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,137,土耳其,13906048.0
202603,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,224,肯尼亚,7328246.0
202603,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,227,马达加斯加,6694926.0
202603,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,233,莫桑比克,12439680.0
202603,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,244,南非,18289824.0
202603,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,250,乌干达,4941333.0
202603,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,305,法国,36758239.0
202603,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,306,爱尔兰,15518669.0
202603,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,309,荷兰,9106723.0
202603,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,312,西班牙,69563146.0
202603,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,326,挪威,933823654.0
202603,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,327,波兰,598197.0
