数据年月,商品编码,商品名称,贸易伙伴编码,贸易伙伴名称,人民币
201501,1,第1章   活动物,107,柬埔寨,28147.0
201501,1,第1章   活动物,302,丹麦,39320210.0
201501,1,第1章   活动物,331,瑞士,3613.0
201501,1,第1章   活动物,352,捷克,337295.0
201501,1,第1章   活动物,353,斯洛伐克,169285.0
201501,1,第1章   活动物,402,阿根廷,624739.0
201501,1,第1章   活动物,412,智利,119687803.0
201501,1,第1章   活动物,609,新西兰,205508193.0
201501,2,第2章   肉及食用杂碎,302,丹麦,223011806.0
201501,2,第2章   肉及食用杂碎,402,阿根廷,157839956.0
201501,2,第2章   肉及食用杂碎,412,智利,80429259.0
201501,2,第2章   肉及食用杂碎,609,新西兰,448283449.0
201501,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,103,孟加拉国,29526188.0
201501,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,105,文莱,355327.0
201501,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,106,缅甸,23227689.0
201501,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,107,柬埔寨,1291970.0
201501,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,134,斯里兰卡,96959.0
201501,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,228,马拉维,19612.0
201501,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,232,摩洛哥,1300093.0
201501,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,236,尼日利亚,11307.0
201501,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,246,苏丹,4170.0
201501,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,247,坦桑尼亚,4569074.0
201501,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,253,赞比亚,4855.0
201501,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,302,丹麦,26251351.0
201501,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,311,葡萄牙,8346256.0
201501,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,322,冰岛,14916149.0
201501,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,334,爱沙尼亚,3477458.0
201501,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,402,阿根廷,43033310.0
201501,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,412,智利,122574545.0
201501,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,413,哥伦比亚,33548.0
201501,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,419,厄瓜多尔,26343180.0
201501,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,434,秘鲁,19615754.0
201501,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,602,库克群岛,526115.0
201501,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,609,新西兰,221769849.0
201501,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,620,密克罗尼西亚联邦,716104.0
201501,4,第4章   乳品;蛋品;天然蜂蜜;其他食用动物产品,215,埃及,6135.0
201501,4,第4章   乳品;蛋品;天然蜂蜜;其他食用动物产品,302,丹麦,21050930.0
201501,4,第4章   乳品;蛋品;天然蜂蜜;其他食用动物产品,311,葡萄牙,55732.0
201501,4,第4章   乳品;蛋品;天然蜂蜜;其他食用动物产品,328,罗马尼亚,317829.0
201501,4,第4章   乳品;蛋品;天然蜂蜜;其他食用动物产品,331,瑞士,4506667.0
201501,4,第4章   乳品;蛋品;天然蜂蜜;其他食用动物产品,352,捷克,640605.0
201501,4,第4章   乳品;蛋品;天然蜂蜜;其他食用动物产品,402,阿根廷,31678896.0
201501,4,第4章   乳品;蛋品;天然蜂蜜;其他食用动物产品,412,智利,1506009.0
201501,4,第4章   乳品;蛋品;天然蜂蜜;其他食用动物产品,609,新西兰,2055644788.0
201501,5,第5章   其他动物产品,103,孟加拉国,934663.0
201501,5,第5章   其他动物产品,236,尼日利亚,183662.0
201501,5,第5章   其他动物产品,247,坦桑尼亚,717761.0
201501,5,第5章   其他动物产品,302,丹麦,17994415.0
201501,5,第5章   其他动物产品,419,厄瓜多尔,119336.0
201501,5,第5章   其他动物产品,433,巴拉圭,69072.0
201501,5,第5章   其他动物产品,609,新西兰,32463744.0
201501,5,第5章   其他动物产品,623,法属波利尼西亚,955780.0
201501,6,第6章   活树及其他活植物;鳞茎、根及类似品;插花及装饰用簇叶,115,以色列,64302.0
201501,6,第6章   活树及其他活植物;鳞茎、根及类似品;插花及装饰用簇叶,247,坦桑尼亚,46911.0
201501,6,第6章   活树及其他活植物;鳞茎、根及类似品;插花及装饰用簇叶,311,葡萄牙,25717.0
201501,6,第6章   活树及其他活植物;鳞茎、根及类似品;插花及装饰用簇叶,412,智利,1481222.0
201501,6,第6章   活树及其他活植物;鳞茎、根及类似品;插花及装饰用簇叶,413,哥伦比亚,645608.0
201501,6,第6章   活树及其他活植物;鳞茎、根及类似品;插花及装饰用簇叶,419,厄瓜多尔,3416255.0
201501,6,第6章   活树及其他活植物;鳞茎、根及类似品;插花及装饰用簇叶,609,新西兰,326459.0
201501,7,第7章   食用蔬菜、根及块茎,106,缅甸,2294092.0
201501,7,第7章   食用蔬菜、根及块茎,134,斯里兰卡,259843.0
201501,7,第7章   食用蔬菜、根及块茎,311,葡萄牙,166546.0
201501,7,第7章   食用蔬菜、根及块茎,330,瑞典,146240.0
201501,7,第7章   食用蔬菜、根及块茎,335,拉脱维亚,1730.0
201501,7,第7章   食用蔬菜、根及块茎,412,智利,2636570.0
201501,7,第7章   食用蔬菜、根及块茎,609,新西兰,4700542.0
201501,8,第8章   食用水果及坚果;甜瓜或柑橘属水果的果皮,106,缅甸,191000.0
201501,8,第8章   食用水果及坚果;甜瓜或柑橘属水果的果皮,107,柬埔寨,974096.0
201501,8,第8章   食用水果及坚果;甜瓜或柑橘属水果的果皮,114,伊拉克,333859.0
201501,8,第8章   食用水果及坚果;甜瓜或柑橘属水果的果皮,115,以色列,200297.0
201501,8,第8章   食用水果及坚果;甜瓜或柑橘属水果的果皮,121,中国澳门,34611.0
201501,8,第8章   食用水果及坚果;甜瓜或柑橘属水果的果皮,131,沙特阿拉伯,544018.0
201501,8,第8章   食用水果及坚果;甜瓜或柑橘属水果的果皮,134,斯里兰卡,89142.0
201501,8,第8章   食用水果及坚果;甜瓜或柑橘属水果的果皮,146,吉尔吉斯斯坦,4607830.0
201501,8,第8章   食用水果及坚果;甜瓜或柑橘属水果的果皮,215,埃及,8664817.0
201501,8,第8章   食用水果及坚果;甜瓜或柑橘属水果的果皮,328,罗马尼亚,1188250.0
201501,8,第8章   食用水果及坚果;甜瓜或柑橘属水果的果皮,330,瑞典,2631523.0
