数据年月,商品编码,商品名称,贸易伙伴编码,贸易伙伴名称,人民币
201709,1,第1章   活动物,229,马里,2825854.0
201709,1,第1章   活动物,246,苏丹,321501.0
201709,1,第1章   活动物,302,丹麦,2007.0
201709,1,第1章   活动物,331,瑞士,9565.0
201709,1,第1章   活动物,353,斯洛伐克,837141.0
201709,1,第1章   活动物,434,秘鲁,488689.0
201709,1,第1章   活动物,609,新西兰,57424897.0
201709,2,第2章   肉及食用杂碎,302,丹麦,225106116.0
201709,2,第2章   肉及食用杂碎,328,罗马尼亚,1270325.0
201709,2,第2章   肉及食用杂碎,402,阿根廷,287298450.0
201709,2,第2章   肉及食用杂碎,412,智利,67428011.0
201709,2,第2章   肉及食用杂碎,609,新西兰,230444046.0
201709,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,103,孟加拉国,13170072.0
201709,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,105,文莱,2033648.0
201709,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,106,缅甸,8529860.0
201709,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,107,柬埔寨,174746.0
201709,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,134,斯里兰卡,476245.0
201709,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,215,埃及,620005.0
201709,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,228,马拉维,4447.0
201709,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,232,摩洛哥,967006.0
201709,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,236,尼日利亚,7821.0
201709,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,247,坦桑尼亚,5296418.0
201709,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,302,丹麦,1827970.0
201709,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,311,葡萄牙,12007860.0
201709,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,322,冰岛,45124272.0
201709,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,334,爱沙尼亚,2343540.0
201709,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,402,阿根廷,84271083.0
201709,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,412,智利,234615289.0
201709,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,413,哥伦比亚,187461.0
201709,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,416,古巴,51756237.0
201709,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,419,厄瓜多尔,44030100.0
201709,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,434,秘鲁,14868352.0
201709,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,499,拉丁美洲其他国家(地区) ,6385968.0
201709,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,602,库克群岛,1367467.0
201709,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,603,斐济,2678504.0
201709,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,609,新西兰,303649030.0
201709,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,611,巴布亚新几内亚,33560102.0
201709,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,620,密克罗尼西亚联邦,15104040.0
201709,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,106,缅甸,36390.0
201709,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,146,吉尔吉斯斯坦,424396.0
201709,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,302,丹麦,25284555.0
201709,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,308,卢森堡,970756.0
201709,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,311,葡萄牙,96872.0
201709,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,328,罗马尼亚,182012.0
201709,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,330,瑞典,16770204.0
201709,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,331,瑞士,4321501.0
201709,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,347,乌克兰,8741910.0
201709,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,352,捷克,709569.0
201709,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,402,阿根廷,13758332.0
201709,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,412,智利,2263857.0
201709,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,609,新西兰,969231857.0
201709,5,第5章   其他动物产品,103,孟加拉国,1072655.0
201709,5,第5章   其他动物产品,106,缅甸,243331.0
201709,5,第5章   其他动物产品,236,尼日利亚,636744.0
201709,5,第5章   其他动物产品,247,坦桑尼亚,1078067.0
201709,5,第5章   其他动物产品,302,丹麦,17470328.0
201709,5,第5章   其他动物产品,322,冰岛,12981.0
201709,5,第5章   其他动物产品,331,瑞士,392.0
201709,5,第5章   其他动物产品,347,乌克兰,4765110.0
