数据年月,商品编码,商品名称,贸易伙伴编码,贸易伙伴名称,人民币
201906,1,第1章   活动物,107,柬埔寨,30892050.0
201906,1,第1章   活动物,215,埃及,57839.0
201906,1,第1章   活动物,229,马里,111486.0
201906,1,第1章   活动物,246,苏丹,34049.0
201906,1,第1章   活动物,302,丹麦,4360.0
201906,1,第1章   活动物,352,捷克,105216.0
201906,1,第1章   活动物,434,秘鲁,2003459.0
201906,1,第1章   活动物,609,新西兰,60190986.0
201906,2,第2章   肉及食用杂碎,302,丹麦,322232746.0
201906,2,第2章   肉及食用杂碎,311,葡萄牙,8720044.0
201906,2,第2章   肉及食用杂碎,402,阿根廷,1141202324.0
201906,2,第2章   肉及食用杂碎,412,智利,254699933.0
201906,2,第2章   肉及食用杂碎,609,新西兰,1334248570.0
201906,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,103,孟加拉国,58173597.0
201906,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,105,文莱,1236158.0
201906,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,106,缅甸,11743202.0
201906,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,131,沙特阿拉伯,11928408.0
201906,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,134,斯里兰卡,2870810.0
201906,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,215,埃及,1999283.0
201906,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,232,摩洛哥,869920.0
201906,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,247,坦桑尼亚,3973631.0
201906,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,302,丹麦,20829218.0
201906,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,311,葡萄牙,33944311.0
201906,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,322,冰岛,50780867.0
201906,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,334,爱沙尼亚,9457363.0
201906,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,402,阿根廷,207343399.0
201906,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,412,智利,249131533.0
201906,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,413,哥伦比亚,196840.0
201906,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,419,厄瓜多尔,950697445.0
201906,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,434,秘鲁,114633810.0
201906,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,608,瓦努阿图,4462137.0
201906,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,609,新西兰,377046688.0
201906,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,611,巴布亚新几内亚,10437884.0
201906,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,620,密克罗尼西亚联邦,10811488.0
201906,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,146,吉尔吉斯斯坦,62500.0
201906,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,215,埃及,8266.0
201906,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,302,丹麦,29087998.0
201906,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,311,葡萄牙,564414.0
201906,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,330,瑞典,13949070.0
201906,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,331,瑞士,15966582.0
201906,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,334,爱沙尼亚,2654861.0
201906,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,347,乌克兰,23024386.0
201906,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,352,捷克,794832.0
201906,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,402,阿根廷,14656776.0
201906,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,412,智利,1592685.0
201906,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,609,新西兰,1617130079.0
201906,5,第5章   其他动物产品,103,孟加拉国,2323781.0
201906,5,第5章   其他动物产品,146,吉尔吉斯斯坦,181198.0
201906,5,第5章   其他动物产品,236,尼日利亚,96810.0
201906,5,第5章   其他动物产品,247,坦桑尼亚,1576010.0
201906,5,第5章   其他动物产品,302,丹麦,22893572.0
201906,5,第5章   其他动物产品,328,罗马尼亚,543095.0
201906,5,第5章   其他动物产品,343,摩尔多瓦,126951.0
201906,5,第5章   其他动物产品,347,乌克兰,15484367.0
201906,5,第5章   其他动物产品,352,捷克,166102.0
201906,5,第5章   其他动物产品,412,智利,1836775.0
201906,5,第5章   其他动物产品,419,厄瓜多尔,156067.0
201906,5,第5章   其他动物产品,609,新西兰,75344918.0
201906,5,第5章   其他动物产品,623,法属波利尼西亚,171207.0
201906,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,115,以色列,425331.0
201906,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,228,马拉维,7034.0
201906,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,238,卢旺达,209.0
201906,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,247,坦桑尼亚,442827.0
201906,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,302,丹麦,185733.0
201906,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,311,葡萄牙,20424.0
201906,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,328,罗马尼亚,200.0
201906,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,413,哥伦比亚,986427.0
