数据年月,商品编码,商品名称,贸易伙伴编码,贸易伙伴名称,人民币
202008,1,第1章   活动物,609,新西兰,236053773.0
202008,2,第2章   肉及食用杂碎,302,丹麦,642358028.0
202008,2,第2章   肉及食用杂碎,311,葡萄牙,6963472.0
202008,2,第2章   肉及食用杂碎,331,瑞士,4528126.0
202008,2,第2章   肉及食用杂碎,347,乌克兰,8382202.0
202008,2,第2章   肉及食用杂碎,402,阿根廷,1418693194.0
202008,2,第2章   肉及食用杂碎,412,智利,394547710.0
202008,2,第2章   肉及食用杂碎,432,巴拿马,6634811.0
202008,2,第2章   肉及食用杂碎,609,新西兰,938038553.0
202008,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,103,孟加拉国,4871783.0
202008,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,106,缅甸,14809552.0
202008,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,115,以色列,82125.0
202008,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,134,斯里兰卡,992777.0
202008,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,215,埃及,380580.0
202008,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,232,摩洛哥,7196604.0
202008,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,236,尼日利亚,7504.0
202008,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,247,坦桑尼亚,6146806.0
202008,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,302,丹麦,2395218.0
202008,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,311,葡萄牙,5071185.0
202008,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,322,冰岛,39039974.0
202008,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,334,爱沙尼亚,3008582.0
202008,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,402,阿根廷,88415351.0
202008,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,412,智利,49823914.0
202008,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,413,哥伦比亚,692119.0
202008,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,416,古巴,12813280.0
202008,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,419,厄瓜多尔,577438578.0
202008,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,434,秘鲁,21413523.0
202008,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,445,委内瑞拉,41951447.0
202008,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,608,瓦努阿图,1134445.0
202008,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,609,新西兰,134582464.0
202008,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,611,巴布亚新几内亚,3748022.0
202008,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,121,中国澳门,660.0
202008,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,253,赞比亚,75614.0
202008,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,302,丹麦,84817639.0
202008,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,308,卢森堡,22417.0
202008,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,311,葡萄牙,752917.0
202008,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,328,罗马尼亚,1895.0
202008,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,330,瑞典,8316277.0
202008,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,331,瑞士,4041545.0
202008,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,334,爱沙尼亚,7550213.0
202008,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,335,拉脱维亚,1209289.0
202008,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,347,乌克兰,13773987.0
202008,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,402,阿根廷,22802245.0
202008,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,412,智利,1459125.0
202008,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,609,新西兰,1352331407.0
202008,5,第5章   其他动物产品,103,孟加拉国,285805.0
202008,5,第5章   其他动物产品,236,尼日利亚,1670013.0
202008,5,第5章   其他动物产品,247,坦桑尼亚,423983.0
202008,5,第5章   其他动物产品,302,丹麦,32363781.0
202008,5,第5章   其他动物产品,331,瑞士,2534.0
202008,5,第5章   其他动物产品,347,乌克兰,3181626.0
202008,5,第5章   其他动物产品,402,阿根廷,101090.0
202008,5,第5章   其他动物产品,412,智利,758578.0
202008,5,第5章   其他动物产品,419,厄瓜多尔,159834.0
202008,5,第5章   其他动物产品,433,巴拉圭,206732.0
202008,5,第5章   其他动物产品,609,新西兰,69561511.0
202008,5,第5章   其他动物产品,613,所罗门群岛,231140.0
202008,5,第5章   其他动物产品,623,法属波利尼西亚,224344.0
202008,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,115,以色列,274471.0
202008,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,247,坦桑尼亚,359020.0
202008,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,302,丹麦,2127.0
202008,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,311,葡萄牙,833.0
202008,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,347,乌克兰,2469.0
202008,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,413,哥伦比亚,1274363.0
202008,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,419,厄瓜多尔,9374793.0
202008,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,423,危地马拉,61768.0
202008,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,434,秘鲁,23588.0
202008,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,609,新西兰,1276654.0
202008,7,第7章   食用蔬菜、根及块茎,106,缅甸,11790300.0
202008,7,第7章   食用蔬菜、根及块茎,107,柬埔寨,39480505.0
202008,7,第7章   食用蔬菜、根及块茎,236,尼日利亚,434100.0
