数据年月,商品编码,商品名称,贸易伙伴编码,贸易伙伴名称,人民币
202305,1,第1章   活动物,331,瑞士,962.0
202305,1,第1章   活动物,609,新西兰,116557066.0
202305,2,第2章   肉及食用杂碎,302,丹麦,261872847.0
202305,2,第2章   肉及食用杂碎,311,葡萄牙,9877594.0
202305,2,第2章   肉及食用杂碎,331,瑞士,9633056.0
202305,2,第2章   肉及食用杂碎,347,乌克兰,43498903.0
202305,2,第2章   肉及食用杂碎,402,阿根廷,1326465325.0
202305,2,第2章   肉及食用杂碎,412,智利,215864223.0
202305,2,第2章   肉及食用杂碎,432,巴拿马,6031032.0
202305,2,第2章   肉及食用杂碎,609,新西兰,1283324351.0
202305,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,103,孟加拉国,48554121.0
202305,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,106,缅甸,108108996.0
202305,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,131,沙特阿拉伯,37636318.0
202305,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,134,斯里兰卡,7252885.0
202305,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,215,埃及,69503.0
202305,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,232,摩洛哥,2647618.0
202305,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,236,尼日利亚,96878.0
202305,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,247,坦桑尼亚,28798627.0
202305,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,302,丹麦,19048786.0
202305,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,311,葡萄牙,35168512.0
202305,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,322,冰岛,106828862.0
202305,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,334,爱沙尼亚,13736216.0
202305,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,402,阿根廷,341829090.0
202305,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,412,智利,352956895.0
202305,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,413,哥伦比亚,147784.0
202305,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,416,古巴,35676446.0
202305,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,419,厄瓜多尔,2702079042.0
202305,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,434,秘鲁,594441261.0
202305,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,445,委内瑞拉,24451806.0
202305,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,602,库克群岛,6493996.0
202305,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,609,新西兰,328645517.0
202305,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,611,巴布亚新几内亚,9116983.0
202305,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,620,密克罗尼西亚联邦,88576977.0
202305,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,146,吉尔吉斯斯坦,181665.0
202305,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,302,丹麦,56114054.0
202305,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,311,葡萄牙,914.0
202305,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,328,罗马尼亚,8034.0
202305,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,330,瑞典,27719987.0
202305,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,331,瑞士,26718675.0
202305,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,334,爱沙尼亚,3990846.0
202305,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,335,拉脱维亚,22623.0
202305,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,347,乌克兰,5999492.0
202305,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,352,捷克,1416426.0
202305,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,402,阿根廷,18423211.0
202305,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,412,智利,2031790.0
202305,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,609,新西兰,2500298148.0
202305,5,第5章   其他动物产品,103,孟加拉国,769271.0
202305,5,第5章   其他动物产品,106,缅甸,5778995.0
202305,5,第5章   其他动物产品,215,埃及,180340.0
202305,5,第5章   其他动物产品,232,摩洛哥,205302.0
202305,5,第5章   其他动物产品,236,尼日利亚,983870.0
202305,5,第5章   其他动物产品,247,坦桑尼亚,143514.0
202305,5,第5章   其他动物产品,302,丹麦,49885987.0
202305,5,第5章   其他动物产品,347,乌克兰,774162.0
202305,5,第5章   其他动物产品,426,洪都拉斯,375018.0
202305,5,第5章   其他动物产品,609,新西兰,106427323.0
202305,5,第5章   其他动物产品,613,所罗门群岛,88656.0
