数据年月,商品编码,商品名称,贸易伙伴编码,贸易伙伴名称,人民币
202308,1,第1章   活动物,302,丹麦,38566.0
202308,2,第2章   肉及食用杂碎,302,丹麦,207340616.0
202308,2,第2章   肉及食用杂碎,311,葡萄牙,6737314.0
202308,2,第2章   肉及食用杂碎,331,瑞士,8402717.0
202308,2,第2章   肉及食用杂碎,347,乌克兰,14454969.0
202308,2,第2章   肉及食用杂碎,402,阿根廷,1436348459.0
202308,2,第2章   肉及食用杂碎,412,智利,174619025.0
202308,2,第2章   肉及食用杂碎,432,巴拿马,8433464.0
202308,2,第2章   肉及食用杂碎,609,新西兰,1161703270.0
202308,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,103,孟加拉国,43886271.0
202308,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,106,缅甸,172139270.0
202308,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,131,沙特阿拉伯,63027183.0
202308,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,134,斯里兰卡,6081530.0
202308,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,215,埃及,109681.0
202308,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,232,摩洛哥,5629021.0
202308,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,236,尼日利亚,35133.0
202308,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,247,坦桑尼亚,15252768.0
202308,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,302,丹麦,22565475.0
202308,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,311,葡萄牙,35491459.0
202308,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,322,冰岛,110531292.0
202308,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,334,爱沙尼亚,18399658.0
202308,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,335,拉脱维亚,7463845.0
202308,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,402,阿根廷,161250871.0
202308,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,412,智利,403333282.0
202308,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,413,哥伦比亚,721288.0
202308,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,419,厄瓜多尔,2011630326.0
202308,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,432,巴拿马,4190778.0
202308,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,434,秘鲁,153103115.0
202308,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,445,委内瑞拉,16243282.0
202308,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,603,斐济,559264.0
202308,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,608,瓦努阿图,1797176.0
202308,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,609,新西兰,211349917.0
202308,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,611,巴布亚新几内亚,6496159.0
202308,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,620,密克罗尼西亚联邦,7606064.0
202308,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,146,吉尔吉斯斯坦,409054.0
202308,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,302,丹麦,74171595.0
202308,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,311,葡萄牙,849.0
202308,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,330,瑞典,19874623.0
202308,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,331,瑞士,13581399.0
202308,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,334,爱沙尼亚,3361745.0
202308,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,347,乌克兰,2820123.0
202308,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,352,捷克,1568261.0
202308,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,402,阿根廷,21194696.0
202308,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,412,智利,3429668.0
202308,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,609,新西兰,2165407346.0
202308,5,第5章   其他动物产品,103,孟加拉国,1836514.0
202308,5,第5章   其他动物产品,106,缅甸,3789022.0
202308,5,第5章   其他动物产品,146,吉尔吉斯斯坦,210741.0
202308,5,第5章   其他动物产品,215,埃及,72842.0
202308,5,第5章   其他动物产品,232,摩洛哥,416109.0
202308,5,第5章   其他动物产品,236,尼日利亚,2107975.0
202308,5,第5章   其他动物产品,247,坦桑尼亚,309639.0
202308,5,第5章   其他动物产品,302,丹麦,21997211.0
202308,5,第5章   其他动物产品,322,冰岛,1152776.0
202308,5,第5章   其他动物产品,347,乌克兰,431286.0
202308,5,第5章   其他动物产品,419,厄瓜多尔,154730.0
202308,5,第5章   其他动物产品,426,洪都拉斯,361406.0
202308,5,第5章   其他动物产品,609,新西兰,81611123.0
202308,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,115,以色列,643276.0
202308,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,134,斯里兰卡,2165.0
202308,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,236,尼日利亚,2392.0
202308,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,247,坦桑尼亚,490485.0
202308,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,302,丹麦,270.0
202308,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,311,葡萄牙,67514.0
202308,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,412,智利,1666760.0
202308,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,413,哥伦比亚,3627103.0
202308,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,419,厄瓜多尔,10042957.0
202308,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,434,秘鲁,4574909.0
202308,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,609,新西兰,1874631.0
202308,7,第7章   食用蔬菜、根及块茎,106,缅甸,49871039.0
202308,7,第7章   食用蔬菜、根及块茎,107,柬埔寨,879845.0
202308,7,第7章   食用蔬菜、根及块茎,236,尼日利亚,228157.0
202308,7,第7章   食用蔬菜、根及块茎,330,瑞典,305910.0
202308,7,第7章   食用蔬菜、根及块茎,609,新西兰,22388170.0
202308,8,第8章   食用水果及坚果；甜瓜或柑橘属水果的果皮,101,阿富汗,2163588.0
202308,8,第8章   食用水果及坚果；甜瓜或柑橘属水果的果皮,106,缅甸,9642894.0
202308,8,第8章   食用水果及坚果；甜瓜或柑橘属水果的果皮,107,柬埔寨,69889444.0
202308,8,第8章   食用水果及坚果；甜瓜或柑橘属水果的果皮,131,沙特阿拉伯,207749.0
202308,8,第8章   食用水果及坚果；甜瓜或柑橘属水果的果皮,134,斯里兰卡,137111.0
202308,8,第8章   食用水果及坚果；甜瓜或柑橘属水果的果皮,215,埃及,40200138.0
202308,8,第8章   食用水果及坚果；甜瓜或柑橘属水果的果皮,232,摩洛哥,2789885.0
202308,8,第8章   食用水果及坚果；甜瓜或柑橘属水果的果皮,248,多哥,5718023.0
202308,8,第8章   食用水果及坚果；甜瓜或柑橘属水果的果皮,330,瑞典,10375870.0
202308,8,第8章   食用水果及坚果；甜瓜或柑橘属水果的果皮,354,北马其顿,3199.0
202308,8,第8章   食用水果及坚果；甜瓜或柑橘属水果的果皮,402,阿根廷,5655131.0
202308,8,第8章   食用水果及坚果；甜瓜或柑橘属水果的果皮,412,智利,102314208.0
202308,8,第8章   食用水果及坚果；甜瓜或柑橘属水果的果皮,419,厄瓜多尔,140449154.0
202308,8,第8章   食用水果及坚果；甜瓜或柑橘属水果的果皮,423,危地马拉,9693574.0
202308,8,第8章   食用水果及坚果；甜瓜或柑橘属水果的果皮,434,秘鲁,257951423.0
202308,8,第8章   食用水果及坚果；甜瓜或柑橘属水果的果皮,609,新西兰,424635843.0
202308,9,第9章   咖啡、茶、马黛茶及调味香料,106,缅甸,12096605.0
202308,9,第9章   咖啡、茶、马黛茶及调味香料,107,柬埔寨,98054.0
202308,9,第9章   咖啡、茶、马黛茶及调味香料,121,中国澳门,67037.0
202308,9,第9章   咖啡、茶、马黛茶及调味香料,134,斯里兰卡,28357866.0
202308,9,第9章   咖啡、茶、马黛茶及调味香料,144,东帝汶,2261.0
202308,9,第9章   咖啡、茶、马黛茶及调味香料,215,埃及,1537741.0
202308,9,第9章   咖啡、茶、马黛茶及调味香料,228,马拉维,2935582.0
202308,9,第9章   咖啡、茶、马黛茶及调味香料,232,摩洛哥,225405.0
202308,9,第9章   咖啡、茶、马黛茶及调味香料,236,尼日利亚,7121472.0
202308,9,第9章   咖啡、茶、马黛茶及调味香料,238,卢旺达,5200761.0
202308,9,第9章   咖啡、茶、马黛茶及调味香料,247,坦桑尼亚,1464313.0
202308,9,第9章   咖啡、茶、马黛茶及调味香料,302,丹麦,107913.0
202308,9,第9章   咖啡、茶、马黛茶及调味香料,311,葡萄牙,192494.0
202308,9,第9章   咖啡、茶、马黛茶及调味香料,330,瑞典,700066.0
202308,9,第9章   咖啡、茶、马黛茶及调味香料,331,瑞士,10088339.0
202308,9,第9章   咖啡、茶、马黛茶及调味香料,402,阿根廷,352490.0
202308,9,第9章   咖啡、茶、马黛茶及调味香料,413,哥伦比亚,51612413.0
202308,9,第9章   咖啡、茶、马黛茶及调味香料,419,厄瓜多尔,860.0
202308,9,第9章   咖啡、茶、马黛茶及调味香料,423,危地马拉,30749169.0
202308,9,第9章   咖啡、茶、马黛茶及调味香料,426,洪都拉斯,238332.0
202308,9,第9章   咖啡、茶、马黛茶及调味香料,432,巴拿马,16124146.0
202308,9,第9章   咖啡、茶、马黛茶及调味香料,434,秘鲁,11117.0
202308,9,第9章   咖啡、茶、马黛茶及调味香料,609,新西兰,66714.0
202308,9,第9章   咖啡、茶、马黛茶及调味香料,611,巴布亚新几内亚,5007386.0
202308,10,第10章  谷物,106,缅甸,53726782.0
202308,10,第10章  谷物,107,柬埔寨,5615167.0
202308,10,第10章  谷物,302,丹麦,31041689.0
202308,10,第10章  谷物,347,乌克兰,658572685.0
202308,10,第10章  谷物,402,阿根廷,394206192.0
202308,10,第10章  谷物,434,秘鲁,1293398.0
202308,11,第11章  制粉工业产品；麦芽；淀粉；菊粉；面筋,107,柬埔寨,10356026.0
202308,11,第11章  制粉工业产品；麦芽；淀粉；菊粉；面筋,236,尼日利亚,49719.0
202308,11,第11章  制粉工业产品；麦芽；淀粉；菊粉；面筋,302,丹麦,1525307.0
202308,11,第11章  制粉工业产品；麦芽；淀粉；菊粉；面筋,334,爱沙尼亚,37785.0
202308,11,第11章  制粉工业产品；麦芽；淀粉；菊粉；面筋,412,智利,395199.0
202308,11,第11章  制粉工业产品；麦芽；淀粉；菊粉；面筋,419,厄瓜多尔,2653.0
202308,11,第11章  制粉工业产品；麦芽；淀粉；菊粉；面筋,434,秘鲁,2400.0
202308,12,第12章  含油子仁及果实；杂项子仁及果仁；工业用或药用植物；稻草、秸秆及饲料,103,孟加拉国,6988691.0
202308,12,第12章  含油子仁及果实；杂项子仁及果仁；工业用或药用植物；稻草、秸秆及饲料,106,缅甸,92788656.0
202308,12,第12章  含油子仁及果实；杂项子仁及果仁；工业用或药用植物；稻草、秸秆及饲料,115,以色列,336515.0
