数据年月,商品编码,商品名称,贸易伙伴编码,贸易伙伴名称,美元
201506,1,第1章   活动物,110,中国香港,37900915.0
201506,1,第1章   活动物,112,印度尼西亚,10500.0
201506,1,第1章   活动物,116,日本,708231.0
201506,1,第1章   活动物,122,马来西亚,4980.0
201506,1,第1章   活动物,125,尼泊尔,200.0
201506,1,第1章   活动物,132,新加坡,5832.0
201506,1,第1章   活动物,133,韩国,264897.0
201506,1,第1章   活动物,136,泰国,10360.0
201506,1,第1章   活动物,143,中国台湾,8808.0
201506,1,第1章   活动物,304,德国,37158.0
201506,1,第1章   活动物,344,俄罗斯,10875.0
201506,1,第1章   活动物,502,美国,2706790.0
201506,2,第2章   肉及食用杂碎,102,巴林,595361.0
201506,2,第2章   肉及食用杂碎,110,中国香港,53590362.0
201506,2,第2章   肉及食用杂碎,116,日本,52768.0
201506,2,第2章   肉及食用杂碎,122,马来西亚,6657042.0
201506,2,第2章   肉及食用杂碎,132,新加坡,713411.0
201506,2,第2章   肉及食用杂碎,202,安哥拉,47550.0
201506,2,第2章   肉及食用杂碎,206,喀麦隆,1654.0
201506,2,第2章   肉及食用杂碎,225,利比里亚,43200.0
201506,2,第2章   肉及食用杂碎,304,德国,694008.0
201506,2,第2章   肉及食用杂碎,337,格鲁吉亚,1120952.0
201506,2,第2章   肉及食用杂碎,344,俄罗斯,6626409.0
201506,2,第2章   肉及食用杂碎,502,美国,292520.0
201506,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,102,巴林,94176.0
201506,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,110,中国香港,115419751.0
201506,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,111,印度,254940.0
201506,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,112,印度尼西亚,6491199.0
201506,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,113,伊朗,5803596.0
201506,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,116,日本,166235677.0
201506,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,119,老挝,3000.0
201506,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,120,黎巴嫩,5856.0
201506,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,122,马来西亚,31487135.0
201506,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,126,阿曼,54336.0
201506,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,132,新加坡,13280839.0
201506,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,133,韩国,90427432.0
201506,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,136,泰国,54012847.0
201506,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,141,越南,4115563.0
201506,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,143,中国台湾,71604334.0
201506,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,145,哈萨克斯坦,1144.0
201506,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,202,安哥拉,839325.0
201506,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,205,布隆迪,75000.0
201506,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,206,喀麦隆,4288937.0
201506,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,218,加蓬,506915.0
201506,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,221,几内亚,192350.0
201506,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,223,科特迪瓦,3973915.0
201506,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,231,毛里求斯,347737.0
201506,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,234,纳米比亚,168043.0
201506,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,249,突尼斯,395251.0
201506,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,259,马约特,128620.0
201506,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,303,英国,28458176.0
201506,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,304,德国,49500669.0
201506,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,337,格鲁吉亚,203387.0
201506,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,344,俄罗斯,9182586.0
201506,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,351,克罗地亚,280164.0
201506,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,358,塞尔维亚,42230.0
201506,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,421,格林纳达,37901.0
201506,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,424,圭亚那,216000.0
201506,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,502,美国,130286194.0
201506,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,601,澳大利亚,10538670.0
201506,4,第4章   乳品;蛋品;天然蜂蜜;其他食用动物产品,110,中国香港,14971930.0
201506,4,第4章   乳品;蛋品;天然蜂蜜;其他食用动物产品,112,印度尼西亚,31000.0
201506,4,第4章   乳品;蛋品;天然蜂蜜;其他食用动物产品,116,日本,5299492.0
201506,4,第4章   乳品;蛋品;天然蜂蜜;其他食用动物产品,122,马来西亚,264135.0
201506,4,第4章   乳品;蛋品;天然蜂蜜;其他食用动物产品,126,阿曼,48240.0
201506,4,第4章   乳品;蛋品;天然蜂蜜;其他食用动物产品,132,新加坡,1177992.0
201506,4,第4章   乳品;蛋品;天然蜂蜜;其他食用动物产品,133,韩国,666270.0
201506,4,第4章   乳品;蛋品;天然蜂蜜;其他食用动物产品,136,泰国,2210037.0
201506,4,第4章   乳品;蛋品;天然蜂蜜;其他食用动物产品,206,喀麦隆,175.0
201506,4,第4章   乳品;蛋品;天然蜂蜜;其他食用动物产品,231,毛里求斯,3600.0
201506,4,第4章   乳品;蛋品;天然蜂蜜;其他食用动物产品,303,英国,4346877.0
201506,4,第4章   乳品;蛋品;天然蜂蜜;其他食用动物产品,304,德国,818588.0
201506,4,第4章   乳品;蛋品;天然蜂蜜;其他食用动物产品,351,克罗地亚,46690.0
201506,4,第4章   乳品;蛋品;天然蜂蜜;其他食用动物产品,502,美国,1474411.0
201506,4,第4章   乳品;蛋品;天然蜂蜜;其他食用动物产品,601,澳大利亚,1320170.0
201506,5,第5章   其他动物产品,110,中国香港,4440022.0
201506,5,第5章   其他动物产品,111,印度,468670.0
201506,5,第5章   其他动物产品,112,印度尼西亚,2884406.0
201506,5,第5章   其他动物产品,116,日本,17115834.0
201506,5,第5章   其他动物产品,122,马来西亚,179920.0
201506,5,第5章   其他动物产品,132,新加坡,20763.0
201506,5,第5章   其他动物产品,133,韩国,2803225.0
201506,5,第5章   其他动物产品,136,泰国,8671148.0
201506,5,第5章   其他动物产品,141,越南,12074221.0
201506,5,第5章   其他动物产品,143,中国台湾,6960738.0
201506,5,第5章   其他动物产品,231,毛里求斯,28828.0
201506,5,第5章   其他动物产品,234,纳米比亚,6600.0
