数据年月,商品编码,商品名称,贸易伙伴编码,贸易伙伴名称,美元
201702,1,第1章   活动物,110,中国香港,39707176.0
201702,1,第1章   活动物,112,印度尼西亚,6300.0
201702,1,第1章   活动物,116,日本,88664.0
201702,1,第1章   活动物,122,马来西亚,6978.0
201702,1,第1章   活动物,125,尼泊尔,600.0
201702,1,第1章   活动物,132,新加坡,7530.0
201702,1,第1章   活动物,133,韩国,100548.0
201702,1,第1章   活动物,136,泰国,9755.0
201702,1,第1章   活动物,141,越南,403505.0
201702,1,第1章   活动物,143,中国台湾,5091.0
201702,1,第1章   活动物,344,俄罗斯,910.0
201702,1,第1章   活动物,502,美国,2134336.0
201702,2,第2章   肉及食用杂碎,102,巴林,424553.0
201702,2,第2章   肉及食用杂碎,110,中国香港,49601604.0
201702,2,第2章   肉及食用杂碎,132,新加坡,284500.0
201702,2,第2章   肉及食用杂碎,304,德国,270453.0
201702,2,第2章   肉及食用杂碎,337,格鲁吉亚,87189.0
201702,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,110,中国香港,73063285.0
201702,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,111,印度,117646.0
201702,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,112,印度尼西亚,15738887.0
201702,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,113,伊朗,1050407.0
201702,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,116,日本,68424638.0
201702,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,120,黎巴嫩,4648.0
201702,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,122,马来西亚,26328038.0
201702,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,126,阿曼,100470.0
201702,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,132,新加坡,6397923.0
201702,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,133,韩国,70399345.0
201702,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,136,泰国,45182825.0
201702,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,141,越南,9451131.0
201702,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,143,中国台湾,40799951.0
201702,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,206,喀麦隆,292000.0
201702,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,218,加蓬,459118.0
201702,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,223,科特迪瓦,2629467.0
201702,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,231,毛里求斯,2244877.0
201702,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,234,纳米比亚,36654.0
201702,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,237,留尼汪,32142.0
