数据年月,商品编码,商品名称,贸易伙伴编码,贸易伙伴名称,美元
201705,1,第1章   活动物,110,中国香港,38895261.0
201705,1,第1章   活动物,112,印度尼西亚,6075.0
201705,1,第1章   活动物,116,日本,438771.0
201705,1,第1章   活动物,122,马来西亚,5100.0
201705,1,第1章   活动物,125,尼泊尔,400.0
201705,1,第1章   活动物,132,新加坡,15434.0
201705,1,第1章   活动物,133,韩国,120356.0
201705,1,第1章   活动物,136,泰国,7100.0
201705,1,第1章   活动物,141,越南,436544.0
201705,1,第1章   活动物,303,英国,12.0
201705,1,第1章   活动物,304,德国,24485.0
201705,1,第1章   活动物,502,美国,2349774.0
201705,2,第2章   肉及食用杂碎,102,巴林,1912853.0
201705,2,第2章   肉及食用杂碎,110,中国香港,55897058.0
201705,2,第2章   肉及食用杂碎,132,新加坡,285877.0
201705,2,第2章   肉及食用杂碎,145,哈萨克斯坦,184260.0
201705,2,第2章   肉及食用杂碎,202,安哥拉,41273.0
201705,2,第2章   肉及食用杂碎,304,德国,299604.0
201705,2,第2章   肉及食用杂碎,337,格鲁吉亚,1517462.0
201705,2,第2章   肉及食用杂碎,344,俄罗斯,623020.0
201705,2,第2章   肉及食用杂碎,502,美国,273160.0
201705,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,102,巴林,60765.0
201705,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,110,中国香港,91307154.0
201705,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,111,印度,41421.0
201705,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,112,印度尼西亚,11735532.0
201705,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,113,伊朗,9213055.0
201705,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,116,日本,201052458.0
201705,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,119,老挝,3656.0
201705,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,120,黎巴嫩,117731.0
201705,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,122,马来西亚,37886250.0
201705,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,132,新加坡,9275990.0
201705,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,133,韩国,87631378.0
201705,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,136,泰国,61764254.0
201705,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,141,越南,9957333.0
201705,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,143,中国台湾,64327350.0
201705,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,145,哈萨克斯坦,239438.0
201705,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,202,安哥拉,154355.0
201705,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,206,喀麦隆,2466507.0
201705,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,212,科摩罗,49280.0
201705,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,218,加蓬,515281.0
201705,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,223,科特迪瓦,7889271.0
201705,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,231,毛里求斯,695920.0
201705,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,237,留尼汪,186521.0
201705,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,240,塞内加尔,380650.0
201705,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,243,索马里,115010.0
201705,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,249,突尼斯,204816.0
201705,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,259,马约特,101170.0
201705,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,303,英国,25602421.0
201705,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,304,德国,28524358.0
