数据年月,商品编码,商品名称,贸易伙伴编码,贸易伙伴名称,美元
201812,1,第1章   活动物,110,中国香港,73541938.0
201812,1,第1章   活动物,112,印度尼西亚,43000.0
201812,1,第1章   活动物,116,日本,223109.0
201812,1,第1章   活动物,122,马来西亚,5300.0
201812,1,第1章   活动物,125,尼泊尔,400.0
201812,1,第1章   活动物,132,新加坡,10386.0
201812,1,第1章   活动物,133,韩国,304061.0
201812,1,第1章   活动物,136,泰国,21921.0
201812,1,第1章   活动物,141,越南,467424.0
201812,1,第1章   活动物,143,中国台湾,13223.0
201812,1,第1章   活动物,303,英国,12.0
201812,1,第1章   活动物,337,格鲁吉亚,1547.0
201812,1,第1章   活动物,344,俄罗斯,1514.0
201812,1,第1章   活动物,502,美国,4192607.0
201812,2,第2章   肉及食用杂碎,102,巴林,1736448.0
201812,2,第2章   肉及食用杂碎,110,中国香港,74188682.0
201812,2,第2章   肉及食用杂碎,122,马来西亚,3656908.0
201812,2,第2章   肉及食用杂碎,141,越南,33300.0
201812,2,第2章   肉及食用杂碎,304,德国,418575.0
201812,2,第2章   肉及食用杂碎,337,格鲁吉亚,156856.0
201812,2,第2章   肉及食用杂碎,417,库拉索 ,62910.0
201812,2,第2章   肉及食用杂碎,502,美国,147415.0
201812,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,102,巴林,41900.0
201812,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,110,中国香港,106611521.0
201812,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,112,印度尼西亚,8564782.0
201812,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,113,伊朗,409924.0
201812,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,116,日本,176388148.0
201812,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,120,黎巴嫩,141507.0
201812,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,122,马来西亚,20834533.0
