数据年月,商品编码,商品名称,贸易伙伴编码,贸易伙伴名称,美元
201908,1,第1章   活动物,110,中国香港,32958630.0
201908,1,第1章   活动物,112,印度尼西亚,12800.0
201908,1,第1章   活动物,116,日本,51757.0
201908,1,第1章   活动物,122,马来西亚,7725.0
201908,1,第1章   活动物,125,尼泊尔,300.0
201908,1,第1章   活动物,132,新加坡,11862.0
201908,1,第1章   活动物,133,韩国,270738.0
201908,1,第1章   活动物,136,泰国,6550.0
201908,1,第1章   活动物,141,越南,678759.0
201908,1,第1章   活动物,143,中国台湾,18616.0
201908,1,第1章   活动物,303,英国,1300.0
201908,1,第1章   活动物,304,德国,23084.0
201908,1,第1章   活动物,344,俄罗斯,22500.0
201908,1,第1章   活动物,502,美国,2695005.0
201908,2,第2章   肉及食用杂碎,102,巴林,1953842.0
201908,2,第2章   肉及食用杂碎,110,中国香港,52000571.0
201908,2,第2章   肉及食用杂碎,116,日本,253317.0
201908,2,第2章   肉及食用杂碎,122,马来西亚,3850437.0
201908,2,第2章   肉及食用杂碎,141,越南,117662.0
201908,2,第2章   肉及食用杂碎,304,德国,92001.0
201908,2,第2章   肉及食用杂碎,337,格鲁吉亚,433751.0
201908,2,第2章   肉及食用杂碎,344,俄罗斯,382956.0
201908,2,第2章   肉及食用杂碎,502,美国,423150.0
201908,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,102,巴林,45160.0
201908,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,110,中国香港,71869735.0
201908,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,111,印度,173011.0
201908,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,112,印度尼西亚,12686992.0
201908,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,113,伊朗,5605075.0
201908,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,116,日本,145349320.0
201908,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,120,黎巴嫩,59641.0
201908,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,122,马来西亚,18843648.0
201908,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,126,阿曼,49380.0
201908,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,132,新加坡,6863695.0
201908,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,133,韩国,93501076.0
201908,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,136,泰国,40836492.0
201908,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,141,越南,15812817.0
201908,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,143,中国台湾,38301223.0
201908,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,145,哈萨克斯坦,888.0
201908,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,148,土库曼斯坦,24240.0
201908,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,205,布隆迪,172040.0
201908,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,206,喀麦隆,251866.0
201908,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,212,科摩罗,78790.0
201908,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,218,加蓬,81856.0
201908,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,223,科特迪瓦,7311242.0
201908,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,231,毛里求斯,1083838.0
201908,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,237,留尼汪,92310.0
201908,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,240,塞内加尔,763183.0
201908,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,243,索马里,338768.0
201908,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,249,突尼斯,198828.0
201908,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,259,马约特,131686.0
201908,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,260,南苏丹,71854.0
201908,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,303,英国,39278098.0
201908,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,304,德国,61705918.0
201908,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,324,马耳他,28259.0
201908,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,337,格鲁吉亚,51809.0
201908,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,344,俄罗斯,13637704.0
201908,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,351,克罗地亚,202800.0
201908,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,358,塞尔维亚,118570.0
201908,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,401,安提瓜和巴布达,92400.0
201908,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,403,阿鲁巴,79708.0
201908,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,425,海地,216600.0
201908,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,440,萨尔瓦多,39508.0
201908,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,502,美国,115577137.0
201908,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,601,澳大利亚,11439672.0
201908,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,607,新喀里多尼亚,74000.0
201908,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,110,中国香港,16483623.0
