数据年月,商品编码,商品名称,贸易伙伴编码,贸易伙伴名称,美元
202011,1,第1章   活动物,110,中国香港,50499799.0
202011,1,第1章   活动物,111,印度,960.0
202011,1,第1章   活动物,112,印度尼西亚,10130.0
202011,1,第1章   活动物,116,日本,207395.0
202011,1,第1章   活动物,122,马来西亚,2317.0
202011,1,第1章   活动物,132,新加坡,28176.0
202011,1,第1章   活动物,133,韩国,562636.0
202011,1,第1章   活动物,136,泰国,24414.0
202011,1,第1章   活动物,141,越南,621306.0
202011,1,第1章   活动物,143,中国台湾,3008.0
202011,1,第1章   活动物,303,英国,498.0
202011,1,第1章   活动物,304,德国,2841.0
202011,1,第1章   活动物,344,俄罗斯,46500.0
202011,1,第1章   活动物,502,美国,113995.0
202011,2,第2章   肉及食用杂碎,102,巴林,642663.0
202011,2,第2章   肉及食用杂碎,110,中国香港,54787749.0
202011,2,第2章   肉及食用杂碎,116,日本,159015.0
202011,2,第2章   肉及食用杂碎,122,马来西亚,3671574.0
202011,2,第2章   肉及食用杂碎,133,韩国,34032.0
202011,2,第2章   肉及食用杂碎,136,泰国,28690.0
202011,2,第2章   肉及食用杂碎,141,越南,131775.0
202011,2,第2章   肉及食用杂碎,304,德国,468345.0
202011,2,第2章   肉及食用杂碎,337,格鲁吉亚,168530.0
202011,2,第2章   肉及食用杂碎,344,俄罗斯,74336.0
202011,2,第2章   肉及食用杂碎,502,美国,72850.0
202011,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,102,巴林,48120.0
202011,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,110,中国香港,110991225.0
202011,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,112,印度尼西亚,5860879.0
202011,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,116,日本,190444532.0
202011,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,120,黎巴嫩,2030.0
202011,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,122,马来西亚,24291943.0
202011,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,125,尼泊尔,5793.0
202011,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,126,阿曼,46375.0
202011,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,132,新加坡,6158981.0
202011,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,133,韩国,144471268.0
202011,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,136,泰国,86143426.0
202011,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,141,越南,37353014.0
202011,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,143,中国台湾,39953101.0
202011,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,206,喀麦隆,487541.0
202011,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,212,科摩罗,170100.0
202011,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,218,加蓬,831563.0
202011,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,221,几内亚,130820.0
202011,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,223,科特迪瓦,11980889.0
202011,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,230,毛里塔尼亚,111614.0
