数据年月,商品编码,商品名称,贸易伙伴编码,贸易伙伴名称,美元
202009,1,第1章   活动物,110,中国香港,51242994.0
202009,1,第1章   活动物,111,印度,390.0
202009,1,第1章   活动物,112,印度尼西亚,28301.0
202009,1,第1章   活动物,116,日本,124052.0
202009,1,第1章   活动物,122,马来西亚,12329.0
202009,1,第1章   活动物,132,新加坡,22645.0
202009,1,第1章   活动物,133,韩国,427769.0
202009,1,第1章   活动物,136,泰国,25700.0
202009,1,第1章   活动物,141,越南,232299.0
202009,1,第1章   活动物,143,中国台湾,6854.0
202009,1,第1章   活动物,304,德国,420.0
202009,1,第1章   活动物,344,俄罗斯,8640.0
202009,1,第1章   活动物,502,美国,85997.0
202009,2,第2章   肉及食用杂碎,102,巴林,276654.0
202009,2,第2章   肉及食用杂碎,110,中国香港,44302846.0
202009,2,第2章   肉及食用杂碎,116,日本,259050.0
202009,2,第2章   肉及食用杂碎,122,马来西亚,3787307.0
202009,2,第2章   肉及食用杂碎,141,越南,22500.0
202009,2,第2章   肉及食用杂碎,304,德国,705071.0
202009,2,第2章   肉及食用杂碎,337,格鲁吉亚,321540.0
202009,2,第2章   肉及食用杂碎,344,俄罗斯,126363.0
202009,2,第2章   肉及食用杂碎,502,美国,537192.0
202009,2,第2章   肉及食用杂碎,601,澳大利亚,77553.0
202009,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,110,中国香港,85119862.0
202009,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,111,印度,310178.0
202009,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,112,印度尼西亚,11363638.0
202009,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,116,日本,144514129.0
202009,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,120,黎巴嫩,3082.0
202009,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,122,马来西亚,22736123.0
202009,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,125,尼泊尔,5218.0
202009,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,132,新加坡,5019176.0
202009,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,133,韩国,115021484.0
202009,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,136,泰国,83330997.0
202009,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,141,越南,27762866.0
202009,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,143,中国台湾,42279541.0
202009,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,145,哈萨克斯坦,91900.0
202009,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,149,乌兹别克斯坦,22075.0
202009,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,205,布隆迪,54825.0
202009,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,206,喀麦隆,342872.0
202009,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,212,科摩罗,144450.0
202009,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,218,加蓬,784318.0
202009,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,223,科特迪瓦,3221038.0
202009,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,225,利比里亚,974815.0
202009,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,231,毛里求斯,1917017.0
202009,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,234,纳米比亚,47500.0
202009,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,237,留尼汪,122684.0
202009,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,243,索马里,111286.0
202009,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,249,突尼斯,172590.0
202009,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,259,马约特,26770.0
202009,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,260,南苏丹,35927.0
202009,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,303,英国,38134321.0
202009,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,304,德国,32643677.0
202009,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,324,马耳他,1516043.0
202009,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,337,格鲁吉亚,101672.0
202009,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,344,俄罗斯,16926598.0
202009,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,351,克罗地亚,142234.0
202009,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,425,海地,122580.0
