数据年月,商品编码,商品名称,贸易伙伴编码,贸易伙伴名称,美元
202105,1,第1章   活动物,110,中国香港,34446674.0
202105,1,第1章   活动物,116,日本,151349.0
202105,1,第1章   活动物,122,马来西亚,8879.0
202105,1,第1章   活动物,132,新加坡,35338.0
202105,1,第1章   活动物,133,韩国,527810.0
202105,1,第1章   活动物,136,泰国,1490.0
202105,1,第1章   活动物,141,越南,73146.0
202105,1,第1章   活动物,143,中国台湾,2000.0
202105,1,第1章   活动物,304,德国,35541.0
202105,1,第1章   活动物,344,俄罗斯,32980.0
202105,1,第1章   活动物,502,美国,303423.0
202105,2,第2章   肉及食用杂碎,102,巴林,390142.0
202105,2,第2章   肉及食用杂碎,110,中国香港,53899984.0
202105,2,第2章   肉及食用杂碎,116,日本,298775.0
202105,2,第2章   肉及食用杂碎,122,马来西亚,1557981.0
202105,2,第2章   肉及食用杂碎,133,韩国,83391.0
202105,2,第2章   肉及食用杂碎,145,哈萨克斯坦,726756.0
202105,2,第2章   肉及食用杂碎,304,德国,319494.0
202105,2,第2章   肉及食用杂碎,337,格鲁吉亚,290522.0
202105,2,第2章   肉及食用杂碎,344,俄罗斯,72397.0
202105,2,第2章   肉及食用杂碎,502,美国,321621.0
202105,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,110,中国香港,93325592.0
202105,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,111,印度,90000.0
202105,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,112,印度尼西亚,3642390.0
202105,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,116,日本,165116885.0
202105,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,120,黎巴嫩,90517.0
202105,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,122,马来西亚,23363811.0
202105,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,126,阿曼,14259.0
202105,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,132,新加坡,3805061.0
202105,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,133,韩国,94464739.0
202105,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,136,泰国,30109926.0
202105,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,141,越南,25125417.0
202105,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,143,中国台湾,28865495.0
202105,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,145,哈萨克斯坦,191178.0
202105,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,206,喀麦隆,329202.0
202105,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,212,科摩罗,28620.0
202105,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,218,加蓬,477802.0
202105,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,221,几内亚,927260.0
202105,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,223,科特迪瓦,3850496.0
202105,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,231,毛里求斯,911575.0
202105,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,240,塞内加尔,498750.0
202105,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,243,索马里,67392.0
202105,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,259,马约特,142860.0
202105,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,260,南苏丹,35926.0
202105,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,303,英国,27484007.0
202105,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,304,德国,34871082.0
202105,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,324,马耳他,30350.0
202105,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,337,格鲁吉亚,61048.0
202105,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,344,俄罗斯,19117150.0
202105,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,351,克罗地亚,530456.0
202105,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,425,海地,2193790.0
202105,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,440,萨尔瓦多,17858.0
