数据年月,商品编码,商品名称,贸易伙伴编码,贸易伙伴名称,美元
202203,1,第1章   活动物,110,中国香港,25378952.0
202203,1,第1章   活动物,111,印度,53979.0
202203,1,第1章   活动物,112,印度尼西亚,10800.0
202203,1,第1章   活动物,116,日本,231811.0
202203,1,第1章   活动物,122,马来西亚,11755.0
202203,1,第1章   活动物,132,新加坡,33933.0
202203,1,第1章   活动物,133,韩国,890741.0
202203,1,第1章   活动物,136,泰国,21200.0
202203,1,第1章   活动物,143,中国台湾,4476.0
202203,1,第1章   活动物,303,英国,5220.0
202203,1,第1章   活动物,304,德国,19402.0
202203,1,第1章   活动物,344,俄罗斯,11700.0
202203,1,第1章   活动物,502,美国,635338.0
202203,2,第2章   肉及食用杂碎,102,巴林,381530.0
202203,2,第2章   肉及食用杂碎,110,中国香港,51232806.0
202203,2,第2章   肉及食用杂碎,116,日本,403929.0
202203,2,第2章   肉及食用杂碎,119,老挝,122383.0
202203,2,第2章   肉及食用杂碎,122,马来西亚,6748441.0
202203,2,第2章   肉及食用杂碎,133,韩国,36175.0
202203,2,第2章   肉及食用杂碎,136,泰国,14462.0
202203,2,第2章   肉及食用杂碎,141,越南,100860.0
202203,2,第2章   肉及食用杂碎,202,安哥拉,35215.0
202203,2,第2章   肉及食用杂碎,304,德国,268236.0
202203,2,第2章   肉及食用杂碎,337,格鲁吉亚,850710.0
202203,2,第2章   肉及食用杂碎,344,俄罗斯,85000.0
202203,2,第2章   肉及食用杂碎,502,美国,221500.0
202203,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,110,中国香港,67230644.0
202203,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,111,印度,596500.0
202203,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,112,印度尼西亚,18212383.0
202203,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,113,伊朗,57902.0
202203,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,116,日本,132598875.0
202203,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,120,黎巴嫩,47088.0
202203,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,122,马来西亚,24397941.0
202203,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,126,阿曼,160032.0
202203,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,132,新加坡,3890531.0
202203,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,133,韩国,109945731.0
202203,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,136,泰国,64473113.0
202203,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,141,越南,26231903.0
202203,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,143,中国台湾,49011263.0
202203,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,205,布隆迪,36465.0
202203,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,206,喀麦隆,458163.0
202203,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,212,科摩罗,158534.0
202203,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,218,加蓬,216324.0
202203,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,221,几内亚,206509.0
202203,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,223,科特迪瓦,2760142.0
202203,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,231,毛里求斯,2733654.0
202203,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,234,纳米比亚,97470.0
202203,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,237,留尼汪,262652.0
202203,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,240,塞内加尔,1219194.0
202203,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,243,索马里,214356.0
202203,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,259,马约特,189520.0
202203,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,260,南苏丹,90200.0
202203,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,303,英国,21725915.0
202203,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,304,德国,34902779.0
202203,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,337,格鲁吉亚,56965.0
202203,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,344,俄罗斯,1737715.0
202203,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,351,克罗地亚,399184.0
202203,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,401,安提瓜和巴布达,124520.0
202203,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,403,阿鲁巴,50978.0
202203,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,441,苏里南,362290.0
202203,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,502,美国,80782925.0
202203,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,601,澳大利亚,7039626.0
202203,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,607,新喀里多尼亚,81600.0
202203,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,618,基里巴斯,46255.0
202203,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,110,中国香港,19841677.0
202203,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,111,印度,2825.0
