数据年月,商品编码,商品名称,贸易伙伴编码,贸易伙伴名称,美元
202207,1,第1章   活动物,110,中国香港,37612755.0
202207,1,第1章   活动物,112,印度尼西亚,28250.0
202207,1,第1章   活动物,116,日本,171449.0
202207,1,第1章   活动物,122,马来西亚,18409.0
202207,1,第1章   活动物,132,新加坡,26197.0
202207,1,第1章   活动物,133,韩国,447016.0
202207,1,第1章   活动物,136,泰国,27600.0
202207,1,第1章   活动物,141,越南,731846.0
202207,1,第1章   活动物,502,美国,7016.0
202207,2,第2章   肉及食用杂碎,102,巴林,1881159.0
202207,2,第2章   肉及食用杂碎,110,中国香港,63149996.0
202207,2,第2章   肉及食用杂碎,116,日本,695986.0
202207,2,第2章   肉及食用杂碎,119,老挝,92933.0
202207,2,第2章   肉及食用杂碎,122,马来西亚,9094656.0
202207,2,第2章   肉及食用杂碎,136,泰国,116998.0
202207,2,第2章   肉及食用杂碎,141,越南,50240.0
202207,2,第2章   肉及食用杂碎,202,安哥拉,96981.0
202207,2,第2章   肉及食用杂碎,304,德国,916236.0
202207,2,第2章   肉及食用杂碎,337,格鲁吉亚,886404.0
202207,2,第2章   肉及食用杂碎,344,俄罗斯,340486.0
202207,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,110,中国香港,108547536.0
202207,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,112,印度尼西亚,11196823.0
202207,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,116,日本,185037721.0
202207,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,120,黎巴嫩,188141.0
202207,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,122,马来西亚,20605658.0
202207,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,126,阿曼,102334.0
202207,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,132,新加坡,4664388.0
202207,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,133,韩国,105264140.0
202207,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,136,泰国,30428445.0
202207,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,141,越南,36481370.0
202207,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,143,中国台湾,28362149.0
202207,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,145,哈萨克斯坦,42275.0
202207,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,205,布隆迪,36720.0
202207,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,206,喀麦隆,1688581.0
202207,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,218,加蓬,608384.0
202207,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,221,几内亚,690399.0
