数据年月,商品编码,商品名称,贸易伙伴编码,贸易伙伴名称,美元
202307,1,第1章   活动物,110,中国香港,32951717.0
202307,1,第1章   活动物,111,印度,30400.0
202307,1,第1章   活动物,112,印度尼西亚,19860.0
202307,1,第1章   活动物,116,日本,186669.0
202307,1,第1章   活动物,122,马来西亚,11566.0
202307,1,第1章   活动物,132,新加坡,63282.0
202307,1,第1章   活动物,133,韩国,315594.0
202307,1,第1章   活动物,136,泰国,9680.0
202307,1,第1章   活动物,141,越南,402533.0
202307,1,第1章   活动物,143,中国台湾,48354.0
202307,1,第1章   活动物,150,格鲁吉亚,4500.0
202307,1,第1章   活动物,303,英国,140.0
202307,1,第1章   活动物,304,德国,88596.0
202307,1,第1章   活动物,344,俄罗斯,64224.0
202307,1,第1章   活动物,502,美国,896258.0
202307,2,第2章   肉及食用杂碎,102,巴林,1952124.0
202307,2,第2章   肉及食用杂碎,110,中国香港,52359038.0
202307,2,第2章   肉及食用杂碎,116,日本,441431.0
202307,2,第2章   肉及食用杂碎,119,老挝,378836.0
202307,2,第2章   肉及食用杂碎,122,马来西亚,4303994.0
202307,2,第2章   肉及食用杂碎,136,泰国,18942.0
202307,2,第2章   肉及食用杂碎,141,越南,146345.0
202307,2,第2章   肉及食用杂碎,150,格鲁吉亚,934716.0
202307,2,第2章   肉及食用杂碎,202,安哥拉,34891.0
202307,2,第2章   肉及食用杂碎,242,塞拉利昂,90108.0
202307,2,第2章   肉及食用杂碎,304,德国,451916.0
202307,2,第2章   肉及食用杂碎,344,俄罗斯,2914914.0
202307,2,第2章   肉及食用杂碎,502,美国,121253.0
202307,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,110,中国香港,82423571.0
202307,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,112,印度尼西亚,11597164.0
202307,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,116,日本,162114607.0
202307,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,119,老挝,166696.0
202307,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,120,黎巴嫩,92145.0
202307,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,122,马来西亚,13946594.0
202307,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,126,阿曼,152633.0
202307,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,132,新加坡,5703983.0
202307,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,133,韩国,81502256.0
202307,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,136,泰国,21785566.0
202307,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,141,越南,17212205.0
202307,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,143,中国台湾,27900823.0
202307,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,145,哈萨克斯坦,134846.0
202307,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,149,乌兹别克斯坦,15667.0
202307,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,150,格鲁吉亚,46500.0
202307,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,152,阿塞拜疆,237803.0
202307,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,205,布隆迪,69616.0
202307,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,206,喀麦隆,5115554.0
202307,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,218,加蓬,392245.0
202307,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,221,几内亚,388890.0
202307,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,223,科特迪瓦,10307300.0
202307,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,231,毛里求斯,1490900.0
202307,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,234,纳米比亚,99466.0
202307,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,237,留尼汪,129387.0
202307,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,240,塞内加尔,1312123.0
202307,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,259,马约特,82749.0
202307,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,260,南苏丹,70324.0
202307,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,303,英国,37330328.0
202307,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,304,德国,37407296.0
202307,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,324,马耳他,1785000.0
202307,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,344,俄罗斯,6256758.0
202307,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,351,克罗地亚,282493.0
202307,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,358,塞尔维亚,78480.0
202307,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,401,安提瓜和巴布达,79420.0
202307,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,417,库拉索 ,94123.0
202307,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,421,格林纳达,81302.0
202307,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,425,海地,1518705.0
202307,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,437,圣卢西亚,39216.0
202307,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,441,苏里南,285634.0
202307,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,502,美国,96984671.0
202307,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,601,澳大利亚,5837290.0
202307,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,607,新喀里多尼亚,36000.0
202307,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,102,巴林,56223.0
202307,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,110,中国香港,25949590.0
202307,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,111,印度,556.0
202307,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,112,印度尼西亚,83525.0
202307,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,113,伊朗,12144.0
202307,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,116,日本,7360496.0
202307,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,122,马来西亚,581956.0
202307,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,125,尼泊尔,6840.0
202307,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,132,新加坡,1760842.0
202307,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,133,韩国,579772.0
202307,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,136,泰国,368422.0
202307,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,141,越南,72687.0
202307,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,249,突尼斯,6700.0
