数据年月,商品编码,商品名称,贸易伙伴编码,贸易伙伴名称,美元
201601,1,第1章   活动物,307,意大利,30.0
201601,2,第2章   肉及食用杂碎,109,朝鲜,609475.0
201601,2,第2章   肉及食用杂碎,124,蒙古,690955.0
201601,2,第2章   肉及食用杂碎,147,塔吉克斯坦,208062.0
201601,2,第2章   肉及食用杂碎,213,刚果共和国,3000.0
201601,2,第2章   肉及食用杂碎,235,尼日尔,339.0
201601,2,第2章   肉及食用杂碎,258,厄立特里亚,336.0
201601,2,第2章   肉及食用杂碎,301,比利时,609554.0
201601,2,第2章   肉及食用杂碎,339,阿塞拜疆,49950.0
201601,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,108,塞浦路斯,129461.0
201601,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,109,朝鲜,5081524.0
201601,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,118,科威特,485019.0
201601,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,123,马尔代夫,45000.0
201601,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,129,菲律宾,59529301.0
201601,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,137,土耳其,1013686.0
201601,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,138,阿联酋,3409485.0
201601,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,203,贝宁,311580.0
201601,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,208,佛得角,318178.0
201601,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,209,中非,103194.0
201601,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,213,刚果共和国,496792.0
201601,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,220,加纳,1371410.0
201601,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,224,肯尼亚,946484.0
201601,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,233,莫桑比克,315000.0
201601,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,235,尼日尔,96250.0
201601,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,241,塞舌尔,216000.0
201601,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,244,南非,2891057.0
