数据年月,商品编码,商品名称,贸易伙伴编码,贸易伙伴名称,美元
201607,1,第1章   活动物,124,蒙古,161932.0
201607,1,第1章   活动物,138,阿联酋,216.0
201607,1,第1章   活动物,307,意大利,196365.0
201607,1,第1章   活动物,309,荷兰,500.0
201607,1,第1章   活动物,501,加拿大,228200.0
201607,2,第2章   肉及食用杂碎,109,朝鲜,380200.0
201607,2,第2章   肉及食用杂碎,124,蒙古,1325264.0
201607,2,第2章   肉及食用杂碎,127,巴基斯坦,10469.0
201607,2,第2章   肉及食用杂碎,138,阿联酋,170168.0
201607,2,第2章   肉及食用杂碎,147,塔吉克斯坦,447600.0
201607,2,第2章   肉及食用杂碎,301,比利时,710721.0
201607,2,第2章   肉及食用杂碎,305,法国,93826.0
201607,2,第2章   肉及食用杂碎,339,阿塞拜疆,129600.0
201607,2,第2章   肉及食用杂碎,405,巴巴多斯,161.0
201607,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,108,塞浦路斯,433316.0
201607,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,109,朝鲜,4464755.0
201607,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,118,科威特,244613.0
201607,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,123,马尔代夫,56700.0
201607,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,129,菲律宾,39924426.0
201607,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,137,土耳其,570855.0
201607,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,138,阿联酋,878864.0
201607,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,203,贝宁,1314328.0
201607,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,213,刚果共和国,625717.0
201607,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,220,加纳,1614288.0
201607,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,224,肯尼亚,1666759.0
201607,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,233,莫桑比克,899682.0
201607,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,235,尼日尔,236500.0
201607,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,241,塞舌尔,118920.0
201607,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,244,南非,3434519.0
201607,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,252,刚果民主共和国,1582460.0
201607,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,301,比利时,6867707.0
201607,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,305,法国,19446777.0
201607,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,306,爱尔兰,71299.0
201607,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,307,意大利,14341431.0
201607,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,309,荷兰,10875548.0
201607,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,310,希腊,2408540.0
201607,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,312,西班牙,38119173.0
201607,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,313,阿尔巴尼亚,397351.0
201607,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,315,奥地利,70400.0
201607,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,316,保加利亚,128773.0
201607,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,318,芬兰,338889.0
201607,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,321,匈牙利,262798.0
201607,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,326,挪威,1899637.0
201607,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,327,波兰,7822082.0
201607,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,336,立陶宛,112294.0
201607,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,340,白俄罗斯,42423.0
201607,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,350,斯洛文尼亚,134755.0
201607,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,359,黑山,185900.0
201607,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,410,巴西,8319964.0
201607,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,415,哥斯达黎加,866928.0
201607,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,422,瓜德罗普,166950.0
201607,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,427,牙买加,212516.0
201607,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,429,墨西哥,17125515.0
201607,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,435,波多黎各,2183012.0
201607,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,442,特立尼达和多巴哥,337363.0
201607,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,444,乌拉圭,334193.0
201607,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,501,加拿大,30938975.0
201607,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,614,汤加,95200.0
201607,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,617,萨摩亚,234480.0
201607,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,621,马绍尔群岛,106500.0
201607,4,第4章   乳品;蛋品;天然蜂蜜;其他食用动物产品,109,朝鲜,115106.0
201607,4,第4章   乳品;蛋品;天然蜂蜜;其他食用动物产品,118,科威特,102495.0
201607,4,第4章   乳品;蛋品;天然蜂蜜;其他食用动物产品,124,蒙古,26265.0
