数据年月,商品编码,商品名称,贸易伙伴编码,贸易伙伴名称,美元
201609,1,第1章   活动物,138,阿联酋,350.0
201609,1,第1章   活动物,305,法国,50.0
201609,1,第1章   活动物,307,意大利,15409.0
201609,1,第1章   活动物,309,荷兰,200.0
201609,1,第1章   活动物,312,西班牙,60.0
201609,1,第1章   活动物,501,加拿大,559800.0
201609,2,第2章   肉及食用杂碎,109,朝鲜,447210.0
201609,2,第2章   肉及食用杂碎,124,蒙古,931282.0
201609,2,第2章   肉及食用杂碎,138,阿联酋,100910.0
201609,2,第2章   肉及食用杂碎,147,塔吉克斯坦,330080.0
201609,2,第2章   肉及食用杂碎,301,比利时,873585.0
201609,2,第2章   肉及食用杂碎,305,法国,145049.0
201609,2,第2章   肉及食用杂碎,339,阿塞拜疆,35640.0
201609,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,108,塞浦路斯,362459.0
201609,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,109,朝鲜,6353263.0
201609,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,118,科威特,1035.0
201609,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,123,马尔代夫,551417.0
201609,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,129,菲律宾,30830267.0
201609,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,137,土耳其,1013293.0
201609,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,138,阿联酋,3387445.0
201609,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,203,贝宁,886166.0
201609,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,208,佛得角,49505.0
201609,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,209,中非,161280.0
201609,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,213,刚果共和国,569206.0
201609,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,220,加纳,1884206.0
201609,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,224,肯尼亚,2644846.0
201609,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,233,莫桑比克,493451.0
201609,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,235,尼日尔,71500.0
201609,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,244,南非,2521117.0
201609,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,252,刚果民主共和国,873889.0
201609,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,301,比利时,7036975.0
201609,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,305,法国,19504527.0
201609,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,306,爱尔兰,358244.0
201609,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,307,意大利,14732044.0
201609,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,309,荷兰,12261602.0
201609,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,310,希腊,2741880.0
201609,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,312,西班牙,29442170.0
201609,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,316,保加利亚,45600.0
201609,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,321,匈牙利,379123.0
201609,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,326,挪威,2478819.0
201609,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,327,波兰,10155082.0
201609,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,336,立陶宛,216516.0
201609,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,340,白俄罗斯,114365.0
201609,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,350,斯洛文尼亚,91480.0
201609,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,359,黑山,100449.0
201609,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,410,巴西,10650533.0
201609,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,415,哥斯达黎加,959240.0
201609,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,429,墨西哥,11262467.0
201609,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,435,波多黎各,1800530.0
201609,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,442,特立尼达和多巴哥,351550.0
201609,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,444,乌拉圭,496551.0
201609,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,501,加拿大,33928623.0
201609,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,614,汤加,53200.0
201609,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,617,萨摩亚,507808.0
201609,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,621,马绍尔群岛,88750.0
201609,4,第4章   乳品;蛋品;天然蜂蜜;其他食用动物产品,109,朝鲜,49810.0
201609,4,第4章   乳品;蛋品;天然蜂蜜;其他食用动物产品,118,科威特,25419.0
201609,4,第4章   乳品;蛋品;天然蜂蜜;其他食用动物产品,129,菲律宾,103716.0
201609,4,第4章   乳品;蛋品;天然蜂蜜;其他食用动物产品,138,阿联酋,677242.0
201609,4,第4章   乳品;蛋品;天然蜂蜜;其他食用动物产品,147,塔吉克斯坦,13380.0
201609,4,第4章   乳品;蛋品;天然蜂蜜;其他食用动物产品,244,南非,1148947.0
201609,4,第4章   乳品;蛋品;天然蜂蜜;其他食用动物产品,252,刚果民主共和国,816.0
201609,4,第4章   乳品;蛋品;天然蜂蜜;其他食用动物产品,301,比利时,3161198.0
201609,4,第4章   乳品;蛋品;天然蜂蜜;其他食用动物产品,305,法国,153922.0
201609,4,第4章   乳品;蛋品;天然蜂蜜;其他食用动物产品,306,爱尔兰,207467.0
201609,4,第4章   乳品;蛋品;天然蜂蜜;其他食用动物产品,307,意大利,132850.0
201609,4,第4章   乳品;蛋品;天然蜂蜜;其他食用动物产品,309,荷兰,531619.0
201609,4,第4章   乳品;蛋品;天然蜂蜜;其他食用动物产品,312,西班牙,435453.0
201609,4,第4章   乳品;蛋品;天然蜂蜜;其他食用动物产品,315,奥地利,10536.0
