数据年月,商品编码,商品名称,贸易伙伴编码,贸易伙伴名称,美元
201711,1,第1章   活动物,129,菲律宾,600.0
201711,1,第1章   活动物,138,阿联酋,3200.0
201711,1,第1章   活动物,301,比利时,480.0
201711,1,第1章   活动物,305,法国,270.0
201711,1,第1章   活动物,501,加拿大,264000.0
201711,2,第2章   肉及食用杂碎,124,蒙古,2090534.0
201711,2,第2章   肉及食用杂碎,147,塔吉克斯坦,203880.0
201711,2,第2章   肉及食用杂碎,220,加纳,43173.0
201711,2,第2章   肉及食用杂碎,252,刚果民主共和国,43001.0
201711,2,第2章   肉及食用杂碎,301,比利时,440747.0
201711,2,第2章   肉及食用杂碎,305,法国,125323.0
201711,2,第2章   肉及食用杂碎,339,阿塞拜疆,37750.0
201711,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,108,塞浦路斯,198126.0
201711,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,109,朝鲜,9448664.0
201711,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,123,马尔代夫,288900.0
201711,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,127,巴基斯坦,55863.0
201711,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,129,菲律宾,50453597.0
201711,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,137,土耳其,958870.0
201711,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,138,阿联酋,5187942.0
201711,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,203,贝宁,252199.0
201711,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,209,中非,146936.0
201711,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,213,刚果共和国,79410.0
201711,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,220,加纳,517242.0
201711,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,224,肯尼亚,3703781.0
201711,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,233,莫桑比克,377900.0
201711,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,235,尼日尔,113450.0
201711,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,241,塞舌尔,444000.0
201711,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,244,南非,3083265.0
201711,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,252,刚果民主共和国,665795.0
201711,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,301,比利时,5133971.0
201711,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,305,法国,16166883.0
201711,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,306,爱尔兰,85800.0
201711,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,307,意大利,14048202.0
201711,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,309,荷兰,11653505.0
201711,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,310,希腊,3467799.0
201711,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,312,西班牙,36181445.0
201711,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,316,保加利亚,307470.0
