数据年月,商品编码,商品名称,贸易伙伴编码,贸易伙伴名称,美元
201802,1,第1章   活动物,129,菲律宾,300.0
201802,1,第1章   活动物,307,意大利,6838.0
201802,1,第1章   活动物,309,荷兰,231009.0
201802,1,第1章   活动物,312,西班牙,40.0
201802,1,第1章   活动物,501,加拿大,270300.0
201802,2,第2章   肉及食用杂碎,109,朝鲜,138400.0
201802,2,第2章   肉及食用杂碎,118,科威特,109529.0
201802,2,第2章   肉及食用杂碎,124,蒙古,1116427.0
201802,2,第2章   肉及食用杂碎,138,阿联酋,291807.0
201802,2,第2章   肉及食用杂碎,301,比利时,1025333.0
201802,2,第2章   肉及食用杂碎,305,法国,125323.0
201802,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,108,塞浦路斯,97640.0
201802,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,109,朝鲜,5512483.0
201802,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,118,科威特,100635.0
201802,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,123,马尔代夫,54000.0
201802,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,129,菲律宾,44162204.0
201802,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,137,土耳其,1617448.0
201802,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,138,阿联酋,3051991.0
201802,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,203,贝宁,219660.0
201802,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,209,中非,30576.0
201802,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,220,加纳,1667714.0
201802,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,224,肯尼亚,2680501.0
201802,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,233,莫桑比克,215970.0
201802,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,235,尼日尔,65500.0
201802,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,241,塞舌尔,170100.0
201802,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,244,南非,3764831.0
201802,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,252,刚果民主共和国,415727.0
201802,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,301,比利时,5498785.0
201802,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,305,法国,16666986.0
201802,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,306,爱尔兰,235546.0
201802,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,307,意大利,7099861.0
201802,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,309,荷兰,10530028.0
201802,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,310,希腊,2562521.0
201802,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,312,西班牙,33926815.0
201802,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,316,保加利亚,82640.0
201802,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,318,芬兰,64133.0
201802,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,321,匈牙利,92355.0
201802,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,326,挪威,1643584.0
201802,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,327,波兰,4809202.0
201802,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,336,立陶宛,365462.0
201802,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,340,白俄罗斯,178370.0
201802,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,350,斯洛文尼亚,90829.0
