数据年月,商品编码,商品名称,贸易伙伴编码,贸易伙伴名称,美元
202011,1,第1章   活动物,118,科威特,7952.0
202011,1,第1章   活动物,129,菲律宾,23900.0
202011,1,第1章   活动物,305,法国,690.0
202011,1,第1章   活动物,307,意大利,210.0
202011,1,第1章   活动物,501,加拿大,5700.0
202011,2,第2章   肉及食用杂碎,124,蒙古,1897534.0
202011,2,第2章   肉及食用杂碎,305,法国,111777.0
202011,2,第2章   肉及食用杂碎,339,阿塞拜疆,33075.0
202011,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,108,塞浦路斯,56760.0
202011,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,118,科威特,140107.0
202011,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,123,马尔代夫,23710.0
202011,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,129,菲律宾,47748189.0
202011,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,137,土耳其,510531.0
202011,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,138,阿联酋,848061.0
202011,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,203,贝宁,450764.0
202011,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,209,中非,487560.0
202011,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,213,刚果共和国,484796.0
202011,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,220,加纳,1606906.0
202011,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,224,肯尼亚,1150982.0
202011,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,233,莫桑比克,378070.0
202011,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,235,尼日尔,457362.0
202011,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,241,塞舌尔,146297.0
202011,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,244,南非,4408488.0
202011,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,252,刚果民主共和国,924694.0
202011,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,301,比利时,4847452.0
202011,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,305,法国,16150011.0
202011,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,306,爱尔兰,925775.0
202011,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,307,意大利,7022470.0
202011,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,309,荷兰,9939482.0
202011,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,310,希腊,1303371.0
202011,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,312,西班牙,20964497.0
202011,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,313,阿尔巴尼亚,4978.0
202011,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,315,奥地利,142845.0
202011,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,316,保加利亚,88385.0
202011,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,321,匈牙利,186793.0
202011,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,326,挪威,1746043.0
202011,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,327,波兰,4319107.0
202011,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,336,立陶宛,1215448.0
202011,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,339,阿塞拜疆,8400.0
202011,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,340,白俄罗斯,156758.0
202011,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,350,斯洛文尼亚,55680.0
202011,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,405,巴巴多斯,84871.0
202011,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,410,巴西,4910270.0
202011,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,415,哥斯达黎加,372444.0
202011,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,427,牙买加,178570.0
202011,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,429,墨西哥,2290631.0
202011,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,435,波多黎各,1498796.0
202011,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,442,特立尼达和多巴哥,324516.0
202011,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,444,乌拉圭,224539.0
202011,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,501,加拿大,22439613.0
202011,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,614,汤加,58050.0
202011,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,617,萨摩亚,225400.0
202011,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,108,塞浦路斯,33901.0
202011,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,118,科威特,177613.0
202011,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,124,蒙古,32429.0
202011,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,127,巴基斯坦,9032.0
202011,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,129,菲律宾,166900.0
202011,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,137,土耳其,115496.0
202011,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,138,阿联酋,63227.0
202011,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,244,南非,974811.0
202011,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,301,比利时,3188614.0
202011,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,305,法国,119008.0
202011,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,306,爱尔兰,311199.0
202011,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,307,意大利,1083049.0
202011,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,309,荷兰,312887.0
202011,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,310,希腊,287324.0
202011,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,312,西班牙,1801790.0
202011,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,313,阿尔巴尼亚,30.0
202011,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,315,奥地利,18508.0
202011,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,316,保加利亚,65120.0
202011,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,327,波兰,2232660.0
202011,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,336,立陶宛,118207.0
202011,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,350,斯洛文尼亚,117885.0
202011,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,429,墨西哥,24080.0
202011,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,501,加拿大,761635.0
202011,5,第5章   其他动物产品,127,巴基斯坦,90054.0
202011,5,第5章   其他动物产品,129,菲律宾,262500.0
202011,5,第5章   其他动物产品,137,土耳其,360085.0
202011,5,第5章   其他动物产品,138,阿联酋,25972.0
202011,5,第5章   其他动物产品,220,加纳,139500.0
202011,5,第5章   其他动物产品,244,南非,4880798.0
202011,5,第5章   其他动物产品,301,比利时,482365.0
202011,5,第5章   其他动物产品,305,法国,1273599.0
202011,5,第5章   其他动物产品,307,意大利,1655126.0
202011,5,第5章   其他动物产品,309,荷兰,6633868.0
202011,5,第5章   其他动物产品,312,西班牙,7208080.0
202011,5,第5章   其他动物产品,315,奥地利,1322420.0
202011,5,第5章   其他动物产品,316,保加利亚,57656.0
202011,5,第5章   其他动物产品,321,匈牙利,460315.0
202011,5,第5章   其他动物产品,327,波兰,3881494.0
202011,5,第5章   其他动物产品,336,立陶宛,16478.0
202011,5,第5章   其他动物产品,350,斯洛文尼亚,603308.0
202011,5,第5章   其他动物产品,410,巴西,5089545.0
202011,5,第5章   其他动物产品,415,哥斯达黎加,253.0
202011,5,第5章   其他动物产品,429,墨西哥,111799.0
202011,5,第5章   其他动物产品,501,加拿大,2215333.0
202011,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,108,塞浦路斯,17870.0
202011,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,118,科威特,66968.0
202011,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,124,蒙古,11144.0
202011,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,129,菲律宾,356039.0
202011,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,137,土耳其,373766.0
