数据年月,商品编码,商品名称,贸易伙伴编码,贸易伙伴名称,美元
202102,1,第1章   活动物,118,科威特,1980.0
202102,1,第1章   活动物,129,菲律宾,4000.0
202102,1,第1章   活动物,305,法国,2190.0
202102,1,第1章   活动物,307,意大利,24529.0
202102,2,第2章   肉及食用杂碎,123,马尔代夫,14779.0
202102,2,第2章   肉及食用杂碎,124,蒙古,2075616.0
202102,2,第2章   肉及食用杂碎,301,比利时,431730.0
202102,2,第2章   肉及食用杂碎,305,法国,105649.0
202102,2,第2章   肉及食用杂碎,309,荷兰,41310.0
202102,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,108,塞浦路斯,131365.0
202102,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,118,科威特,85998.0
202102,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,123,马尔代夫,79.0
202102,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,129,菲律宾,54412252.0
202102,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,138,阿联酋,856818.0
202102,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,213,刚果共和国,373256.0
202102,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,220,加纳,1459737.0
202102,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,224,肯尼亚,425000.0
202102,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,235,尼日尔,317200.0
202102,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,244,南非,1629903.0
202102,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,252,刚果民主共和国,1330182.0
202102,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,301,比利时,2203045.0
202102,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,305,法国,4048392.0
202102,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,306,爱尔兰,615912.0
202102,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,307,意大利,2724534.0
202102,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,309,荷兰,4164141.0
202102,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,310,希腊,1834826.0
202102,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,312,西班牙,10353749.0
202102,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,313,阿尔巴尼亚,1280.0
