数据年月,商品编码,商品名称,贸易伙伴编码,贸易伙伴名称,美元
202105,1,第1章   活动物,129,菲律宾,2100.0
202105,1,第1章   活动物,301,比利时,1799.0
202105,1,第1章   活动物,305,法国,8485.0
202105,1,第1章   活动物,307,意大利,33653.0
202105,1,第1章   活动物,312,西班牙,454.0
202105,1,第1章   活动物,501,加拿大,25670.0
202105,2,第2章   肉及食用杂碎,118,科威特,283605.0
202105,2,第2章   肉及食用杂碎,123,马尔代夫,29743.0
202105,2,第2章   肉及食用杂碎,124,蒙古,4209995.0
202105,2,第2章   肉及食用杂碎,301,比利时,680395.0
202105,2,第2章   肉及食用杂碎,305,法国,107941.0
202105,2,第2章   肉及食用杂碎,309,荷兰,98819.0
202105,2,第2章   肉及食用杂碎,339,阿塞拜疆,79380.0
202105,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,108,塞浦路斯,186642.0
202105,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,118,科威特,68590.0
202105,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,129,菲律宾,90578423.0
202105,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,137,土耳其,176302.0
202105,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,138,阿联酋,1558406.0
202105,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,203,贝宁,555486.0
202105,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,209,中非,348520.0
202105,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,213,刚果共和国,296460.0
202105,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,220,加纳,1781300.0
202105,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,224,肯尼亚,1453765.0
202105,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,233,莫桑比克,198530.0
202105,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,241,塞舌尔,142200.0
202105,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,244,南非,1904723.0
202105,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,252,刚果民主共和国,2341084.0
202105,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,301,比利时,5280938.0
202105,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,305,法国,14501461.0
202105,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,306,爱尔兰,1101475.0
202105,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,307,意大利,8794055.0
202105,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,309,荷兰,9304430.0
202105,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,310,希腊,2111399.0
202105,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,312,西班牙,28017945.0
202105,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,313,阿尔巴尼亚,307710.0
202105,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,316,保加利亚,459355.0
202105,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,318,芬兰,86822.0
202105,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,321,匈牙利,157722.0
202105,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,326,挪威,1112047.0
202105,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,327,波兰,6577022.0
202105,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,336,立陶宛,616079.0
202105,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,340,白俄罗斯,106913.0
202105,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,350,斯洛文尼亚,130484.0
202105,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,405,巴巴多斯,144715.0
202105,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,410,巴西,2395083.0
202105,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,415,哥斯达黎加,479849.0
202105,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,427,牙买加,185104.0
202105,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,429,墨西哥,3317059.0
202105,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,435,波多黎各,1301891.0
202105,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,442,特立尼达和多巴哥,261401.0
202105,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,444,乌拉圭,670357.0
202105,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,501,加拿大,22037742.0
202105,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,614,汤加,206384.0
202105,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,617,萨摩亚,546400.0
202105,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,621,马绍尔群岛,340600.0
202105,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,118,科威特,78615.0
202105,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,124,蒙古,53410.0
202105,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,127,巴基斯坦,2450.0
202105,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,129,菲律宾,343257.0
202105,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,137,土耳其,1.0
202105,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,138,阿联酋,102744.0
202105,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,244,南非,717317.0
202105,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,301,比利时,1697772.0
202105,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,305,法国,48735.0
202105,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,306,爱尔兰,154188.0
202105,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,307,意大利,45975.0
202105,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,309,荷兰,555161.0
202105,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,310,希腊,25944.0
202105,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,312,西班牙,981688.0
202105,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,315,奥地利,19107.0
202105,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,327,波兰,1113220.0
202105,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,336,立陶宛,42098.0
202105,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,340,白俄罗斯,3925.0
202105,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,501,加拿大,241616.0
202105,5,第5章   其他动物产品,127,巴基斯坦,144035.0
202105,5,第5章   其他动物产品,137,土耳其,645209.0
202105,5,第5章   其他动物产品,138,阿联酋,24413.0
202105,5,第5章   其他动物产品,220,加纳,178200.0
202105,5,第5章   其他动物产品,244,南非,5461748.0
202105,5,第5章   其他动物产品,301,比利时,1143986.0
202105,5,第5章   其他动物产品,305,法国,3238835.0
202105,5,第5章   其他动物产品,307,意大利,2562090.0
202105,5,第5章   其他动物产品,309,荷兰,7500790.0
202105,5,第5章   其他动物产品,310,希腊,74990.0
202105,5,第5章   其他动物产品,312,西班牙,4498674.0
202105,5,第5章   其他动物产品,315,奥地利,1410418.0
202105,5,第5章   其他动物产品,316,保加利亚,135000.0
202105,5,第5章   其他动物产品,321,匈牙利,354256.0
202105,5,第5章   其他动物产品,326,挪威,570756.0
202105,5,第5章   其他动物产品,327,波兰,4424272.0
202105,5,第5章   其他动物产品,350,斯洛文尼亚,571385.0
202105,5,第5章   其他动物产品,410,巴西,5180260.0
202105,5,第5章   其他动物产品,429,墨西哥,80708.0
202105,5,第5章   其他动物产品,501,加拿大,2151367.0
202105,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,108,塞浦路斯,60465.0
202105,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,118,科威特,18635.0
202105,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,124,蒙古,49451.0
202105,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,129,菲律宾,1243187.0
202105,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,137,土耳其,81821.0
202105,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,138,阿联酋,382481.0
202105,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,224,肯尼亚,7416.0
202105,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,244,南非,24483.0
202105,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,301,比利时,304426.0
202105,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,305,法国,83386.0
202105,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,307,意大利,297769.0
202105,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,309,荷兰,6958798.0
