数据年月,商品编码,商品名称,贸易伙伴编码,贸易伙伴名称,美元
202212,1,第1章   活动物,118,科威特,6090.0
202212,1,第1章   活动物,129,菲律宾,18740.0
202212,1,第1章   活动物,138,阿联酋,2200.0
202212,1,第1章   活动物,220,加纳,200.0
202212,1,第1章   活动物,224,肯尼亚,200.0
202212,1,第1章   活动物,301,比利时,14854.0
202212,1,第1章   活动物,305,法国,5555.0
202212,1,第1章   活动物,307,意大利,7847.0
202212,1,第1章   活动物,327,波兰,11426.0
202212,1,第1章   活动物,501,加拿大,3000.0
202212,2,第2章   肉及食用杂碎,123,马尔代夫,54208.0
202212,2,第2章   肉及食用杂碎,124,蒙古,3234397.0
202212,2,第2章   肉及食用杂碎,127,巴基斯坦,304660.0
202212,2,第2章   肉及食用杂碎,138,阿联酋,49267.0
202212,2,第2章   肉及食用杂碎,305,法国,307069.0
202212,2,第2章   肉及食用杂碎,340,白俄罗斯,90172.0
202212,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,108,塞浦路斯,37800.0
202212,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,127,巴基斯坦,23250.0
202212,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,129,菲律宾,57959734.0
202212,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,137,土耳其,175596.0
202212,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,138,阿联酋,1222063.0
202212,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,203,贝宁,196300.0
202212,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,208,佛得角,91651.0
202212,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,209,中非,174212.0
202212,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,213,刚果共和国,388200.0
202212,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,220,加纳,276550.0
202212,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,224,肯尼亚,1051119.0
202212,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,233,莫桑比克,65774.0
202212,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,235,尼日尔,39780.0
202212,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,244,南非,907146.0
202212,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,252,刚果民主共和国,478256.0
202212,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,301,比利时,7746884.0
202212,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,305,法国,21344728.0
202212,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,306,爱尔兰,738619.0
202212,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,307,意大利,8025520.0
202212,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,309,荷兰,13712440.0
202212,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,310,希腊,2800062.0
202212,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,312,西班牙,23994905.0
202212,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,313,阿尔巴尼亚,45000.0
202212,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,316,保加利亚,162800.0
202212,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,326,挪威,3059201.0
202212,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,327,波兰,6094256.0
202212,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,336,立陶宛,270910.0
