数据年月,商品编码,商品名称,贸易伙伴编码,贸易伙伴名称,美元
202401,1,第1章   活动物,118,科威特,6879.0
202401,1,第1章   活动物,129,菲律宾,16500.0
202401,1,第1章   活动物,138,阿联酋,3160.0
202401,1,第1章   活动物,301,比利时,32865.0
202401,1,第1章   活动物,305,法国,195815.0
202401,1,第1章   活动物,307,意大利,12386.0
202401,1,第1章   活动物,312,西班牙,1784.0
202401,1,第1章   活动物,315,奥地利,22800.0
202401,1,第1章   活动物,318,芬兰,60800.0
202401,1,第1章   活动物,327,波兰,60.0
202401,1,第1章   活动物,429,墨西哥,1800.0
202401,1,第1章   活动物,501,加拿大,26885.0
202401,2,第2章   肉及食用杂碎,109,朝鲜,1063544.0
202401,2,第2章   肉及食用杂碎,118,科威特,155320.0
202401,2,第2章   肉及食用杂碎,123,马尔代夫,91251.0
202401,2,第2章   肉及食用杂碎,124,蒙古,4457163.0
202401,2,第2章   肉及食用杂碎,127,巴基斯坦,35900.0
202401,2,第2章   肉及食用杂碎,129,菲律宾,82875.0
202401,2,第2章   肉及食用杂碎,138,阿联酋,348716.0
202401,2,第2章   肉及食用杂碎,203,贝宁,41064.0
202401,2,第2章   肉及食用杂碎,220,加纳,39910.0
202401,2,第2章   肉及食用杂碎,252,刚果民主共和国,42750.0
202401,2,第2章   肉及食用杂碎,301,比利时,471592.0
202401,2,第2章   肉及食用杂碎,305,法国,117379.0
202401,2,第2章   肉及食用杂碎,309,荷兰,110024.0
202401,2,第2章   肉及食用杂碎,340,白俄罗斯,472504.0
202401,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,108,塞浦路斯,271542.0
202401,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,109,朝鲜,2706907.0
202401,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,118,科威特,70140.0
202401,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,124,蒙古,3137.0
202401,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,129,菲律宾,52726522.0
202401,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,137,土耳其,94645.0
202401,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,138,阿联酋,2656656.0
202401,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,203,贝宁,422920.0
202401,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,209,中非,241550.0
202401,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,213,刚果共和国,765513.0
202401,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,220,加纳,11089265.0
202401,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,224,肯尼亚,251466.0
202401,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,227,马达加斯加,143780.0
202401,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,233,莫桑比克,240320.0
202401,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,235,尼日尔,103457.0
202401,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,244,南非,3676238.0
202401,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,252,刚果民主共和国,1403614.0
202401,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,301,比利时,4767831.0
202401,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,305,法国,17141889.0
202401,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,306,爱尔兰,771012.0
202401,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,307,意大利,10610911.0
202401,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,309,荷兰,10633583.0
202401,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,310,希腊,2882307.0
202401,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,312,西班牙,32967348.0
202401,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,313,阿尔巴尼亚,74295.0
202401,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,315,奥地利,122460.0
202401,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,316,保加利亚,186648.0
202401,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,318,芬兰,135500.0
202401,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,321,匈牙利,169599.0
202401,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,326,挪威,295468.0
202401,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,327,波兰,6295810.0
202401,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,336,立陶宛,344022.0
202401,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,340,白俄罗斯,156600.0
202401,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,350,斯洛文尼亚,55570.0
202401,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,359,黑山,69756.0
202401,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,405,巴巴多斯,178949.0
202401,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,410,巴西,10520806.0
202401,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,415,哥斯达黎加,657269.0
202401,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,429,墨西哥,4667404.0
202401,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,435,波多黎各,484143.0
202401,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,442,特立尼达和多巴哥,652702.0
202401,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,444,乌拉圭,785700.0
202401,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,501,加拿大,22657364.0
202401,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,614,汤加,96667.0
