数据年月,商品编码,商品名称,贸易伙伴编码,贸易伙伴名称,美元
201507,1,第1章   活动物,106,缅甸,100.0
201507,1,第1章   活动物,121,中国澳门,4765821.0
201507,1,第1章   活动物,215,埃及,300.0
201507,1,第1章   活动物,352,捷克,5200.0
201507,2,第2章   肉及食用杂碎,101,阿富汗,472456.0
201507,2,第2章   肉及食用杂碎,105,文莱,94600.0
201507,2,第2章   肉及食用杂碎,114,伊拉克,1503410.0
201507,2,第2章   肉及食用杂碎,121,中国澳门,3727361.0
201507,2,第2章   肉及食用杂碎,128,巴勒斯坦,74538.0
201507,2,第2章   肉及食用杂碎,146,吉尔吉斯斯坦,5951560.0
201507,2,第2章   肉及食用杂碎,352,捷克,384033.0
201507,2,第2章   肉及食用杂碎,449,博纳尔，圣俄斯塔休斯和萨巴 ,92508.0
201507,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,105,文莱,79978.0
201507,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,115,以色列,4829804.0
201507,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,117,约旦,167668.0
201507,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,121,中国澳门,4469152.0
201507,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,130,卡塔尔,88448.0
201507,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,131,沙特阿拉伯,461033.0
201507,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,134,斯里兰卡,12447073.0
201507,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,144,东帝汶,190200.0
201507,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,146,吉尔吉斯斯坦,409.0
201507,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,201,阿尔及利亚,640867.0
201507,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,215,埃及,3994265.0
201507,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,216,赤道几内亚,84150.0
201507,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,226,利比亚,107871.0
201507,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,232,摩洛哥,2663897.0
201507,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,236,尼日利亚,1912257.0
201507,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,246,苏丹,37400.0
201507,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,247,坦桑尼亚,237600.0
201507,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,248,多哥,695439.0
201507,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,251,布基纳法索,2108998.0
201507,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,253,赞比亚,1985222.0
201507,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,302,丹麦,1093774.0
201507,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,311,葡萄牙,6139763.0
201507,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,322,冰岛,97035.0
201507,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,328,罗马尼亚,39067.0
201507,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,330,瑞典,5039536.0
201507,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,331,瑞士,48106.0
201507,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,334,爱沙尼亚,98248.0
201507,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,335,拉脱维亚,125207.0
201507,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,347,乌克兰,573451.0
201507,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,352,捷克,218344.0
201507,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,353,斯洛伐克,99000.0
201507,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,412,智利,1445444.0
201507,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,413,哥伦比亚,142074.0
201507,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,416,古巴,171945.0
201507,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,418,多米尼加 ,676532.0
201507,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,432,巴拿马,170818.0
201507,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,434,秘鲁,706125.0
201507,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,504,百慕大,274439.0
201507,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,603,斐济,3591116.0
201507,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,609,新西兰,1642452.0
201507,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,611,巴布亚新几内亚,58400.0
201507,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,623,法属波利尼西亚,326611.0
201507,4,第4章   乳品;蛋品;天然蜂蜜;其他食用动物产品,106,缅甸,382679.0
201507,4,第4章   乳品;蛋品;天然蜂蜜;其他食用动物产品,114,伊拉克,23250.0
201507,4,第4章   乳品;蛋品;天然蜂蜜;其他食用动物产品,121,中国澳门,1311924.0
201507,4,第4章   乳品;蛋品;天然蜂蜜;其他食用动物产品,131,沙特阿拉伯,26239.0
201507,4,第4章   乳品;蛋品;天然蜂蜜;其他食用动物产品,134,斯里兰卡,8925.0
201507,4,第4章   乳品;蛋品;天然蜂蜜;其他食用动物产品,215,埃及,348.0
