数据年月,商品编码,商品名称,贸易伙伴编码,贸易伙伴名称,美元
202010,1,第1章   活动物,117,约旦,900.0
202010,1,第1章   活动物,121,中国澳门,5249359.0
202010,1,第1章   活动物,302,丹麦,198.0
202010,2,第2章   肉及食用杂碎,101,阿富汗,449581.0
202010,2,第2章   肉及食用杂碎,107,柬埔寨,453147.0
202010,2,第2章   肉及食用杂碎,121,中国澳门,5305151.0
202010,2,第2章   肉及食用杂碎,146,吉尔吉斯斯坦,115920.0
202010,2,第2章   肉及食用杂碎,347,乌克兰,20902.0
202010,2,第2章   肉及食用杂碎,352,捷克,255200.0
202010,2,第2章   肉及食用杂碎,609,新西兰,11000.0
202010,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,103,孟加拉国,435600.0
202010,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,105,文莱,54901.0
202010,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,114,伊拉克,3000.0
202010,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,115,以色列,899952.0
202010,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,117,约旦,4358.0
202010,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,121,中国澳门,4492359.0
202010,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,130,卡塔尔,99100.0
202010,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,131,沙特阿拉伯,262231.0
202010,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,134,斯里兰卡,2304618.0
202010,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,144,东帝汶,389160.0
202010,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,201,阿尔及利亚,130280.0
202010,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,215,埃及,1486730.0
202010,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,216,赤道几内亚,334400.0
202010,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,229,马里,1155116.0
202010,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,232,摩洛哥,812784.0
202010,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,236,尼日利亚,899324.0
202010,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,238,卢旺达,2495196.0
202010,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,248,多哥,81000.0
202010,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,251,布基纳法索,4177218.0
202010,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,253,赞比亚,198630.0
202010,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,302,丹麦,730830.0
202010,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,311,葡萄牙,4354370.0
202010,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,328,罗马尼亚,257138.0
202010,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,330,瑞典,5699420.0
202010,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,331,瑞士,168474.0
202010,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,335,拉脱维亚,276586.0
202010,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,343,摩尔多瓦,34800.0
202010,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,347,乌克兰,3094580.0
202010,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,352,捷克,232264.0
202010,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,353,斯洛伐克,36210.0
202010,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,355,波斯尼亚和黑塞哥维那,32652.0
202010,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,412,智利,2302063.0
202010,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,413,哥伦比亚,915477.0
202010,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,418,多米尼加 ,770470.0
202010,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,419,厄瓜多尔,400901.0
202010,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,434,秘鲁,50179.0
202010,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,603,斐济,1972775.0
202010,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,608,瓦努阿图,135065.0
202010,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,609,新西兰,1690046.0
202010,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,611,巴布亚新几内亚,1488454.0
202010,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,613,所罗门群岛,667605.0
202010,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,620,密克罗尼西亚联邦,120000.0
202010,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,623,法属波利尼西亚,17015.0
202010,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,103,孟加拉国,47960.0
202010,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,105,文莱,93252.0
