数据年月,商品编码,商品名称,贸易伙伴编码,贸易伙伴名称,美元
202009,1,第1章   活动物,103,孟加拉国,200.0
202009,1,第1章   活动物,121,中国澳门,5410261.0
202009,1,第1章   活动物,302,丹麦,93.0
202009,1,第1章   活动物,331,瑞士,8421.0
202009,2,第2章   肉及食用杂碎,101,阿富汗,710855.0
202009,2,第2章   肉及食用杂碎,107,柬埔寨,700094.0
202009,2,第2章   肉及食用杂碎,121,中国澳门,4960662.0
202009,2,第2章   肉及食用杂碎,146,吉尔吉斯斯坦,587887.0
202009,2,第2章   肉及食用杂碎,352,捷克,120486.0
202009,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,105,文莱,90275.0
202009,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,107,柬埔寨,190385.0
202009,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,115,以色列,1464671.0
202009,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,121,中国澳门,4056310.0
202009,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,130,卡塔尔,167008.0
202009,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,131,沙特阿拉伯,296610.0
202009,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,134,斯里兰卡,5225189.0
202009,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,144,东帝汶,720460.0
202009,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,201,阿尔及利亚,81350.0
202009,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,215,埃及,1258345.0
202009,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,216,赤道几内亚,349900.0
202009,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,228,马拉维,95075.0
202009,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,229,马里,1144271.0
202009,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,232,摩洛哥,254502.0
202009,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,236,尼日利亚,490520.0
202009,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,238,卢旺达,4966723.0
202009,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,247,坦桑尼亚,168000.0
202009,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,251,布基纳法索,1390302.0
202009,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,253,赞比亚,294839.0
202009,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,302,丹麦,492174.0
202009,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,311,葡萄牙,5514777.0
202009,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,328,罗马尼亚,326919.0
202009,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,330,瑞典,9870419.0
202009,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,334,爱沙尼亚,23500.0
202009,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,335,拉脱维亚,217850.0
202009,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,347,乌克兰,1824458.0
202009,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,352,捷克,241616.0
202009,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,353,斯洛伐克,117961.0
202009,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,355,波斯尼亚和黑塞哥维那,34960.0
202009,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,412,智利,2309471.0
202009,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,413,哥伦比亚,685300.0
202009,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,418,多米尼加 ,1101089.0
202009,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,419,厄瓜多尔,632773.0
202009,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,432,巴拿马,107133.0
202009,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,603,斐济,1479462.0
202009,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,608,瓦努阿图,102600.0
202009,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,609,新西兰,2456308.0
202009,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,611,巴布亚新几内亚,619639.0
