数据年月,商品编码,商品名称,贸易伙伴编码,贸易伙伴名称,美元
202104,1,第1章   活动物,106,缅甸,77308.0
202104,1,第1章   活动物,115,以色列,14400.0
202104,1,第1章   活动物,121,中国澳门,4781567.0
202104,1,第1章   活动物,330,瑞典,1530.0
202104,1,第1章   活动物,331,瑞士,40034.0
202104,2,第2章   肉及食用杂碎,101,阿富汗,787618.0
202104,2,第2章   肉及食用杂碎,107,柬埔寨,636500.0
202104,2,第2章   肉及食用杂碎,121,中国澳门,4893640.0
202104,2,第2章   肉及食用杂碎,609,新西兰,19800.0
202104,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,103,孟加拉国,751113.0
202104,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,105,文莱,341272.0
202104,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,107,柬埔寨,320196.0
202104,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,114,伊拉克,52531.0
202104,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,115,以色列,1103104.0
202104,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,117,约旦,223064.0
202104,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,121,中国澳门,3839423.0
202104,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,130,卡塔尔,55960.0
202104,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,131,沙特阿拉伯,239766.0
202104,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,134,斯里兰卡,2619938.0
202104,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,144,东帝汶,70041.0
202104,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,201,阿尔及利亚,1218117.0
202104,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,215,埃及,724236.0
202104,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,216,赤道几内亚,622282.0
202104,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,226,利比亚,614922.0
202104,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,228,马拉维,80640.0
202104,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,229,马里,978443.0
202104,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,232,摩洛哥,1082753.0
