数据年月,商品编码,商品名称,贸易伙伴编码,贸易伙伴名称,美元
202303,1,第1章   活动物,107,柬埔寨,1400.0
202303,1,第1章   活动物,121,中国澳门,3580564.0
202303,1,第1章   活动物,302,丹麦,121600.0
202303,1,第1章   活动物,330,瑞典,119700.0
202303,1,第1章   活动物,331,瑞士,25580.0
202303,1,第1章   活动物,609,新西兰,9500.0
202303,2,第2章   肉及食用杂碎,101,阿富汗,964364.0
202303,2,第2章   肉及食用杂碎,106,缅甸,16623.0
202303,2,第2章   肉及食用杂碎,107,柬埔寨,1935146.0
202303,2,第2章   肉及食用杂碎,114,伊拉克,47940.0
202303,2,第2章   肉及食用杂碎,121,中国澳门,5643776.0
202303,2,第2章   肉及食用杂碎,146,吉尔吉斯斯坦,830664.0
202303,2,第2章   肉及食用杂碎,352,捷克,107027.0
202303,2,第2章   肉及食用杂碎,449,博纳尔，圣俄斯塔休斯和萨巴 ,23521.0
202303,2,第2章   肉及食用杂碎,609,新西兰,57127.0
202303,2,第2章   肉及食用杂碎,611,巴布亚新几内亚,107993.0
202303,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,103,孟加拉国,1822837.0
202303,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,105,文莱,31297.0
202303,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,106,缅甸,37328.0
202303,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,107,柬埔寨,41428.0
202303,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,114,伊拉克,350068.0
202303,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,115,以色列,890762.0
202303,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,117,约旦,297420.0
202303,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,121,中国澳门,2362232.0
202303,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,130,卡塔尔,134970.0
202303,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,134,斯里兰卡,821373.0
202303,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,144,东帝汶,285836.0
202303,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,201,阿尔及利亚,4880.0
202303,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,215,埃及,4008284.0
202303,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,216,赤道几内亚,92300.0
202303,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,226,利比亚,225143.0
202303,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,229,马里,1589854.0
202303,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,232,摩洛哥,1344008.0
202303,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,236,尼日利亚,929179.0
202303,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,238,卢旺达,2317329.0
202303,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,247,坦桑尼亚,252450.0
202303,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,251,布基纳法索,2441588.0
202303,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,302,丹麦,1670983.0
202303,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,311,葡萄牙,8278185.0
202303,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,328,罗马尼亚,255904.0
202303,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,330,瑞典,10448310.0
202303,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,331,瑞士,112260.0
202303,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,334,爱沙尼亚,66218.0
202303,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,335,拉脱维亚,246800.0
202303,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,343,摩尔多瓦,39360.0
202303,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,347,乌克兰,933511.0
202303,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,352,捷克,213803.0
202303,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,353,斯洛伐克,63504.0
202303,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,412,智利,3229563.0
202303,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,413,哥伦比亚,2354384.0
202303,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,416,古巴,71260.0
202303,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,418,多米尼加 ,1651893.0
202303,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,432,巴拿马,440291.0
202303,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,434,秘鲁,713882.0
202303,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,603,斐济,76107.0
202303,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,609,新西兰,2987792.0
202303,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,611,巴布亚新几内亚,37994.0
202303,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,613,所罗门群岛,338580.0
202303,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,620,密克罗尼西亚联邦,295500.0
202303,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,103,孟加拉国,31000.0
202303,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,105,文莱,133347.0
202303,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,106,缅甸,93493.0
202303,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,107,柬埔寨,137636.0
202303,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,114,伊拉克,5815.0
202303,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,115,以色列,5190.0
202303,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,117,约旦,38950.0
202303,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,121,中国澳门,2455243.0
202303,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,131,沙特阿拉伯,673578.0
