数据年月,商品编码,商品名称,贸易伙伴编码,贸易伙伴名称,美元
202309,1,第1章   活动物,107,柬埔寨,100.0
202309,1,第1章   活动物,121,中国澳门,3823924.0
202309,1,第1章   活动物,302,丹麦,4080.0
202309,1,第1章   活动物,330,瑞典,27661.0
202309,1,第1章   活动物,331,瑞士,97689.0
202309,1,第1章   活动物,347,乌克兰,3168.0
202309,2,第2章   肉及食用杂碎,101,阿富汗,822948.0
202309,2,第2章   肉及食用杂碎,106,缅甸,160478.0
202309,2,第2章   肉及食用杂碎,107,柬埔寨,2050380.0
202309,2,第2章   肉及食用杂碎,121,中国澳门,6229114.0
202309,2,第2章   肉及食用杂碎,146,吉尔吉斯斯坦,2526287.0
202309,2,第2章   肉及食用杂碎,611,巴布亚新几内亚,140010.0
202309,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,103,孟加拉国,2113861.0
202309,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,105,文莱,235452.0
202309,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,106,缅甸,24427.0
202309,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,107,柬埔寨,74512.0
202309,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,114,伊拉克,526732.0
202309,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,115,以色列,884975.0
202309,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,117,约旦,567326.0
202309,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,121,中国澳门,2818766.0
202309,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,130,卡塔尔,272342.0
202309,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,134,斯里兰卡,1253038.0
202309,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,144,东帝汶,443360.0
202309,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,201,阿尔及利亚,558073.0
202309,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,215,埃及,1226216.0
202309,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,216,赤道几内亚,109200.0
202309,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,226,利比亚,225734.0
202309,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,229,马里,1577589.0
202309,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,232,摩洛哥,889635.0
202309,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,236,尼日利亚,3495567.0
202309,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,238,卢旺达,8457161.0
202309,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,247,坦桑尼亚,586144.0
202309,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,251,布基纳法索,1120528.0
202309,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,253,赞比亚,102000.0
202309,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,302,丹麦,1138977.0
202309,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,311,葡萄牙,5864813.0
202309,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,328,罗马尼亚,313902.0
202309,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,330,瑞典,6958211.0
202309,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,334,爱沙尼亚,65805.0
202309,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,347,乌克兰,1615993.0
202309,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,352,捷克,443731.0
202309,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,353,斯洛伐克,234468.0
202309,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,354,北马其顿,95260.0
202309,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,412,智利,3029974.0
202309,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,413,哥伦比亚,1165494.0
202309,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,418,多米尼加 ,2248276.0
202309,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,419,厄瓜多尔,346411.0
202309,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,432,巴拿马,589380.0
202309,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,434,秘鲁,938359.0
202309,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,445,委内瑞拉,26164.0
202309,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,504,百慕大,84117.0
202309,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,603,斐济,611428.0
202309,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,609,新西兰,1613268.0
202309,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,611,巴布亚新几内亚,61535.0
202309,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,613,所罗门群岛,481600.0
202309,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,620,密克罗尼西亚联邦,182000.0
202309,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,105,文莱,14469.0
202309,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,106,缅甸,168086.0
202309,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,107,柬埔寨,98524.0
202309,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,114,伊拉克,25504.0
202309,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,121,中国澳门,2555475.0
202309,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,131,沙特阿拉伯,1506390.0
202309,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,134,斯里兰卡,8779.0
202309,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,201,阿尔及利亚,7389.0
202309,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,215,埃及,7000.0
202309,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,232,摩洛哥,220218.0
202309,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,236,尼日利亚,1260568.0
202309,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,311,葡萄牙,116374.0
202309,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,328,罗马尼亚,50521.0
202309,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,330,瑞典,52896.0
202309,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,352,捷克,90574.0
202309,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,423,危地马拉,59.0
202309,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,432,巴拿马,4816.0
202309,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,609,新西兰,112510.0
202309,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,613,所罗门群岛,19120.0
202309,5,第5章   其他动物产品,103,孟加拉国,2391294.0
202309,5,第5章   其他动物产品,106,缅甸,782067.0
202309,5,第5章   其他动物产品,107,柬埔寨,1753401.0
202309,5,第5章   其他动物产品,117,约旦,82870.0
202309,5,第5章   其他动物产品,121,中国澳门,2712.0
202309,5,第5章   其他动物产品,134,斯里兰卡,104176.0
202309,5,第5章   其他动物产品,253,赞比亚,697500.0
202309,5,第5章   其他动物产品,302,丹麦,291666.0
202309,5,第5章   其他动物产品,311,葡萄牙,194478.0
202309,5,第5章   其他动物产品,328,罗马尼亚,2351836.0
202309,5,第5章   其他动物产品,331,瑞士,473806.0
202309,5,第5章   其他动物产品,334,爱沙尼亚,9643.0
202309,5,第5章   其他动物产品,347,乌克兰,523587.0
202309,5,第5章   其他动物产品,352,捷克,478232.0
202309,5,第5章   其他动物产品,402,阿根廷,35499.0
202309,5,第5章   其他动物产品,413,哥伦比亚,24852.0
202309,5,第5章   其他动物产品,423,危地马拉,3150.0
202309,5,第5章   其他动物产品,609,新西兰,25792.0
202309,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,103,孟加拉国,14503.0
202309,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,105,文莱,13388.0
202309,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,106,缅甸,179242.0
202309,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,107,柬埔寨,92150.0
202309,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,114,伊拉克,175762.0
202309,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,115,以色列,100152.0
202309,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,117,约旦,151020.0
202309,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,121,中国澳门,287480.0
202309,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,130,卡塔尔,290465.0
202309,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,131,沙特阿拉伯,366832.0
202309,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,134,斯里兰卡,932.0
202309,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,146,吉尔吉斯斯坦,9757.0
202309,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,201,阿尔及利亚,1368.0
202309,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,215,埃及,47520.0
202309,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,226,利比亚,53821.0
202309,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,232,摩洛哥,1605.0
202309,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,302,丹麦,50417.0
202309,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,311,葡萄牙,26707.0
202309,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,330,瑞典,170563.0
202309,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,331,瑞士,6686.0
202309,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,347,乌克兰,5700.0
202309,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,352,捷克,8996.0
202309,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,412,智利,82397.0
202309,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,418,多米尼加 ,50351.0
202309,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,432,巴拿马,973.0
202309,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,609,新西兰,123307.0
202309,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,611,巴布亚新几内亚,861.0
202309,7,第7章   食用蔬菜、根及块茎,101,阿富汗,225200.0
202309,7,第7章   食用蔬菜、根及块茎,103,孟加拉国,15086433.0
202309,7,第7章   食用蔬菜、根及块茎,105,文莱,733523.0
202309,7,第7章   食用蔬菜、根及块茎,106,缅甸,589087.0
202309,7,第7章   食用蔬菜、根及块茎,107,柬埔寨,912856.0
202309,7,第7章   食用蔬菜、根及块茎,114,伊拉克,142232.0
202309,7,第7章   食用蔬菜、根及块茎,115,以色列,4593776.0
202309,7,第7章   食用蔬菜、根及块茎,117,约旦,28484.0
202309,7,第7章   食用蔬菜、根及块茎,121,中国澳门,2186721.0
202309,7,第7章   食用蔬菜、根及块茎,130,卡塔尔,1534897.0
202309,7,第7章   食用蔬菜、根及块茎,131,沙特阿拉伯,6254455.0
202309,7,第7章   食用蔬菜、根及块茎,134,斯里兰卡,2023162.0
202309,7,第7章   食用蔬菜、根及块茎,144,东帝汶,110441.0
202309,7,第7章   食用蔬菜、根及块茎,146,吉尔吉斯斯坦,216502.0
202309,7,第7章   食用蔬菜、根及块茎,201,阿尔及利亚,428971.0
202309,7,第7章   食用蔬菜、根及块茎,214,吉布提,37390.0
202309,7,第7章   食用蔬菜、根及块茎,215,埃及,210588.0
